;transcript49_ENSCGRG00015005362;transcript50_ENSCGRG00015005362;transcript50_ENSCGRG00000018457;transcript8_ENSCGRG00000018457;transcript44_ENSCGRG00000018457;transcript45_ENSCGRG00000018457;transcript45_ENSCGRG00001010245;transcript57_ENSCGRG00000018457;transcript58_ENSCGRG00000018457;transcript59_ENSCGRG00000018457;transcript60_ENSCGRG00000018457;transcript22_ENSCGRG00001010245;transcript22_ENSNGAG00000018584;transcript22_ENSSTOG00000019743
transcript49_ENSCGRG00015005362;1.0;0.66;0.66;0.616;1.0;0.639;0.639;0.886;0.886;0.495;0.647;0.639;0.493;0.639
transcript50_ENSCGRG00015005362;0.66;1.0;1.0;0.935;0.66;0.927;0.927;0.611;0.611;0.831;0.987;0.927;0.657;0.927
transcript50_ENSCGRG00000018457;0.66;1.0;1.0;0.935;0.66;0.927;0.927;0.611;0.611;0.831;0.987;0.927;0.657;0.927
transcript8_ENSCGRG00000018457;0.616;0.935;0.935;1.0;0.616;0.976;0.976;0.581;0.581;0.776;0.923;0.976;0.674;0.976
transcript44_ENSCGRG00000018457;1.0;0.66;0.66;0.616;1.0;0.639;0.639;0.886;0.886;0.495;0.647;0.639;0.493;0.639
transcript45_ENSCGRG00000018457;0.639;0.927;0.927;0.976;0.639;1.0;1.0;0.566;0.566;0.77;0.915;1.0;0.685;1.0
transcript45_ENSCGRG00001010245;0.639;0.927;0.927;0.976;0.639;1.0;1.0;0.566;0.566;0.77;0.915;1.0;0.685;1.0
transcript57_ENSCGRG00000018457;0.886;0.611;0.611;0.581;0.886;0.566;0.566;1.0;1.0;0.442;0.599;0.566;0.435;0.566
transcript58_ENSCGRG00000018457;0.886;0.611;0.611;0.581;0.886;0.566;0.566;1.0;1.0;0.442;0.599;0.566;0.435;0.566
transcript59_ENSCGRG00000018457;0.495;0.831;0.831;0.776;0.495;0.77;0.77;0.442;0.442;1.0;0.842;0.77;0.581;0.77
transcript60_ENSCGRG00000018457;0.647;0.987;0.987;0.923;0.647;0.915;0.915;0.599;0.599;0.842;1.0;0.915;0.645;0.915
transcript22_ENSCGRG00001010245;0.639;0.927;0.927;0.976;0.639;1.0;1.0;0.566;0.566;0.77;0.915;1.0;0.685;1.0
transcript22_ENSNGAG00000018584;0.493;0.657;0.657;0.674;0.493;0.685;0.685;0.435;0.435;0.581;0.645;0.685;1.0;0.685
transcript22_ENSSTOG00000019743;0.639;0.927;0.927;0.976;0.639;1.0;1.0;0.566;0.566;0.77;0.915;1.0;0.685;1.0
