;transcript7_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript43_ENSCGRG00015005362;transcript42_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript33_ENSCGRG00000018457;transcript40_ENSCGRG00001010245;transcript33_ENSCGRG00001010245;transcript46_ENSCGRG00000018457;transcript47_ENSCGRG00000018457;transcript41_ENSCGRG00015005362
transcript7_ENSCGRG00015005362;1.0;0.999;0.978;0.978;0.782;0.782;0.782;0.782;0.782;0.761;0.775
transcript7_ENSCGRG00000018457;0.999;1.0;0.98;0.98;0.782;0.782;0.782;0.782;0.782;0.761;0.775
transcript43_ENSCGRG00015005362;0.978;0.98;1.0;1.0;0.799;0.799;0.799;0.799;0.799;0.749;0.792
transcript42_ENSCGRG00015005362;0.978;0.98;1.0;1.0;0.799;0.799;0.799;0.799;0.799;0.749;0.792
transcript33_ENSCGRG00015005362;0.782;0.782;0.799;0.799;1.0;1.0;1.0;1.0;1.0;0.95;0.993
transcript33_ENSCGRG00000018457;0.782;0.782;0.799;0.799;1.0;1.0;1.0;1.0;1.0;0.95;0.993
transcript40_ENSCGRG00001010245;0.782;0.782;0.799;0.799;1.0;1.0;1.0;1.0;1.0;0.95;0.993
transcript33_ENSCGRG00001010245;0.782;0.782;0.799;0.799;1.0;1.0;1.0;1.0;1.0;0.95;0.993
transcript46_ENSCGRG00000018457;0.782;0.782;0.799;0.799;1.0;1.0;1.0;1.0;1.0;0.95;0.993
transcript47_ENSCGRG00000018457;0.761;0.761;0.749;0.749;0.95;0.95;0.95;0.95;0.95;1.0;0.943
transcript41_ENSCGRG00015005362;0.775;0.775;0.792;0.792;0.993;0.993;0.993;0.993;0.993;0.943;1.0
