;ENSCAFT00000013569_90_90;ENSCAFT00000048577_90_90;ENSCAFT00000049950_90_90;ENST00000314177_90_90;ENST00000338564_90_90;ENST00000340545_90_90;ENST00000397620_90_90;ENST00000397624_90_90;ENST00000424352_90_90;ENST00000557796_90_90;ENST00000558313_90_90;ENST00000559085_90_90;ENST00000559561_90_90;ENST00000560570_90_90;ENST00000560617_90_90;ENST00000560697_90_90;ENST00000561208_90_90;ENST00000606653_90_90;ENST00000607277_90_90;ENSMUST00000028639_90_90;ENSMUST00000074285_90_90;ENSMUST00000102538_90_90;ENSMUST00000110906_90_90;ENSMUST00000110907_90_90;ENSMUST00000110908_90_90
ENSCAFT00000013569_90_90;1.0;0.778;0.481;0.536;0.621;0.643;0.5;0.5;0.633;0.643;0.24;0.621;0.655;0.2;0.167;0.083;0.6;0.143;0.407;0.679;0.808;0.704;0.778;0.778;0.808
ENSCAFT00000048577_90_90;0.778;1.0;0.538;0.536;0.679;0.586;0.448;0.448;0.633;0.586;0.24;0.621;0.6;0.2;0.167;0.083;0.714;0.143;0.357;0.808;0.679;0.769;0.714;0.714;0.679
ENSCAFT00000049950_90_90;0.481;0.538;1.0;0.458;0.393;0.357;0.259;0.259;0.367;0.357;0.353;0.345;0.379;0.222;0.25;0.125;0.379;0.263;0.154;0.56;0.56;0.583;0.538;0.538;0.56
ENST00000314177_90_90;0.536;0.536;0.458;1.0;0.826;0.708;0.48;0.48;0.76;0.708;0.3;0.68;0.792;0.316;0.211;0.105;0.792;0.174;0.375;0.556;0.5;0.577;0.483;0.536;0.556
ENST00000338564_90_90;0.621;0.679;0.393;0.826;1.0;0.8;0.577;0.577;0.846;0.8;0.25;0.769;0.88;0.261;0.174;0.087;0.958;0.148;0.48;0.704;0.586;0.731;0.567;0.621;0.643
ENST00000340545_90_90;0.643;0.586;0.357;0.708;0.8;1.0;0.739;0.739;0.88;1.0;0.261;0.957;0.917;0.167;0.182;0.091;0.769;0.154;0.5;0.552;0.607;0.571;0.586;0.586;0.607
ENST00000397620_90_90;0.5;0.448;0.259;0.48;0.577;0.739;1.0;1.0;0.654;0.739;0.389;0.708;0.68;0.043;0.222;0.111;0.556;0.182;0.6;0.414;0.464;0.429;0.448;0.448;0.464
ENST00000397624_90_90;0.5;0.448;0.259;0.48;0.577;0.739;1.0;1.0;0.654;0.739;0.389;0.708;0.68;0.043;0.222;0.111;0.556;0.182;0.6;0.414;0.464;0.429;0.448;0.448;0.464
ENST00000424352_90_90;0.633;0.633;0.367;0.76;0.846;0.88;0.654;0.654;1.0;0.88;0.231;0.92;0.96;0.24;0.16;0.08;0.885;0.138;0.444;0.655;0.6;0.621;0.633;0.69;0.655
ENST00000557796_90_90;0.643;0.586;0.357;0.708;0.8;1.0;0.739;0.739;0.88;1.0;0.261;0.957;0.917;0.167;0.182;0.091;0.769;0.154;0.5;0.552;0.607;0.571;0.586;0.586;0.607
ENST00000558313_90_90;0.24;0.24;0.353;0.3;0.25;0.261;0.389;0.389;0.231;0.261;1.0;0.25;0.24;0.083;0.375;0.286;0.24;0.154;0.167;0.25;0.25;0.261;0.24;0.24;0.25
ENST00000559085_90_90;0.621;0.621;0.345;0.68;0.769;0.957;0.708;0.708;0.92;0.957;0.25;1.0;0.88;0.16;0.174;0.087;0.808;0.148;0.48;0.586;0.586;0.552;0.621;0.621;0.586
ENST00000559561_90_90;0.655;0.6;0.379;0.792;0.88;0.917;0.68;0.68;0.96;0.917;0.24;0.88;1.0;0.25;0.167;0.083;0.846;0.143;0.462;0.621;0.621;0.643;0.6;0.655;0.679
ENST00000560570_90_90;0.2;0.2;0.222;0.316;0.261;0.167;0.043;0.043;0.24;0.167;0.083;0.16;0.25;1.0;0.0;0.0;0.25;0.0;0.0;0.261;0.208;0.273;0.2;0.25;0.261
ENST00000560617_90_90;0.167;0.167;0.25;0.211;0.174;0.182;0.222;0.222;0.16;0.182;0.375;0.174;0.167;0.0;1.0;0.5;0.167;0.333;0.286;0.174;0.174;0.182;0.167;0.167;0.174
ENST00000560697_90_90;0.083;0.083;0.125;0.105;0.087;0.091;0.111;0.111;0.08;0.091;0.286;0.087;0.083;0.0;0.5;1.0;0.083;0.111;0.143;0.087;0.087;0.091;0.083;0.083;0.087
ENST00000561208_90_90;0.6;0.714;0.379;0.792;0.958;0.769;0.556;0.556;0.885;0.769;0.24;0.808;0.846;0.25;0.167;0.083;1.0;0.143;0.462;0.741;0.567;0.704;0.6;0.655;0.621
ENST00000606653_90_90;0.143;0.143;0.263;0.174;0.148;0.154;0.182;0.182;0.138;0.154;0.154;0.148;0.143;0.0;0.333;0.111;0.143;1.0;0.222;0.192;0.192;0.2;0.185;0.185;0.192
ENST00000607277_90_90;0.407;0.357;0.154;0.375;0.48;0.5;0.6;0.6;0.444;0.5;0.167;0.48;0.462;0.0;0.286;0.143;0.462;0.222;1.0;0.321;0.37;0.333;0.357;0.357;0.37
ENSMUST00000028639_90_90;0.679;0.808;0.56;0.556;0.704;0.552;0.414;0.414;0.655;0.552;0.25;0.586;0.621;0.261;0.174;0.087;0.741;0.192;0.321;1.0;0.769;0.957;0.808;0.88;0.84
ENSMUST00000074285_90_90;0.808;0.679;0.56;0.5;0.586;0.607;0.464;0.464;0.6;0.607;0.25;0.586;0.621;0.208;0.174;0.087;0.567;0.192;0.37;0.769;1.0;0.8;0.958;0.88;0.917
ENSMUST00000102538_90_90;0.704;0.769;0.583;0.577;0.731;0.571;0.429;0.429;0.621;0.571;0.261;0.552;0.643;0.273;0.182;0.091;0.704;0.2;0.333;0.957;0.8;1.0;0.769;0.84;0.875
ENSMUST00000110906_90_90;0.778;0.714;0.538;0.483;0.567;0.586;0.448;0.448;0.633;0.586;0.24;0.621;0.6;0.2;0.167;0.083;0.6;0.185;0.357;0.808;0.958;0.769;1.0;0.92;0.88
ENSMUST00000110907_90_90;0.778;0.714;0.538;0.536;0.621;0.586;0.448;0.448;0.69;0.586;0.24;0.621;0.655;0.25;0.167;0.083;0.655;0.185;0.357;0.88;0.88;0.84;0.92;1.0;0.958
ENSMUST00000110908_90_90;0.808;0.679;0.56;0.556;0.643;0.607;0.464;0.464;0.655;0.607;0.25;0.586;0.679;0.261;0.174;0.087;0.621;0.192;0.37;0.84;0.917;0.875;0.88;0.958;1.0
