;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript11_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript3_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript18_ENSPCIG00000036398;transcript3_ENSMUNG00000007775;transcript8_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript3_ENSMUNG00000002391;transcript10_ENSMUNG00000002391
transcript8_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.352;1.0;0.276;0.352;0.978;0.851;0.851;0.405;0.697;0.697;0.472;0.697;0.429;0.605;0.438;0.411;0.425;0.438;0.431;0.643
transcript10_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.352;1.0;0.276;0.352;0.978;0.851;0.851;0.405;0.697;0.697;0.472;0.697;0.429;0.605;0.438;0.411;0.425;0.438;0.431;0.643
transcript20_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.352;1.0;0.276;0.352;0.978;0.851;0.851;0.405;0.697;0.697;0.472;0.697;0.429;0.605;0.438;0.411;0.425;0.438;0.431;0.643
transcript8_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.352;1.0;0.276;0.352;0.978;0.851;0.851;0.405;0.697;0.697;0.472;0.697;0.429;0.605;0.438;0.411;0.425;0.438;0.431;0.643
transcript10_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.352;1.0;0.276;0.352;0.978;0.851;0.851;0.405;0.697;0.697;0.472;0.697;0.429;0.605;0.438;0.411;0.425;0.438;0.431;0.643
transcript11_ENSHGLG00000019563;0.352;0.352;0.352;0.352;0.352;1.0;0.352;0.818;1.0;0.356;0.37;0.37;0.118;0.421;0.421;0.133;0.421;0.115;0.376;0.131;0.122;0.123;0.131;0.115;0.361
transcript13_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.352;1.0;0.276;0.352;0.978;0.851;0.851;0.405;0.697;0.697;0.472;0.697;0.429;0.605;0.438;0.411;0.425;0.438;0.431;0.643
transcript26_ENSHGLG00000019563;0.276;0.276;0.276;0.276;0.276;0.818;0.276;1.0;0.818;0.28;0.29;0.29;0.093;0.331;0.331;0.105;0.331;0.091;0.297;0.104;0.097;0.099;0.104;0.091;0.284
transcript27_ENSHGLG00000019563;0.352;0.352;0.352;0.352;0.352;1.0;0.352;0.818;1.0;0.356;0.37;0.37;0.118;0.421;0.421;0.133;0.421;0.115;0.376;0.131;0.122;0.123;0.131;0.115;0.361
transcript28_ENSHGLG00000019563;0.978;0.978;0.978;0.978;0.978;0.356;0.978;0.28;0.356;1.0;0.831;0.831;0.395;0.689;0.689;0.46;0.689;0.418;0.604;0.425;0.4;0.414;0.425;0.421;0.636
transcript7_ENSHGLG00100006079;0.851;0.851;0.851;0.851;0.851;0.37;0.851;0.29;0.37;0.831;1.0;1.0;0.333;0.648;0.648;0.384;0.648;0.351;0.565;0.359;0.34;0.348;0.359;0.354;0.6
transcript10_ENSHGLG00100006079;0.851;0.851;0.851;0.851;0.851;0.37;0.851;0.29;0.37;0.831;1.0;1.0;0.333;0.648;0.648;0.384;0.648;0.351;0.565;0.359;0.34;0.348;0.359;0.354;0.6
transcript3_ENSPCIG00000036398;0.405;0.405;0.405;0.405;0.405;0.118;0.405;0.093;0.118;0.395;0.333;0.333;1.0;0.287;0.287;0.86;0.287;0.885;0.318;0.821;0.853;0.893;0.821;0.887;0.345
transcript7_ENSPCIG00000036398;0.697;0.697;0.697;0.697;0.697;0.421;0.697;0.331;0.421;0.689;0.648;0.648;0.287;1.0;1.0;0.337;1.0;0.279;0.691;0.291;0.266;0.269;0.291;0.282;0.752
transcript8_ENSPCIG00000036398;0.697;0.697;0.697;0.697;0.697;0.421;0.697;0.331;0.421;0.689;0.648;0.648;0.287;1.0;1.0;0.337;1.0;0.279;0.691;0.291;0.266;0.269;0.291;0.282;0.752
transcript15_ENSPCIG00000036398;0.472;0.472;0.472;0.472;0.472;0.133;0.472;0.105;0.133;0.46;0.384;0.384;0.86;0.337;0.337;1.0;0.337;0.816;0.277;0.79;0.792;0.831;0.79;0.819;0.303
transcript18_ENSPCIG00000036398;0.697;0.697;0.697;0.697;0.697;0.421;0.697;0.331;0.421;0.689;0.648;0.648;0.287;1.0;1.0;0.337;1.0;0.279;0.691;0.291;0.266;0.269;0.291;0.282;0.752
transcript3_ENSMUNG00000007775;0.429;0.429;0.429;0.429;0.429;0.115;0.429;0.091;0.115;0.418;0.351;0.351;0.885;0.279;0.279;0.816;0.279;1.0;0.338;0.846;0.883;0.92;0.846;0.996;0.372
transcript8_ENSMUNG00000002377;0.605;0.605;0.605;0.605;0.605;0.376;0.605;0.297;0.376;0.604;0.565;0.565;0.318;0.691;0.691;0.277;0.691;0.338;1.0;0.405;0.364;0.368;0.405;0.337;0.887
transcript15_ENSMUNG00000002377;0.438;0.438;0.438;0.438;0.438;0.131;0.438;0.104;0.131;0.425;0.359;0.359;0.821;0.291;0.291;0.79;0.291;0.846;0.405;1.0;0.866;0.918;1.0;0.843;0.379
transcript16_ENSMUNG00000002377;0.411;0.411;0.411;0.411;0.411;0.122;0.411;0.097;0.122;0.4;0.34;0.34;0.853;0.266;0.266;0.792;0.266;0.883;0.364;0.866;1.0;0.944;0.866;0.881;0.344
transcript22_ENSMUNG00000002377;0.425;0.425;0.425;0.425;0.425;0.123;0.425;0.099;0.123;0.414;0.348;0.348;0.893;0.269;0.269;0.831;0.269;0.92;0.368;0.918;0.944;1.0;0.918;0.917;0.348
transcript23_ENSMUNG00000002377;0.438;0.438;0.438;0.438;0.438;0.131;0.438;0.104;0.131;0.425;0.359;0.359;0.821;0.291;0.291;0.79;0.291;0.846;0.405;1.0;0.866;0.918;1.0;0.843;0.379
transcript3_ENSMUNG00000002391;0.431;0.431;0.431;0.431;0.431;0.115;0.431;0.091;0.115;0.421;0.354;0.354;0.887;0.282;0.282;0.819;0.282;0.996;0.337;0.843;0.881;0.917;0.843;1.0;0.375
transcript10_ENSMUNG00000002391;0.643;0.643;0.643;0.643;0.643;0.361;0.643;0.284;0.361;0.636;0.6;0.6;0.345;0.752;0.752;0.303;0.752;0.372;0.887;0.379;0.344;0.348;0.379;0.375;1.0
