;ENSCAFT00000002127_90_90;ENSCAFT00000010587_90_90;ENST00000360332_90_90;ENST00000374174_90_90;ENST00000374176_90_90;ENST00000374179_90_90;ENST00000374182_90_90;ENST00000374189_90_90;ENST00000395611_90_90;ENST00000426557_90_90;ENST00000429041_90_90;ENST00000432379_90_90;ENST00000229794_90_90;ENST00000229795_90_90;ENST00000310795_90_90;ENST00000468133_90_90;ENST00000472333_90_90;ENST00000474429_90_90;ENST00000491957_90_90;ENST00000622903_90_90;ENSMUST00000022504_90_90;ENSMUST00000111942_90_90;ENSMUST00000111943_90_90;ENSMUST00000111944_90_90;ENSMUST00000111945_90_90;ENSMUST00000004990_90_90;ENSMUST00000062694_90_90;ENSMUST00000114752_90_90;ENSMUST00000114754_90_90;ENSMUST00000114758_90_90;ENSMUST00000124886_90_90
ENSCAFT00000002127_90_90;1.0;0.854;0.696;0.696;0.829;0.829;0.778;0.778;0.829;0.479;0.307;0.502;0.998;0.929;0.879;0.751;0.419;0.2;0.494;0.494;0.833;0.663;0.833;0.764;0.764;0.927;0.997;0.762;0.762;0.787;0.62
ENSCAFT00000010587_90_90;0.854;1.0;0.77;0.557;0.915;0.982;0.942;0.879;0.915;0.383;0.244;0.396;0.761;0.682;0.791;0.536;0.445;0.221;0.507;0.507;0.918;0.746;0.984;0.867;0.931;0.748;0.679;0.491;0.491;0.788;0.587
ENST00000360332_90_90;0.696;0.77;1.0;0.7;0.687;0.751;0.77;0.704;0.687;0.499;0.311;0.517;0.629;0.651;0.656;0.387;0.478;0.284;0.659;0.659;0.699;0.999;0.766;0.708;0.776;0.632;0.591;0.377;0.377;0.695;0.798
ENST00000374174_90_90;0.696;0.557;0.7;1.0;0.502;0.528;0.541;0.515;0.502;0.651;0.408;0.675;0.69;0.714;0.736;0.425;0.573;0.356;0.79;0.79;0.524;0.722;0.55;0.531;0.558;0.608;0.685;0.437;0.437;0.774;0.992
ENST00000374176_90_90;0.829;0.915;0.687;0.502;1.0;0.921;0.803;0.875;1.0;0.354;0.223;0.367;0.714;0.659;0.738;0.482;0.427;0.224;0.529;0.529;0.997;0.701;0.916;0.881;0.806;0.746;0.651;0.455;0.455;0.76;0.625
ENST00000374179_90_90;0.829;0.982;0.751;0.528;0.921;1.0;0.869;0.803;0.921;0.372;0.235;0.386;0.736;0.677;0.764;0.497;0.445;0.236;0.551;0.551;0.916;0.768;0.996;0.806;0.875;0.745;0.649;0.454;0.454;0.758;0.624
ENST00000374182_90_90;0.778;0.942;0.77;0.541;0.803;0.869;1.0;0.92;0.803;0.383;0.241;0.396;0.691;0.634;0.718;0.453;0.461;0.249;0.581;0.581;0.806;0.777;0.875;0.916;0.997;0.704;0.608;0.411;0.411;0.71;0.657
ENST00000374189_90_90;0.778;0.879;0.704;0.515;0.875;0.803;0.92;1.0;0.875;0.364;0.229;0.378;0.671;0.618;0.694;0.44;0.443;0.235;0.555;0.555;0.88;0.71;0.806;0.998;0.916;0.705;0.609;0.412;0.412;0.711;0.658
ENST00000395611_90_90;0.829;0.915;0.687;0.502;1.0;0.921;0.803;0.875;1.0;0.354;0.223;0.367;0.714;0.659;0.738;0.482;0.427;0.224;0.529;0.529;0.997;0.701;0.916;0.881;0.806;0.746;0.651;0.455;0.455;0.76;0.625
ENST00000426557_90_90;0.479;0.383;0.499;0.651;0.354;0.372;0.383;0.364;0.354;1.0;0.255;0.966;0.468;0.483;0.499;0.202;0.276;0.519;0.848;0.848;0.355;0.489;0.373;0.361;0.379;0.406;0.457;0.207;0.207;0.518;0.664
