;ENSCAFT00000010545_90_90;ENST00000261210_90_90;ENST00000266732_90_90;ENST00000343315_90_90;ENST00000393053_90_90;ENST00000556029_90_90;ENST00000556678_90_90;ENSMUST00000020123_90_90;ENSMUST00000072239_90_90;ENSMUST00000092219_90_90;ENSMUST00000099355_90_90;ENSMUST00000105293_90_90
ENSCAFT00000010545_90_90;1.0;0.455;0.364;0.909;0.727;1.0;0.364;0.3;1.0;0.9;0.8;0.7
ENST00000261210_90_90;0.455;1.0;0.455;0.4;0.462;0.375;0.333;0.5;0.385;0.417;0.455;0.5
ENST00000266732_90_90;0.364;0.455;1.0;0.278;0.312;0.263;0.167;1.0;0.25;0.267;0.286;0.308
ENST00000343315_90_90;0.909;0.4;0.278;1.0;0.857;0.933;0.357;0.267;0.923;1.0;0.917;0.833
ENST00000393053_90_90;0.727;0.462;0.312;0.857;1.0;0.8;0.308;0.308;0.769;0.833;0.909;1.0
ENST00000556029_90_90;1.0;0.375;0.263;0.933;0.8;1.0;0.333;0.25;1.0;0.923;0.846;0.769
ENST00000556678_90_90;0.364;0.333;0.167;0.357;0.308;0.333;1.0;0.2;0.385;0.417;0.455;0.364
ENSMUST00000020123_90_90;0.3;0.5;1.0;0.267;0.308;0.25;0.2;1.0;0.235;0.25;0.267;0.286
ENSMUST00000072239_90_90;1.0;0.385;0.25;0.923;0.769;1.0;0.385;0.235;1.0;0.923;0.846;0.769
ENSMUST00000092219_90_90;0.9;0.417;0.267;1.0;0.833;0.923;0.417;0.25;0.923;1.0;0.917;0.833
ENSMUST00000099355_90_90;0.8;0.455;0.286;0.917;0.909;0.846;0.455;0.267;0.846;0.917;1.0;0.909
ENSMUST00000105293_90_90;0.7;0.5;0.308;0.833;1.0;0.769;0.364;0.286;0.769;0.833;0.909;1.0
