;transcript7_MGP-PahariEiJ-G0020237;transcript9_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript39_MGP-PahariEiJ-G0020237;transcript49_MGP-PahariEiJ-G0020237;transcript50_MGP-PahariEiJ-G0020237;transcript51_MGP-PahariEiJ-G0020237;transcript52_MGP-PahariEiJ-G0020237;transcript36_ENSRNOG00000031503;transcript37_ENSRNOG00000031503;transcript44_ENSRNOG00000031503
transcript7_MGP-PahariEiJ-G0020237;1.0;0.886;0.972;0.914;0.9;0.889;0.903;0.889;0.985;0.971;0.971
transcript9_MGP-PahariEiJ-G0020237;0.886;1.0;0.861;0.969;0.984;0.778;0.792;0.778;0.866;0.853;0.853
transcript37_MGP-PahariEiJ-G0020237;0.972;0.861;1.0;0.889;0.875;0.917;0.931;0.917;0.985;1.0;1.0
transcript39_MGP-PahariEiJ-G0020237;0.914;0.969;0.889;1.0;0.984;0.806;0.819;0.806;0.896;0.882;0.882
transcript49_MGP-PahariEiJ-G0020237;0.9;0.984;0.875;0.984;1.0;0.792;0.806;0.792;0.881;0.868;0.868
transcript50_MGP-PahariEiJ-G0020237;0.889;0.778;0.917;0.806;0.792;1.0;0.9;0.886;0.897;0.912;0.912
transcript51_MGP-PahariEiJ-G0020237;0.903;0.792;0.931;0.819;0.806;0.9;1.0;0.985;0.912;0.926;0.926
transcript52_MGP-PahariEiJ-G0020237;0.889;0.778;0.917;0.806;0.792;0.886;0.985;1.0;0.897;0.912;0.912
transcript36_ENSRNOG00000031503;0.985;0.866;0.985;0.896;0.881;0.897;0.912;0.897;1.0;0.982;0.982
transcript37_ENSRNOG00000031503;0.971;0.853;1.0;0.882;0.868;0.912;0.926;0.912;0.982;1.0;1.0
transcript44_ENSRNOG00000031503;0.971;0.853;1.0;0.882;0.868;0.912;0.926;0.912;0.982;1.0;1.0
