;ENSCAFT00000021165_90_90;ENSCAFT00000021175_90_90;ENSCAFT00000022869_90_90;ENSCAFT00000049479_90_90;ENST00000346964_90_90;ENST00000357674_90_90;ENST00000392380_90_90;ENST00000392381_90_90;ENST00000392382_90_90;ENST00000412364_90_90;ENST00000419227_90_90;ENST00000419354_90_90;ENST00000419553_90_90;ENST00000422288_90_90;ENST00000434148_90_90;ENST00000436682_90_90;ENST00000443183_90_90;ENST00000447466_90_90;ENST00000448528_90_90;ENST00000450955_90_90;ENST00000452595_90_90;ENST00000453607_90_90;ENST00000456699_90_90;ENST00000378154_90_90;ENST00000378158_90_90;ENST00000378163_90_90;ENST00000378166_90_90;ENST00000378168_90_90;ENST00000378179_90_90;ENST00000421587_90_90;ENST00000442742_90_90;ENSMUST00000023454_90_90;ENSMUST00000064477_90_90;ENSMUST00000100001_90_90;ENSMUST00000115196_90_90;ENSMUST00000115201_90_90;ENSMUST00000115205_90_90;ENSMUST00000130920_90_90;ENSMUST00000131136_90_90;ENSMUST00000132176_90_90;ENSMUST00000033321_90_90;ENSMUST00000115435_90_90;ENSMUST00000115436_90_90;ENSMUST00000115438_90_90;ENSMUST00000124710_90_90;ENSMUST00000128012_90_90;ENSMUST00000128095_90_90;ENSMUST00000139735_90_90;ENSMUST00000156096_90_90
ENSCAFT00000021165_90_90;1.0;0.858;0.873;0.853;0.798;0.751;0.32;0.803;0.751;0.155;0.474;0.798;0.243;0.728;0.053;0.194;0.653;0.316;0.798;0.751;0.653;0.184;0.277;0.556;0.848;0.847;0.824;0.474;0.639;0.876;0.858;0.742;0.798;0.798;0.787;0.798;0.798;0.069;0.393;0.719;0.908;0.101;0.871;0.889;0.089;0.172;0.278;0.368;0.871
ENSCAFT00000021175_90_90;0.858;1.0;0.971;0.951;0.774;0.726;0.332;0.77;0.726;0.161;0.475;0.774;0.251;0.703;0.055;0.201;0.627;0.314;0.774;0.726;0.627;0.191;0.286;0.48;0.932;0.983;0.96;0.568;0.71;0.938;0.92;0.725;0.781;0.781;0.77;0.781;0.781;0.064;0.376;0.702;0.968;0.09;0.942;0.989;0.08;0.154;0.25;0.418;0.942
ENSCAFT00000022869_90_90;0.873;0.971;1.0;0.957;0.846;0.785;0.1;0.592;0.754;0.015;0.277;0.808;0.023;0.723;0.0;0.023;0.877;0.308;0.808;0.792;0.862;0.131;0.054;0.081;0.919;1.0;0.968;0.903;0.952;0.952;0.919;0.763;0.852;0.815;0.956;0.822;0.815;0.074;0.378;0.481;0.952;0.29;0.984;1.0;0.0;0.0;0.532;0.581;0.984
ENSCAFT00000049479_90_90;0.853;0.951;0.957;1.0;0.8;0.738;0.105;0.595;0.708;0.016;0.29;0.762;0.024;0.677;0.0;0.024;0.831;0.323;0.762;0.746;0.815;0.137;0.056;0.081;0.919;1.0;0.968;0.903;0.952;0.952;0.919;0.719;0.807;0.77;0.911;0.778;0.77;0.078;0.374;0.481;0.952;0.29;0.984;1.0;0.0;0.0;0.532;0.581;0.984
ENST00000346964_90_90;0.798;0.774;0.846;0.8;1.0;0.951;0.259;0.788;0.922;0.118;0.426;0.964;0.18;0.886;0.039;0.144;0.641;0.292;0.964;0.957;0.648;0.146;0.223;0.324;0.622;0.605;0.622;0.456;0.579;0.605;0.622;0.891;0.996;0.948;0.795;0.943;0.948;0.079;0.469;0.636;0.669;0.379;0.638;0.669;0.0;0.046;0.43;0.177;0.638
ENST00000357674_90_90;0.751;0.726;0.785;0.738;0.951;1.0;0.218;0.75;0.969;0.124;0.448;0.928;0.19;0.931;0.041;0.152;0.67;0.306;0.928;0.993;0.678;0.153;0.234;0.393;0.505;0.491;0.505;0.342;0.465;0.491;0.505;0.953;0.93;0.899;0.753;0.895;0.899;0.085;0.502;0.681;0.569;0.446;0.538;0.569;0.0;0.054;0.308;0.077;0.538
ENST00000392380_90_90;0.32;0.332;0.1;0.105;0.259;0.218;1.0;0.326;0.223;0.456;0.375;0.267;0.696;0.194;0.152;0.557;0.026;0.054;0.267;0.216;0.027;0.196;0.815;0.48;0.405;0.395;0.405;0.246;0.368;0.395;0.405;0.041;0.097;0.101;0.084;0.1;0.101;0.0;0.0;0.057;0.485;0.103;0.454;0.485;0.0;0.063;0.206;0.217;0.454
ENST00000392381_90_90;0.803;0.77;0.592;0.595;0.788;0.75;0.326;1.0;0.768;0.149;0.537;0.811;0.227;0.731;0.05;0.182;0.5;0.365;0.811;0.745;0.506;0.183;0.281;0.324;0.622;0.605;0.622;0.456;0.579;0.605;0.622;0.689;0.719;0.749;0.624;0.745;0.749;0.109;0.6;0.879;0.669;0.379;0.638;0.669;0.0;0.046;0.43;0.177;0.638
ENST00000392382_90_90;0.751;0.726;0.754;0.708;0.922;0.969;0.223;0.768;1.0;0.127;0.459;0.956;0.194;0.961;0.042;0.155;0.689;0.314;0.956;0.962;0.698;0.157;0.24;0.393;0.505;0.491;0.505;0.342;0.465;0.491;0.505;0.995;0.891;0.936;0.779;0.932;0.936;0.087;0.519;0.704;0.569;0.446;0.538;0.569;0.0;0.054;0.308;0.077;0.538
ENST00000412364_90_90;0.155;0.161;0.015;0.016;0.118;0.124;0.456;0.149;0.127;1.0;0.277;0.122;0.655;0.132;0.333;0.818;0.0;0.0;0.122;0.123;0.0;0.0;0.529;0.607;0.155;0.15;0.155;0.0;0.124;0.15;0.155;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.208;0.0;0.214;0.208;0.0;0.148;0.0;0.0;0.214
