;ENSCAFT00000032063_90_90;ENSCAFT00000047065_90_90;ENSCAFT00000050191_90_90;ENST00000260506_90_90;ENST00000271234_90_90;ENST00000370253_90_90;ENST00000424449_90_90;ENST00000604705_90_90;ENSMUST00000162409_90_90;ENSMUST00000162947_90_90;ENSMUST00000197259_90_90
ENSCAFT00000032063_90_90;;;;0.632;0.635;0.594;0.491;0.666;0.632;0.666;0.491
ENSCAFT00000047065_90_90;;;;0.678;0.768;0.649;0.515;0.795;0.678;0.795;0.515
ENSCAFT00000050191_90_90;;;;0.632;0.605;0.712;0.461;0.551;0.632;0.551;0.406
ENST00000260506_90_90;0.632;0.678;0.632;;;;;;1.0;0.809;0.387
ENST00000271234_90_90;0.635;0.768;0.605;;;;;;0.713;0.894;0.585
ENST00000370253_90_90;0.594;0.649;0.712;;;;;;0.857;0.713;0.394
ENST00000424449_90_90;0.491;0.515;0.461;;;;;;0.387;0.568;0.871
ENST00000604705_90_90;0.666;0.795;0.551;;;;;;0.809;1.0;0.568
ENSMUST00000162409_90_90;0.632;0.678;0.632;1.0;0.713;0.857;0.387;0.809;;;
ENSMUST00000162947_90_90;0.666;0.795;0.551;0.809;0.894;0.713;0.568;1.0;;;
ENSMUST00000197259_90_90;0.491;0.515;0.406;0.387;0.585;0.394;0.871;0.568;;;
