;ENSCAFT00000014154_90_90;ENST00000426335_90_90;ENST00000524586_90_90;ENST00000524782_90_90;ENST00000525314_90_90;ENST00000525398_90_90;ENST00000526342_90_90;ENST00000527776_90_90;ENST00000527927_90_90;ENST00000528041_90_90;ENST00000528444_90_90;ENST00000528708_90_90;ENST00000529439_90_90;ENST00000529455_90_90;ENST00000530596_90_90;ENST00000532438_90_90;ENST00000532478_90_90;ENST00000533243_90_90;ENST00000627920_90_90;ENST00000629231_90_90;ENSMUST00000028691_90_90;ENSMUST00000080008_90_90
ENSCAFT00000014154_90_90;1.0;0.55;0.15;0.659;0.476;0.524;0.135;0.156;0.324;0.132;0.395;0.0;0.0;0.189;0.275;0.132;0.27;0.108;0.405;0.108;0.829;0.824
ENST00000426335_90_90;0.55;1.0;0.294;0.833;0.579;0.676;0.333;0.167;0.567;0.323;0.487;0.065;0.032;0.355;0.361;0.323;0.25;0.3;0.667;0.3;0.512;0.538
ENST00000524586_90_90;0.15;0.294;1.0;0.25;0.294;0.278;0.5;0.0;0.476;0.471;0.312;0.133;0.067;0.529;0.375;0.786;0.261;0.533;0.417;0.533;0.095;0.1
ENST00000524782_90_90;0.659;0.833;0.25;1.0;0.737;0.838;0.278;0.139;0.472;0.306;0.641;0.054;0.027;0.333;0.528;0.27;0.417;0.25;0.556;0.25;0.619;0.65
ENST00000525314_90_90;0.476;0.579;0.294;0.737;1.0;0.824;0.25;0.0;0.343;0.367;0.758;0.065;0.032;0.4;0.633;0.323;0.5;0.3;0.316;0.3;0.476;0.429
ENST00000525398_90_90;0.524;0.676;0.278;0.838;0.824;1.0;0.235;0.028;0.441;0.344;0.765;0.061;0.03;0.375;0.594;0.303;0.469;0.281;0.405;0.281;0.488;0.512
ENST00000526342_90_90;0.135;0.333;0.5;0.278;0.25;0.235;1.0;0.154;0.5;0.615;0.267;0.182;0.091;0.467;0.381;0.615;0.19;0.727;0.5;0.727;0.077;0.081
ENST00000527776_90_90;0.156;0.167;0.0;0.139;0.0;0.028;0.154;1.0;0.158;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.156;0.167
ENST00000527927_90_90;0.324;0.567;0.476;0.472;0.343;0.441;0.5;0.158;1.0;0.4;0.286;0.111;0.056;0.45;0.333;0.556;0.231;0.529;0.85;0.529;0.256;0.27
ENST00000528041_90_90;0.132;0.323;0.471;0.306;0.367;0.344;0.615;0.0;0.4;1.0;0.393;0.167;0.083;0.643;0.579;0.571;0.368;0.667;0.348;0.667;0.075;0.079
ENST00000528444_90_90;0.395;0.487;0.312;0.641;0.758;0.765;0.267;0.0;0.286;0.393;1.0;0.069;0.034;0.429;0.679;0.345;0.536;0.276;0.263;0.276;0.364;0.381
ENST00000528708_90_90;0.0;0.065;0.133;0.054;0.065;0.061;0.182;0.0;0.111;0.167;0.069;1.0;0.667;0.154;0.1;0.167;0.125;0.2;0.095;0.2;0.0;0.0
ENST00000529439_90_90;0.0;0.032;0.067;0.027;0.032;0.03;0.091;0.0;0.056;0.083;0.034;0.667;1.0;0.077;0.05;0.083;0.062;0.1;0.048;0.1;0.0;0.0
ENST00000529455_90_90;0.189;0.355;0.529;0.333;0.4;0.375;0.467;0.0;0.45;0.643;0.429;0.154;0.077;1.0;0.55;0.643;0.5;0.5;0.391;0.5;0.128;0.135
ENST00000530596_90_90;0.275;0.361;0.375;0.528;0.633;0.594;0.381;0.0;0.333;0.579;0.679;0.1;0.05;0.55;1.0;0.429;0.619;0.4;0.3;0.4;0.214;0.225
ENST00000532438_90_90;0.132;0.323;0.786;0.27;0.323;0.303;0.615;0.0;0.556;0.571;0.345;0.167;0.083;0.643;0.429;1.0;0.3;0.667;0.476;0.667;0.075;0.079
ENST00000532478_90_90;0.27;0.25;0.261;0.417;0.5;0.469;0.19;0.0;0.231;0.368;0.536;0.125;0.062;0.5;0.619;0.3;1.0;0.2;0.207;0.2;0.237;0.25
ENST00000533243_90_90;0.108;0.3;0.533;0.25;0.3;0.281;0.727;0.0;0.529;0.667;0.276;0.2;0.1;0.5;0.4;0.667;0.2;1.0;0.45;1.0;0.051;0.054
ENST00000627920_90_90;0.405;0.667;0.417;0.556;0.316;0.405;0.5;0.25;0.85;0.348;0.263;0.095;0.048;0.391;0.3;0.476;0.207;0.45;1.0;0.45;0.333;0.351
ENST00000629231_90_90;0.108;0.3;0.533;0.25;0.3;0.281;0.727;0.0;0.529;0.667;0.276;0.2;0.1;0.5;0.4;0.667;0.2;1.0;0.45;1.0;0.051;0.054
ENSMUST00000028691_90_90;0.829;0.512;0.095;0.619;0.476;0.488;0.077;0.156;0.256;0.075;0.364;0.0;0.0;0.128;0.214;0.075;0.237;0.051;0.333;0.051;1.0;0.938
ENSMUST00000080008_90_90;0.824;0.538;0.1;0.65;0.429;0.512;0.081;0.167;0.27;0.079;0.381;0.0;0.0;0.135;0.225;0.079;0.25;0.054;0.351;0.054;0.938;1.0
