;transcript52_ENSMUSG00000054036;transcript52_MGP-CAROLIEiJ-G0020234;transcript57_ENSMUSG00000054036;transcript64_ENSMUSG00000054036;transcript67_ENSMUSG00000054036;transcript9_MGP-CAROLIEiJ-G0020234;transcript9_MGP-PahariEiJ-G0020237;transcript62_MGP-CAROLIEiJ-G0020234;transcript63_MGP-CAROLIEiJ-G0020234;transcript7_MGP-PahariEiJ-G0020237;transcript48_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript40_ENSRNOG00000031503;transcript49_ENSRNOG00000031503;transcript53_ENSRNOG00000031503;transcript54_ENSRNOG00000031503;transcript55_ENSRNOG00000031503;transcript41_ENSMUGG00000013649
transcript52_ENSMUSG00000054036;1.0;1.0;0.852;0.857;0.852;0.878;0.878;0.905;0.866;0.813;0.857;0.796;0.77;0.762;0.892;0.852;0.852;0.766
transcript52_MGP-CAROLIEiJ-G0020234;1.0;1.0;0.852;0.857;0.852;0.878;0.878;0.905;0.866;0.813;0.857;0.796;0.77;0.762;0.892;0.852;0.852;0.766
transcript57_ENSMUSG00000054036;0.852;0.852;1.0;0.994;1.0;0.971;0.928;0.771;0.959;0.955;0.995;0.927;0.903;0.792;0.9;0.983;0.983;0.914
transcript64_ENSMUSG00000054036;0.857;0.857;0.994;1.0;0.994;0.964;0.964;0.775;0.953;0.941;0.988;0.926;0.898;0.892;0.96;0.994;0.994;0.894
transcript67_ENSMUSG00000054036;0.852;0.852;1.0;0.994;1.0;0.971;0.928;0.771;0.959;0.954;0.995;0.937;0.913;0.81;0.92;0.997;0.997;0.912
transcript9_MGP-CAROLIEiJ-G0020234;0.878;0.878;0.971;0.964;0.971;1.0;1.0;0.794;0.988;0.93;0.973;0.908;0.879;0.85;0.982;0.971;0.971;0.874
transcript9_MGP-PahariEiJ-G0020237;0.878;0.878;0.928;0.964;0.928;1.0;1.0;0.794;0.988;0.888;0.929;0.874;0.848;0.85;0.942;0.933;0.933;0.839
transcript62_MGP-CAROLIEiJ-G0020234;0.905;0.905;0.771;0.775;0.771;0.794;0.794;1.0;0.782;0.814;0.775;0.72;0.696;0.688;0.807;0.771;0.771;0.693
transcript63_MGP-CAROLIEiJ-G0020234;0.866;0.866;0.959;0.953;0.959;0.988;0.988;0.782;1.0;0.918;0.961;0.897;0.868;0.839;0.97;0.959;0.959;0.864
transcript7_MGP-PahariEiJ-G0020237;0.813;0.813;0.955;0.941;0.954;0.93;0.888;0.814;0.918;1.0;0.96;0.893;0.87;0.756;0.874;0.948;0.948;0.872
transcript48_MGP-PahariEiJ-G0020237;0.857;0.857;0.995;0.988;0.995;0.973;0.929;0.775;0.961;0.96;1.0;0.931;0.906;0.795;0.913;0.988;0.988;0.909
transcript8_ENSRNOG00000031503;0.796;0.796;0.927;0.926;0.937;0.908;0.874;0.72;0.897;0.893;0.931;1.0;0.981;0.872;0.891;0.974;0.974;0.963
transcript40_ENSRNOG00000031503;0.77;0.77;0.903;0.898;0.913;0.879;0.848;0.696;0.868;0.87;0.906;0.981;1.0;0.893;0.873;0.955;0.955;0.982
transcript49_ENSRNOG00000031503;0.762;0.762;0.792;0.892;0.81;0.85;0.85;0.688;0.839;0.756;0.795;0.872;0.893;1.0;0.855;0.84;0.84;0.876
transcript53_ENSRNOG00000031503;0.892;0.892;0.9;0.96;0.92;0.982;0.942;0.807;0.97;0.874;0.913;0.891;0.873;0.855;1.0;0.916;0.916;0.856
transcript54_ENSRNOG00000031503;0.852;0.852;0.983;0.994;0.997;0.971;0.933;0.771;0.959;0.948;0.988;0.974;0.955;0.84;0.916;1.0;1.0;0.937
transcript55_ENSRNOG00000031503;0.852;0.852;0.983;0.994;0.997;0.971;0.933;0.771;0.959;0.948;0.988;0.974;0.955;0.84;0.916;1.0;1.0;0.937
transcript41_ENSMUGG00000013649;0.766;0.766;0.914;0.894;0.912;0.874;0.839;0.693;0.864;0.872;0.909;0.963;0.982;0.876;0.856;0.937;0.937;1.0
