;ENSCAFT00000025873_90_90;ENSCAFT00000025875_90_90;ENST00000315266_90_90;ENST00000459628_90_90;ENST00000478722_90_90;ENST00000543237_90_90;ENST00000553936_90_90;ENST00000555456_90_90;ENST00000555503_90_90;ENST00000555668_90_90;ENST00000556240_90_90;ENST00000556633_90_90;ENST00000557654_90_90;ENSMUST00000052472_90_90;ENSMUST00000110388_90_90
ENSCAFT00000025873_90_90;1.0;0.765;0.939;0.404;0.901;0.998;0.028;0.358;0.237;0.061;0.012;0.063;0.061;1.0;0.915
ENSCAFT00000025875_90_90;0.765;1.0;0.815;0.361;0.858;0.769;0.0;0.303;0.281;0.0;0.015;0.0;0.0;0.779;0.857
ENST00000315266_90_90;0.939;0.815;1.0;0.397;0.957;0.941;0.028;0.346;0.246;0.065;0.013;0.068;0.065;0.955;0.957
ENST00000459628_90_90;0.404;0.361;0.397;1.0;0.439;0.397;0.054;0.536;0.0;0.125;0.0;0.125;0.125;0.395;0.453
ENST00000478722_90_90;0.901;0.858;0.957;0.439;1.0;0.903;0.027;0.332;0.236;0.062;0.013;0.065;0.062;0.917;0.998
ENST00000543237_90_90;0.998;0.769;0.941;0.397;0.903;1.0;0.027;0.358;0.232;0.061;0.012;0.064;0.061;0.998;0.917
ENST00000553936_90_90;0.028;0.0;0.028;0.054;0.027;0.027;1.0;0.0;0.0;0.32;0.0;0.315;0.32;0.029;0.029
ENST00000555456_90_90;0.358;0.303;0.346;0.536;0.332;0.358;0.0;1.0;0.0;0.0;0.0;0.007;0.0;0.365;0.332
ENST00000555503_90_90;0.237;0.281;0.246;0.0;0.236;0.232;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.241;0.241
ENST00000555668_90_90;0.061;0.0;0.065;0.125;0.062;0.061;0.32;0.0;0.0;1.0;0.0;0.929;1.0;0.062;0.062
ENST00000556240_90_90;0.012;0.015;0.013;0.0;0.013;0.012;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.013;0.013
ENST00000556633_90_90;0.063;0.0;0.068;0.125;0.065;0.064;0.315;0.007;0.0;0.929;0.0;1.0;0.929;0.064;0.064
ENST00000557654_90_90;0.061;0.0;0.065;0.125;0.062;0.061;0.32;0.0;0.0;1.0;0.0;0.929;1.0;0.062;0.062
ENSMUST00000052472_90_90;1.0;0.779;0.955;0.395;0.917;0.998;0.029;0.365;0.241;0.062;0.013;0.064;0.062;1.0;0.914
ENSMUST00000110388_90_90;0.915;0.857;0.957;0.453;0.998;0.917;0.029;0.332;0.241;0.062;0.013;0.064;0.062;0.914;1.0
