;ENSCAFT00000010545_90_90;ENST00000261210_90_90;ENST00000266732_90_90;ENST00000343315_90_90;ENST00000393053_90_90;ENST00000556029_90_90;ENST00000556678_90_90;ENSMUST00000020123_90_90;ENSMUST00000072239_90_90;ENSMUST00000092219_90_90;ENSMUST00000099355_90_90;ENSMUST00000105293_90_90
ENSCAFT00000010545_90_90;1.0;0.396;0.209;0.737;0.603;0.809;0.404;0.181;0.798;0.724;0.658;0.587
ENST00000261210_90_90;0.396;1.0;0.353;0.451;0.528;0.417;0.346;0.306;0.396;0.428;0.462;0.505
ENST00000266732_90_90;0.209;0.353;1.0;0.241;0.267;0.23;0.141;0.848;0.209;0.219;0.23;0.243
ENST00000343315_90_90;0.737;0.451;0.241;1.0;0.845;0.923;0.465;0.213;0.854;0.926;0.852;0.771
ENST00000393053_90_90;0.603;0.528;0.267;0.845;1.0;0.78;0.416;0.235;0.712;0.771;0.834;0.913
ENST00000556029_90_90;0.809;0.417;0.23;0.923;0.78;1.0;0.428;0.203;0.931;0.854;0.785;0.712
ENST00000556678_90_90;0.404;0.346;0.141;0.465;0.416;0.428;1.0;0.148;0.456;0.497;0.54;0.446
ENSMUST00000020123_90_90;0.181;0.306;0.848;0.213;0.235;0.203;0.148;1.0;0.215;0.227;0.239;0.254
ENSMUST00000072239_90_90;0.798;0.396;0.209;0.854;0.712;0.931;0.456;0.215;1.0;0.917;0.843;0.764
ENSMUST00000092219_90_90;0.724;0.428;0.219;0.926;0.771;0.854;0.497;0.227;0.917;1.0;0.919;0.833
ENSMUST00000099355_90_90;0.658;0.462;0.23;0.852;0.834;0.785;0.54;0.239;0.843;0.919;1.0;0.906
ENSMUST00000105293_90_90;0.587;0.505;0.243;0.771;0.913;0.712;0.446;0.254;0.764;0.833;0.906;1.0
