;transcript2_ENSHGLG00100003156;transcript2_ENSPCIG00000036398;transcript8_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript16_ENSHGLG00100003156;transcript16_ENSHGLG00000019563;transcript18_ENSHGLG00100003156;transcript21_ENSHGLG00100003156;transcript22_ENSHGLG00100003156;transcript23_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript19_ENSHGLG00000019563;transcript19_ENSPCIG00000036398;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript7_ENSHGLG00100006079;transcript14_ENSHGLG00100006079
transcript2_ENSHGLG00100003156;1.0;1.0;0.878;0.878;0.986;0.986;0.905;0.959;0.704;0.986;0.905;0.905;0.824;0.676;0.527;0.243;0.73;0.73
transcript2_ENSPCIG00000036398;1.0;1.0;0.878;0.878;0.986;0.986;0.905;0.959;0.704;0.986;0.905;0.905;0.824;0.676;0.527;0.243;0.73;0.73
transcript8_ENSHGLG00100003156;0.878;0.878;1.0;1.0;0.865;0.865;0.97;0.889;0.767;0.865;0.97;0.97;0.853;0.742;0.576;0.258;0.653;0.653
transcript8_ENSHGLG00000019563;0.878;0.878;1.0;1.0;0.865;0.865;0.97;0.889;0.767;0.865;0.97;0.97;0.853;0.742;0.576;0.258;0.653;0.653
transcript16_ENSHGLG00100003156;0.986;0.986;0.865;0.865;1.0;1.0;0.892;0.973;0.691;1.0;0.892;0.892;0.811;0.662;0.514;0.23;0.716;0.716
transcript16_ENSHGLG00000019563;0.986;0.986;0.865;0.865;1.0;1.0;0.892;0.973;0.691;1.0;0.892;0.892;0.811;0.662;0.514;0.23;0.716;0.716
transcript18_ENSHGLG00100003156;0.905;0.905;0.97;0.97;0.892;0.892;1.0;0.917;0.77;0.892;1.0;1.0;0.882;0.746;0.582;0.269;0.681;0.681
transcript21_ENSHGLG00100003156;0.959;0.959;0.889;0.889;0.973;0.973;0.917;1.0;0.709;0.973;0.917;0.917;0.808;0.681;0.528;0.236;0.736;0.736
transcript22_ENSHGLG00100003156;0.704;0.704;0.767;0.767;0.691;0.691;0.77;0.709;1.0;0.691;0.77;0.77;0.786;0.727;0.561;0.281;0.494;0.494
transcript23_ENSHGLG00100003156;0.986;0.986;0.865;0.865;1.0;1.0;0.892;0.973;0.691;1.0;0.892;0.892;0.811;0.662;0.514;0.23;0.716;0.716
transcript13_ENSHGLG00000019563;0.905;0.905;0.97;0.97;0.892;0.892;1.0;0.917;0.77;0.892;1.0;1.0;0.882;0.746;0.582;0.269;0.681;0.681
transcript19_ENSHGLG00000019563;0.905;0.905;0.97;0.97;0.892;0.892;1.0;0.917;0.77;0.892;1.0;1.0;0.882;0.746;0.582;0.269;0.681;0.681
transcript19_ENSPCIG00000036398;0.824;0.824;0.853;0.853;0.811;0.811;0.882;0.808;0.786;0.811;0.882;0.882;1.0;0.762;0.613;0.274;0.575;0.575
transcript26_ENSHGLG00000019563;0.676;0.676;0.742;0.742;0.662;0.662;0.746;0.681;0.727;0.662;0.746;0.746;0.762;1.0;0.78;0.36;0.529;0.529
transcript27_ENSHGLG00000019563;0.527;0.527;0.576;0.576;0.514;0.514;0.582;0.528;0.561;0.514;0.582;0.582;0.613;0.78;1.0;0.462;0.453;0.453
transcript28_ENSHGLG00000019563;0.243;0.243;0.258;0.258;0.23;0.23;0.269;0.236;0.281;0.23;0.269;0.269;0.274;0.36;0.462;1.0;0.263;0.263
transcript7_ENSHGLG00100006079;0.73;0.73;0.653;0.653;0.716;0.716;0.681;0.736;0.494;0.716;0.681;0.681;0.575;0.529;0.453;0.263;1.0;1.0
transcript14_ENSHGLG00100006079;0.73;0.73;0.653;0.653;0.716;0.716;0.681;0.736;0.494;0.716;0.681;0.681;0.575;0.529;0.453;0.263;1.0;1.0
