;ENSCAFT00000022237_90_90;ENST00000423692_90_90;ENST00000431645_90_90;ENST00000448764_90_90;ENST00000449389_90_90;ENST00000611405_90_90;ENST00000614370_90_90;ENST00000614484_90_90;ENST00000618262_90_90;ENST00000618411_90_90;ENST00000641476_90_90;ENSMUST00000040873_90_90;ENSMUST00000196109_90_90;ENSMUST00000197466_90_90;ENSMUST00000197484_90_90;ENSMUST00000198526_90_90;ENSMUST00000199243_90_90;ENSMUST00000199365_90_90;ENSMUST00000199605_90_90;ENSMUST00000199756_90_90;ENSMUST00000223263_90_90
ENSCAFT00000022237_90_90;1.0;0.13;0.155;0.0;0.0;0.257;0.059;0.259;0.259;0.26;0.118;0.223;0.0;0.226;0.07;0.256;0.225;0.0;0.006;0.0;0.066
ENST00000423692_90_90;0.13;1.0;0.0;0.0;0.0;0.196;0.0;0.198;0.198;0.2;0.887;0.055;0.0;0.056;0.123;0.073;0.056;0.0;0.0;0.0;0.0
ENST00000431645_90_90;0.155;0.0;1.0;0.0;0.0;0.196;0.26;0.197;0.197;0.199;0.0;0.083;0.0;0.085;0.245;0.107;0.084;0.0;0.0;0.0;0.0
ENST00000448764_90_90;0.0;0.0;0.0;1.0;0.171;0.38;0.0;0.372;0.371;0.364;0.0;0.387;0.778;0.381;0.0;0.112;0.391;0.028;0.212;0.353;0.0
ENST00000449389_90_90;0.0;0.0;0.0;0.171;1.0;0.051;0.0;0.052;0.052;0.052;0.0;0.055;0.05;0.056;0.0;0.078;0.056;0.0;0.202;0.0;0.0
ENST00000611405_90_90;0.257;0.196;0.196;0.38;0.051;1.0;0.053;0.993;0.991;0.984;0.181;0.625;0.366;0.61;0.09;0.388;0.617;0.054;0.22;0.179;0.0
ENST00000614370_90_90;0.059;0.0;0.26;0.0;0.0;0.053;1.0;0.054;0.054;0.054;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000614484_90_90;0.259;0.198;0.197;0.372;0.052;0.993;0.054;1.0;0.984;0.991;0.183;0.62;0.36;0.604;0.091;0.383;0.611;0.054;0.221;0.179;0.0
ENST00000618262_90_90;0.259;0.198;0.197;0.371;0.052;0.991;0.054;0.984;1.0;0.993;0.183;0.618;0.358;0.613;0.091;0.391;0.61;0.054;0.221;0.18;0.0
ENST00000618411_90_90;0.26;0.2;0.199;0.364;0.052;0.984;0.054;0.991;0.993;1.0;0.185;0.613;0.351;0.608;0.092;0.385;0.604;0.054;0.222;0.18;0.0
ENST00000641476_90_90;0.118;0.887;0.0;0.0;0.0;0.181;0.0;0.183;0.183;0.185;1.0;0.042;0.0;0.042;0.132;0.052;0.042;0.0;0.0;0.0;0.0
ENSMUST00000040873_90_90;0.223;0.055;0.083;0.387;0.055;0.625;0.0;0.62;0.618;0.613;0.042;1.0;0.384;0.978;0.066;0.693;0.988;0.043;0.237;0.184;0.096
ENSMUST00000196109_90_90;0.0;0.0;0.0;0.778;0.05;0.366;0.0;0.36;0.358;0.351;0.0;0.384;1.0;0.362;0.0;0.1;0.372;0.028;0.181;0.394;0.0
ENSMUST00000197466_90_90;0.226;0.056;0.085;0.381;0.056;0.61;0.0;0.604;0.613;0.608;0.042;0.978;0.362;1.0;0.067;0.71;0.99;0.043;0.241;0.173;0.099
ENSMUST00000197484_90_90;0.07;0.123;0.245;0.0;0.0;0.09;0.0;0.091;0.091;0.092;0.132;0.066;0.0;0.067;1.0;0.087;0.066;0.0;0.0;0.0;0.0
ENSMUST00000198526_90_90;0.256;0.073;0.107;0.112;0.078;0.388;0.0;0.383;0.391;0.385;0.052;0.693;0.1;0.71;0.087;1.0;0.702;0.096;0.393;0.0;0.131
ENSMUST00000199243_90_90;0.225;0.056;0.084;0.391;0.056;0.617;0.0;0.611;0.61;0.604;0.042;0.988;0.372;0.99;0.066;0.702;1.0;0.043;0.239;0.172;0.098
ENSMUST00000199365_90_90;0.0;0.0;0.0;0.028;0.0;0.054;0.0;0.054;0.054;0.054;0.0;0.043;0.028;0.043;0.0;0.096;0.043;1.0;0.255;0.0;0.0
ENSMUST00000199605_90_90;0.006;0.0;0.0;0.212;0.202;0.22;0.0;0.221;0.221;0.222;0.0;0.237;0.181;0.241;0.0;0.393;0.239;0.255;1.0;0.0;0.0
ENSMUST00000199756_90_90;0.0;0.0;0.0;0.353;0.0;0.179;0.0;0.179;0.18;0.18;0.0;0.184;0.394;0.173;0.0;0.0;0.172;0.0;0.0;1.0;0.0
ENSMUST00000223263_90_90;0.066;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.096;0.0;0.099;0.0;0.131;0.098;0.0;0.0;0.0;1.0
