;ENSCAFT00000030383_90_90;ENST00000392476_90_90;ENST00000430767_90_90;ENST00000431431_90_90;ENST00000436233_90_90;ENST00000443798_90_90;ENST00000561721_90_90;ENST00000585618_90_90;ENST00000586429_90_90;ENST00000587820_90_90;ENST00000588488_90_90;ENST00000588616_90_90;ENST00000588880_90_90;ENST00000589202_90_90;ENST00000589827_90_90;ENST00000590483_90_90;ENST00000591437_90_90;ENST00000591786_90_90;ENSMUST00000021177_90_90;ENSMUST00000090433_90_90;ENSMUST00000103026_90_90
ENSCAFT00000030383_90_90;1.0;0.901;0.869;0.783;0.869;0.901;0.027;0.869;0.157;0.132;0.117;0.242;0.046;0.209;0.625;0.177;0.783;0.182;0.931;0.898;0.897
ENST00000392476_90_90;0.901;1.0;0.963;0.869;0.963;1.0;0.027;0.963;0.157;0.132;0.117;0.242;0.046;0.253;0.684;0.177;0.869;0.182;0.9;0.869;0.868
ENST00000430767_90_90;0.869;0.963;1.0;0.904;1.0;0.963;0.028;1.0;0.157;0.132;0.118;0.243;0.046;0.254;0.686;0.177;0.904;0.183;0.869;0.899;0.871
ENST00000431431_90_90;0.783;0.869;0.904;1.0;0.904;0.869;0.0;0.904;0.061;0.036;0.128;0.272;0.0;0.285;0.591;0.165;1.0;0.088;0.782;0.811;0.784
ENST00000436233_90_90;0.869;0.963;1.0;0.904;1.0;0.963;0.028;1.0;0.157;0.132;0.118;0.243;0.046;0.254;0.686;0.177;0.904;0.183;0.869;0.899;0.871
ENST00000443798_90_90;0.901;1.0;0.963;0.869;0.963;1.0;0.027;0.963;0.157;0.132;0.117;0.242;0.046;0.253;0.684;0.177;0.869;0.182;0.9;0.869;0.868
ENST00000561721_90_90;0.027;0.027;0.028;0.0;0.028;0.027;1.0;0.028;0.182;0.216;0.0;0.0;0.707;0.0;0.04;0.0;0.0;0.156;0.027;0.028;0.028
ENST00000585618_90_90;0.869;0.963;1.0;0.904;1.0;0.963;0.028;1.0;0.157;0.132;0.118;0.243;0.046;0.254;0.686;0.177;0.904;0.183;0.869;0.899;0.871
ENST00000586429_90_90;0.157;0.157;0.157;0.061;0.157;0.157;0.182;0.157;1.0;0.841;0.0;0.188;0.275;0.0;0.222;0.364;0.061;0.856;0.157;0.157;0.157
ENST00000587820_90_90;0.132;0.132;0.132;0.036;0.132;0.132;0.216;0.132;0.841;1.0;0.0;0.116;0.327;0.0;0.186;0.27;0.036;0.72;0.132;0.132;0.132
ENST00000588488_90_90;0.117;0.117;0.118;0.128;0.118;0.117;0.0;0.118;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.128;0.0;0.117;0.118;0.118
ENST00000588616_90_90;0.242;0.242;0.243;0.272;0.243;0.242;0.0;0.243;0.188;0.116;0.0;1.0;0.0;0.19;0.351;0.513;0.272;0.264;0.242;0.243;0.243
ENST00000588880_90_90;0.046;0.046;0.046;0.0;0.046;0.046;0.707;0.046;0.275;0.327;0.0;0.0;1.0;0.0;0.065;0.0;0.0;0.235;0.046;0.046;0.046
ENST00000589202_90_90;0.209;0.253;0.254;0.285;0.254;0.253;0.0;0.254;0.0;0.0;0.0;0.19;0.0;1.0;0.354;0.034;0.285;0.0;0.188;0.189;0.189
ENST00000589827_90_90;0.625;0.684;0.686;0.591;0.686;0.684;0.04;0.686;0.222;0.186;0.0;0.351;0.065;0.354;1.0;0.25;0.591;0.26;0.597;0.599;0.599
ENST00000590483_90_90;0.177;0.177;0.177;0.165;0.177;0.177;0.0;0.177;0.364;0.27;0.0;0.513;0.0;0.034;0.25;1.0;0.165;0.464;0.177;0.177;0.177
ENST00000591437_90_90;0.783;0.869;0.904;1.0;0.904;0.869;0.0;0.904;0.061;0.036;0.128;0.272;0.0;0.285;0.591;0.165;1.0;0.088;0.782;0.811;0.784
ENST00000591786_90_90;0.182;0.182;0.183;0.088;0.183;0.182;0.156;0.183;0.856;0.72;0.0;0.264;0.235;0.0;0.26;0.464;0.088;1.0;0.182;0.183;0.183
ENSMUST00000021177_90_90;0.931;0.9;0.869;0.782;0.869;0.9;0.027;0.869;0.157;0.132;0.117;0.242;0.046;0.188;0.597;0.177;0.782;0.182;1.0;0.963;0.962
ENSMUST00000090433_90_90;0.898;0.869;0.899;0.811;0.899;0.869;0.028;0.899;0.157;0.132;0.118;0.243;0.046;0.189;0.599;0.177;0.811;0.183;0.963;1.0;0.965
ENSMUST00000103026_90_90;0.897;0.868;0.871;0.784;0.871;0.868;0.028;0.871;0.157;0.132;0.118;0.243;0.046;0.189;0.599;0.177;0.784;0.183;0.962;0.965;1.0
