;transcript8_ENSAOCG00000015695;transcript8_ENSAPOG00000023408;transcript42_ENSAPOG00000023408;transcript26_ENSAOCG00000015695;transcript7_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript27_ENSAPOG00000016134;transcript27_ENSAPOG00000023408;transcript33_ENSAPOG00000016134;transcript35_ENSAPOG00000016134;transcript36_ENSAPOG00000016134;transcript37_ENSAPOG00000016134;transcript38_ENSAPOG00000016134;transcript30_ENSAPOG00000023408;transcript40_ENSAPOG00000023408;transcript32_ENSAPOG00000016134;transcript32_ENSAPOG00000023408;transcript41_ENSAPOG00000023408;transcript43_ENSAPOG00000023408;transcript36_ENSAOCG00000015695;transcript25_ENSAOCG00000015695;transcript1_ENSAOCG00000015695;transcript37_ENSAOCG00000015695;transcript38_ENSAOCG00000015695;transcript22_ENSPNYG00000024266
transcript8_ENSAOCG00000015695;1.0;0.8;0.514;0.629;0.556;0.556;0.583;0.583;0.595;0.545;0.606;0.618;0.545;0.541;0.514;0.568;0.568;0.541;0.583;0.588;0.583;0.579;0.618;0.594;0.579
transcript8_ENSAPOG00000023408;0.8;1.0;0.459;0.657;0.583;0.583;0.611;0.611;0.622;0.576;0.588;0.647;0.486;0.568;0.541;0.595;0.595;0.568;0.611;0.618;0.611;0.622;0.647;0.529;0.622
transcript42_ENSAPOG00000023408;0.514;0.459;1.0;0.784;0.757;0.757;0.784;0.784;0.838;0.622;0.771;0.73;0.765;0.784;0.757;0.861;0.861;0.833;0.833;0.703;0.784;0.838;0.73;0.714;0.838
transcript26_ENSAOCG00000015695;0.629;0.657;0.784;1.0;0.865;0.865;0.892;0.892;0.946;0.73;0.886;0.943;0.778;0.892;0.865;0.919;0.919;0.892;0.892;0.811;0.892;0.921;0.943;0.829;0.921
transcript7_ENSAPOG00000016134;0.556;0.583;0.757;0.865;1.0;1.0;0.971;0.971;0.919;0.8;0.857;0.914;0.8;0.917;0.889;0.892;0.892;0.865;0.865;0.886;0.971;0.919;0.914;0.8;0.919
transcript7_ENSAPOG00000023408;0.556;0.583;0.757;0.865;1.0;1.0;0.971;0.971;0.919;0.8;0.857;0.914;0.8;0.917;0.889;0.892;0.892;0.865;0.865;0.886;0.971;0.919;0.914;0.8;0.919
transcript27_ENSAPOG00000016134;0.583;0.611;0.784;0.892;0.971;0.971;1.0;1.0;0.946;0.829;0.886;0.943;0.829;0.892;0.865;0.919;0.919;0.892;0.892;0.914;1.0;0.946;0.943;0.829;0.946
transcript27_ENSAPOG00000023408;0.583;0.611;0.784;0.892;0.971;0.971;1.0;1.0;0.946;0.829;0.886;0.943;0.829;0.892;0.865;0.919;0.919;0.892;0.892;0.914;1.0;0.946;0.943;0.829;0.946
transcript33_ENSAPOG00000016134;0.595;0.622;0.838;0.946;0.919;0.919;0.946;0.946;1.0;0.784;0.838;0.892;0.784;0.946;0.919;0.973;0.973;0.946;0.946;0.865;0.946;1.0;0.892;0.784;1.0
transcript35_ENSAPOG00000016134;0.545;0.576;0.622;0.73;0.8;0.8;0.829;0.829;0.784;1.0;0.714;0.771;0.657;0.73;0.703;0.757;0.757;0.73;0.73;0.743;0.829;0.784;0.771;0.657;0.784
transcript36_ENSAPOG00000016134;0.606;0.588;0.771;0.886;0.857;0.857;0.886;0.886;0.838;0.714;1.0;0.939;0.875;0.784;0.757;0.811;0.811;0.784;0.784;0.8;0.886;0.838;0.939;0.935;0.838
transcript37_ENSAPOG00000016134;0.618;0.647;0.73;0.943;0.914;0.914;0.943;0.943;0.892;0.771;0.939;1.0;0.824;0.838;0.811;0.865;0.865;0.838;0.838;0.857;0.943;0.892;1.0;0.879;0.892
transcript38_ENSAPOG00000016134;0.545;0.486;0.765;0.778;0.8;0.8;0.829;0.829;0.784;0.657;0.875;0.824;1.0;0.73;0.703;0.757;0.757;0.73;0.73;0.743;0.829;0.784;0.824;0.933;0.784
transcript30_ENSAPOG00000023408;0.541;0.568;0.784;0.892;0.917;0.917;0.892;0.892;0.946;0.73;0.784;0.838;0.73;1.0;0.971;0.919;0.919;0.892;0.892;0.811;0.892;0.946;0.838;0.73;0.946
transcript40_ENSAPOG00000023408;0.514;0.541;0.757;0.865;0.889;0.889;0.865;0.865;0.919;0.703;0.757;0.811;0.703;0.971;1.0;0.892;0.892;0.917;0.865;0.784;0.865;0.919;0.811;0.703;0.919
transcript32_ENSAPOG00000016134;0.568;0.595;0.861;0.919;0.892;0.892;0.919;0.919;0.973;0.757;0.811;0.865;0.757;0.919;0.892;1.0;1.0;0.972;0.972;0.838;0.919;0.973;0.865;0.757;0.973
transcript32_ENSAPOG00000023408;0.568;0.595;0.861;0.919;0.892;0.892;0.919;0.919;0.973;0.757;0.811;0.865;0.757;0.919;0.892;1.0;1.0;0.972;0.972;0.838;0.919;0.973;0.865;0.757;0.973
transcript41_ENSAPOG00000023408;0.541;0.568;0.833;0.892;0.865;0.865;0.892;0.892;0.946;0.73;0.784;0.838;0.73;0.892;0.917;0.972;0.972;1.0;0.944;0.811;0.892;0.946;0.838;0.73;0.946
transcript43_ENSAPOG00000023408;0.583;0.611;0.833;0.892;0.865;0.865;0.892;0.892;0.946;0.73;0.784;0.838;0.73;0.892;0.865;0.972;0.972;0.944;1.0;0.861;0.892;0.946;0.838;0.73;0.946
transcript36_ENSAOCG00000015695;0.588;0.618;0.703;0.811;0.886;0.886;0.914;0.914;0.865;0.743;0.8;0.857;0.743;0.811;0.784;0.838;0.838;0.811;0.861;1.0;0.914;0.842;0.857;0.743;0.842
transcript25_ENSAOCG00000015695;0.583;0.611;0.784;0.892;0.971;0.971;1.0;1.0;0.946;0.829;0.886;0.943;0.829;0.892;0.865;0.919;0.919;0.892;0.892;0.914;1.0;0.921;0.943;0.829;0.921
transcript1_ENSAOCG00000015695;0.579;0.622;0.838;0.921;0.919;0.919;0.946;0.946;1.0;0.784;0.838;0.892;0.784;0.946;0.919;0.973;0.973;0.946;0.946;0.842;0.921;1.0;0.868;0.763;1.0
transcript37_ENSAOCG00000015695;0.618;0.647;0.73;0.943;0.914;0.914;0.943;0.943;0.892;0.771;0.939;1.0;0.824;0.838;0.811;0.865;0.865;0.838;0.838;0.857;0.943;0.868;1.0;0.879;0.868
transcript38_ENSAOCG00000015695;0.594;0.529;0.714;0.829;0.8;0.8;0.829;0.829;0.784;0.657;0.935;0.879;0.933;0.73;0.703;0.757;0.757;0.73;0.73;0.743;0.829;0.763;0.879;1.0;0.763
transcript22_ENSPNYG00000024266;0.579;0.622;0.838;0.921;0.919;0.919;0.946;0.946;1.0;0.784;0.838;0.892;0.784;0.946;0.919;0.973;0.973;0.946;0.946;0.842;0.921;1.0;0.868;0.763;1.0
