;transcript2_ENSHGLG00100006079;transcript8_ENSHGLG00100006079;transcript6_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript16_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript16_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript2_ENSXMAG00000026005;transcript7_ENSXMAG00000026005;transcript8_ENSXMAG00000026005;transcript9_ENSXMAG00000026005;transcript10_ENSXMAG00000026005
transcript2_ENSHGLG00100006079;1.0;0.559;0.9;0.039;0.898;0.898;0.898;1.0;1.0;1.0;0.829;0.565;1.0;1.0
transcript8_ENSHGLG00100006079;0.559;1.0;0.374;0.073;0.067;0.067;0.067;0.075;0.551;0.559;0.695;0.021;0.559;0.559
transcript6_ENSPCIG00000036398;0.9;0.374;1.0;0.0;0.91;0.91;0.91;0.98;0.905;0.9;0.705;0.678;0.9;0.9
transcript7_ENSPCIG00000036398;0.039;0.073;0.0;1.0;0.133;0.133;0.133;0.133;0.0;0.039;0.0;0.076;0.039;0.039
transcript7_ENSMUNG00000007775;0.898;0.067;0.91;0.133;1.0;1.0;1.0;1.0;0.891;0.898;0.0;1.0;0.898;0.898
transcript16_ENSMUNG00000007775;0.898;0.067;0.91;0.133;1.0;1.0;1.0;1.0;0.891;0.898;0.0;1.0;0.898;0.898
transcript23_ENSMUNG00000007775;0.898;0.067;0.91;0.133;1.0;1.0;1.0;1.0;0.891;0.898;0.0;1.0;0.898;0.898
transcript16_ENSMUNG00000002377;1.0;0.075;0.98;0.133;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0
transcript10_ENSMUNG00000002391;1.0;0.551;0.905;0.0;0.891;0.891;0.891;1.0;1.0;1.0;0.84;0.556;1.0;1.0
transcript2_ENSXMAG00000026005;1.0;0.559;0.9;0.039;0.898;0.898;0.898;1.0;1.0;1.0;0.829;0.565;1.0;1.0
transcript7_ENSXMAG00000026005;0.829;0.695;0.705;0.0;0.0;0.0;0.0;0.0;0.84;0.829;1.0;0.304;0.829;0.829
transcript8_ENSXMAG00000026005;0.565;0.021;0.678;0.076;1.0;1.0;1.0;1.0;0.556;0.565;0.304;1.0;0.565;0.565
transcript9_ENSXMAG00000026005;1.0;0.559;0.9;0.039;0.898;0.898;0.898;1.0;1.0;1.0;0.829;0.565;1.0;1.0
transcript10_ENSXMAG00000026005;1.0;0.559;0.9;0.039;0.898;0.898;0.898;1.0;1.0;1.0;0.829;0.565;1.0;1.0
