;transcript28_ENSMPUG00000020072;transcript27_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript15_ENSMLUG00000027828;transcript12_ENSMLUG00000027828;transcript25_ENSMPUG00000020072;transcript7_ENSMPUG00000020072;transcript7_ENSCCNG00000000226;transcript12_ENSECAG00000007947;transcript23_ENSECAG00000007947;transcript31_ENSECAG00000007947;transcript33_ENSECAG00000007947;transcript32_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript26_ENSMLUG00000027828;transcript25_ENSMLUG00000027828;transcript7_ENSSTOG00000019743
transcript28_ENSMPUG00000020072;1.0;0.666;0.736;0.899;0.905;0.82;0.093;0.97;0.912;0.912;0.912;0.915;0.922;0.085;0.749;0.758;0.968
transcript27_ENSMLUG00000027828;0.666;1.0;0.918;0.762;0.743;0.827;0.115;0.952;0.71;0.71;0.71;0.702;0.674;0.126;0.877;0.851;0.947
transcript16_ENSMLUG00000027828;0.736;0.918;1.0;0.831;0.811;0.907;0.104;0.952;0.777;0.777;0.777;0.768;0.742;0.11;0.96;0.931;0.947
transcript15_ENSMLUG00000027828;0.899;0.762;0.831;1.0;0.976;0.788;0.085;0.952;0.929;0.929;0.929;0.921;0.895;0.085;0.798;0.778;0.947
transcript12_ENSMLUG00000027828;0.905;0.743;0.811;0.976;1.0;0.814;0.083;0.952;0.952;0.952;0.952;0.944;0.918;0.083;0.778;0.803;0.947
transcript25_ENSMPUG00000020072;0.82;0.827;0.907;0.788;0.814;1.0;0.109;0.97;0.798;0.798;0.798;0.801;0.807;0.104;0.925;0.956;0.968
transcript7_ENSMPUG00000020072;0.093;0.115;0.104;0.085;0.083;0.109;1.0;0.97;0.097;0.097;0.097;0.097;0.099;0.863;0.107;0.103;0.968
transcript7_ENSCCNG00000000226;0.97;0.952;0.952;0.952;0.952;0.97;0.97;1.0;1.0;1.0;1.0;1.0;1.0;0.905;0.952;0.952;1.0
transcript12_ENSECAG00000007947;0.912;0.71;0.777;0.929;0.952;0.798;0.097;1.0;1.0;1.0;1.0;0.989;0.958;0.087;0.749;0.772;1.0
transcript23_ENSECAG00000007947;0.912;0.71;0.777;0.929;0.952;0.798;0.097;1.0;1.0;1.0;1.0;0.989;0.958;0.087;0.749;0.772;1.0
transcript31_ENSECAG00000007947;0.912;0.71;0.777;0.929;0.952;0.798;0.097;1.0;1.0;1.0;1.0;0.989;0.958;0.087;0.749;0.772;1.0
transcript33_ENSECAG00000007947;0.915;0.702;0.768;0.921;0.944;0.801;0.097;1.0;0.989;0.989;0.989;1.0;0.969;0.088;0.756;0.779;1.0
transcript32_ENSECAG00000007947;0.922;0.674;0.742;0.895;0.918;0.807;0.099;1.0;0.958;0.958;0.958;0.969;1.0;0.092;0.768;0.792;1.0
transcript7_ENSMLUG00000027828;0.085;0.126;0.11;0.085;0.083;0.104;0.863;0.905;0.087;0.087;0.087;0.088;0.092;1.0;0.118;0.113;0.89
transcript26_ENSMLUG00000027828;0.749;0.877;0.96;0.798;0.778;0.925;0.107;0.952;0.749;0.749;0.749;0.756;0.768;0.118;1.0;0.969;0.947
transcript25_ENSMLUG00000027828;0.758;0.851;0.931;0.778;0.803;0.956;0.103;0.952;0.772;0.772;0.772;0.779;0.792;0.113;0.969;1.0;0.947
transcript7_ENSSTOG00000019743;0.968;0.947;0.947;0.947;0.947;0.968;0.968;1.0;1.0;1.0;1.0;1.0;1.0;0.89;0.947;0.947;1.0
