;transcript21_ENSHGLG00100003156;transcript8_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript14_ENSHGLG00100006079;transcript7_ENSHGLG00100006079;transcript27_ENSHGLG00000019563;transcript18_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript19_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript2_ENSHGLG00100003156;transcript16_ENSHGLG00100003156;transcript16_ENSHGLG00000019563;transcript23_ENSHGLG00100003156;transcript22_ENSHGLG00100003156;transcript28_ENSHGLG00000019563;transcript2_ENSPCIG00000036398;transcript19_ENSPCIG00000036398
transcript21_ENSHGLG00100003156;1.0;0.795;0.795;0.952;0.952;0.733;0.79;0.79;0.79;0.689;0.924;0.935;0.935;0.935;0.753;0.517;0.924;0.79
transcript8_ENSHGLG00100003156;0.795;1.0;1.0;0.773;0.773;0.811;0.985;0.985;0.985;0.868;0.853;0.841;0.841;0.841;0.708;0.667;0.853;0.985
transcript8_ENSHGLG00000019563;0.795;1.0;1.0;0.773;0.773;0.811;0.985;0.985;0.985;0.868;0.853;0.841;0.841;0.841;0.708;0.667;0.853;0.985
transcript14_ENSHGLG00100006079;0.952;0.773;0.773;1.0;1.0;0.735;0.769;0.769;0.769;0.69;0.902;0.891;0.891;0.891;0.755;0.542;0.902;0.769
transcript7_ENSHGLG00100006079;0.952;0.773;0.773;1.0;1.0;0.735;0.769;0.769;0.769;0.69;0.902;0.891;0.891;0.891;0.755;0.542;0.902;0.769
transcript27_ENSHGLG00000019563;0.733;0.811;0.811;0.735;0.735;1.0;0.805;0.805;0.805;0.915;0.698;0.686;0.686;0.686;0.55;0.688;0.698;0.805
transcript18_ENSHGLG00100003156;0.79;0.985;0.985;0.769;0.769;0.805;1.0;1.0;1.0;0.88;0.866;0.855;0.855;0.855;0.721;0.679;0.866;1.0
transcript13_ENSHGLG00000019563;0.79;0.985;0.985;0.769;0.769;0.805;1.0;1.0;1.0;0.88;0.866;0.855;0.855;0.855;0.721;0.679;0.866;1.0
transcript19_ENSHGLG00000019563;0.79;0.985;0.985;0.769;0.769;0.805;1.0;1.0;1.0;0.88;0.866;0.855;0.855;0.855;0.721;0.679;0.866;1.0
transcript26_ENSHGLG00000019563;0.689;0.868;0.868;0.69;0.69;0.915;0.88;0.88;0.88;1.0;0.762;0.75;0.75;0.75;0.615;0.772;0.762;0.88
transcript2_ENSHGLG00100003156;0.924;0.853;0.853;0.902;0.902;0.698;0.866;0.866;0.866;0.762;1.0;0.988;0.988;0.988;0.826;0.588;1.0;0.866
transcript16_ENSHGLG00100003156;0.935;0.841;0.841;0.891;0.891;0.686;0.855;0.855;0.855;0.75;0.988;1.0;1.0;1.0;0.818;0.579;0.988;0.855
transcript16_ENSHGLG00000019563;0.935;0.841;0.841;0.891;0.891;0.686;0.855;0.855;0.855;0.75;0.988;1.0;1.0;1.0;0.818;0.579;0.988;0.855
transcript23_ENSHGLG00100003156;0.935;0.841;0.841;0.891;0.891;0.686;0.855;0.855;0.855;0.75;0.988;1.0;1.0;1.0;0.818;0.579;0.988;0.855
transcript22_ENSHGLG00100003156;0.753;0.708;0.708;0.755;0.755;0.55;0.721;0.721;0.721;0.615;0.826;0.818;0.818;0.818;1.0;0.712;0.826;0.721
transcript28_ENSHGLG00000019563;0.517;0.667;0.667;0.542;0.542;0.688;0.679;0.679;0.679;0.772;0.588;0.579;0.579;0.579;0.712;1.0;0.588;0.679
transcript2_ENSPCIG00000036398;0.924;0.853;0.853;0.902;0.902;0.698;0.866;0.866;0.866;0.762;1.0;0.988;0.988;0.988;0.826;0.588;1.0;0.866
transcript19_ENSPCIG00000036398;0.79;0.985;0.985;0.769;0.769;0.805;1.0;1.0;1.0;0.88;0.866;0.855;0.855;0.855;0.721;0.679;0.866;1.0
