;id_gene;exons_positions
0;ENSG00000163694_90;start:40423267+end:40426143&start:40432651+end:40432862&start:40436441+end:40436885&start:40437771+end:40438924&start:40455475+end:40455595&start:40466577+end:40466699&start:40475693+end:40475749&start:40514516+end:40514758&start:40515867+end:40515973&start:40544422+end:40544506&start:40629396+end:40629864&start:40629978+end:40630316&start:40630463+end:40630875
1;ENSMUSG00000070780_90;start:66016549+end:66019436&start:66022628+end:66022833&start:66024953+end:66025159&start:66026130+end:66027289&start:66046087+end:66046213&start:66054482+end:66054552&start:66068798+end:66068886&start:66080939+end:66081099&start:66097707+end:66097788&start:66098159+end:66098191&start:66150516+end:66151323&start:66151539+end:66151701&start:66151855+end:66151958&start:66172845+end:66173118
2;ENSCAFG00000015898_90;start:72065612+end:72066237&start:72122888+end:72124050&start:72124993+end:72125199&start:72126666+end:72126868&start:72132435+end:72135766
3;ENSG00000151962_90;start:154781213+end:154781436&start:154781505+end:154781672&start:154781817+end:154781932&start:154796742+end:154796903&start:154797811+end:154798278&start:154798782+end:154799564&start:154820363+end:154820422&start:154826768+end:154828813
4;ENSCAFG00000008473_90;start:52441960+end:52442121&start:52445278+end:52445745&start:52446294+end:52447076&start:52468619+end:52468678&start:52476642+end:52479665
5;ENSMUSG00000033882_90;start:82837228+end:82837432&start:82837815+end:82838459&start:82842474+end:82842533&start:82863905+end:82864687&start:82865205+end:82865672&start:82866486+end:82866647&start:82876308+end:82876483
6;ENSCAFG00000013308_90;start:76077031+end:76077187&start:76079442+end:76079560&start:76080192+end:76080299&start:76083271+end:76083384&start:76092636+end:76092812&start:76094410+end:76094545&start:76096988+end:76097193&start:76101666+end:76101815&start:76104142+end:76104263&start:76104404+end:76105016
7;ENSG00000125944_90;start:23303963+end:23304106&start:23304688+end:23311066&start:23311201+end:23311322&start:23313553+end:23313702&start:23318483+end:23318697&start:23321528+end:23321663&start:23323556+end:23323732&start:23333518+end:23333631&start:23337754+end:23337861&start:23338490+end:23338608&start:23340852+end:23341020&start:23344211+end:23344336
8;ENSMUSG00000066037_90;start:136310942+end:136311089&start:136311535+end:136311747&start:136314087+end:136314255&start:136316361+end:136316484&start:136317084+end:136317191&start:136319394+end:136319507&start:136327236+end:136327412&start:136329366+end:136329501&start:136332398+end:136332603&start:136336298+end:136336447&start:136339176+end:136339297&start:136339419+end:136359447
9;ENSG00000135316_90;start:85607785+end:85612923&start:85614106+end:85615347&start:85618818+end:85618939&start:85619268+end:85619417&start:85622482+end:85622687&start:85623977+end:85624112&start:85636967+end:85637143&start:85637243+end:85637356&start:85640221+end:85640328&start:85640446+end:85640564&start:85641292+end:85641451&start:85642797+end:85643285&start:85643750+end:85643792
10;ENSCAFG00000003024_90;start:45618495+end:45618586&start:45620681+end:45621047&start:45624466+end:45624587&start:45625109+end:45625258&start:45627473+end:45627678&start:45628626+end:45628761&start:45638819+end:45638995&start:45639095+end:45639208&start:45642060+end:45642167&start:45642285+end:45642403&start:45643136+end:45643295&start:45644684+end:45645456
11;ENSMUSG00000032423_90;start:88447009+end:88454295&start:88455578+end:88456729&start:88461670+end:88461791&start:88462236+end:88462385&start:88462955+end:88463160&start:88464648+end:88464783&start:88476789+end:88476965&start:88477074+end:88477187&start:88479571+end:88479678&start:88479794+end:88479912&start:88480606+end:88480765&start:88481005+end:88481169&start:88482056+end:88482574
