;ENSCAFT00000002592_90_90;ENST00000380321_90_90;ENST00000380338_90_90;ENST00000629733_90_90;ENST00000630269_90_90;ENSMUST00000078090_90_90;ENSMUST00000126353_90_90;ENSMUST00000142454_90_90;ENSMUST00000148059_90_90;ENSMUST00000149357_90_90
ENSCAFT00000002592_90_90;1.0;0.286;1.0;0.243;0.991;0.999;0.243;0.105;0.095;0.285
ENST00000380321_90_90;0.286;1.0;0.285;0.852;0.287;0.285;0.852;0.0;0.333;1.0
ENST00000380338_90_90;1.0;0.285;1.0;0.243;0.991;0.999;0.243;0.105;0.095;0.285
ENST00000629733_90_90;0.243;0.852;0.243;1.0;0.244;0.243;1.0;0.0;0.289;0.852
ENST00000630269_90_90;0.991;0.287;0.991;0.244;1.0;0.992;0.245;0.106;0.096;0.287
ENSMUST00000078090_90_90;0.999;0.285;0.999;0.243;0.992;1.0;0.243;0.104;0.095;0.285
ENSMUST00000126353_90_90;0.243;0.852;0.243;1.0;0.245;0.243;1.0;0.0;0.289;0.852
ENSMUST00000142454_90_90;0.105;0.0;0.105;0.0;0.106;0.104;0.0;1.0;0.0;0.0
ENSMUST00000148059_90_90;0.095;0.333;0.095;0.289;0.096;0.095;0.289;0.0;1.0;0.333
ENSMUST00000149357_90_90;0.285;1.0;0.285;0.852;0.287;0.285;0.852;0.0;0.333;1.0
