;ENSCAFT00000002475_90_90;ENST00000341376_90_90;ENST00000353205_90_90;ENSMUST00000046719_90_90;ENSMUST00000078800_90_90;ENSMUST00000159063_90_90;ENSMUST00000159237_90_90;ENSMUST00000159535_90_90;ENSMUST00000160319_90_90;ENSMUST00000161117_90_90;ENSMUST00000161256_90_90;ENSMUST00000162460_90_90
ENSCAFT00000002475_90_90;1.0;1.0;0.714;0.929;0.857;0.5;0.5;0.5;0.786;0.643;0.429;0.643
ENST00000341376_90_90;1.0;1.0;0.733;0.933;0.867;0.533;0.467;0.533;0.8;0.6;0.4;0.667
ENST00000353205_90_90;0.714;0.733;1.0;0.667;0.714;0.727;0.636;0.462;0.533;0.538;0.545;0.909
ENSMUST00000046719_90_90;0.929;0.933;0.667;1.0;0.933;0.6;0.412;0.6;0.867;0.667;0.467;0.733
ENSMUST00000078800_90_90;0.857;0.867;0.714;0.933;1.0;0.643;0.438;0.643;0.8;0.714;0.5;0.786
ENSMUST00000159063_90_90;0.5;0.533;0.727;0.6;0.643;1.0;0.385;0.636;0.692;0.462;0.6;0.818
ENSMUST00000159237_90_90;0.5;0.467;0.636;0.412;0.438;0.385;1.0;0.2;0.294;0.462;0.6;0.538
ENSMUST00000159535_90_90;0.5;0.533;0.462;0.6;0.643;0.636;0.2;1.0;0.692;0.462;0.333;0.538
ENSMUST00000160319_90_90;0.786;0.8;0.533;0.867;0.8;0.692;0.294;0.692;1.0;0.533;0.429;0.6
ENSMUST00000161117_90_90;0.643;0.6;0.538;0.667;0.714;0.462;0.462;0.462;0.533;1.0;0.545;0.615
ENSMUST00000161256_90_90;0.429;0.4;0.545;0.467;0.5;0.6;0.6;0.333;0.429;0.545;1.0;0.636
ENSMUST00000162460_90_90;0.643;0.667;0.909;0.733;0.786;0.818;0.538;0.538;0.6;0.615;0.636;1.0
