;ENSCAFT00000020697_90_90;ENSCAFT00000043849_90_90;ENST00000242480_90_90;ENST00000411732_90_90;ENST00000439032_90_90;ENST00000637191_90_90;ENSMUST00000048289_90_90;ENSMUST00000105438_90_90;ENSMUST00000127820_90_90;ENSMUST00000130933_90_90;ENSMUST00000145754_90_90;ENSMUST00000145936_90_90;ENSMUST00000146986_90_90
ENSCAFT00000020697_90_90;1.0;0.655;0.595;0.601;0.595;0.0;0.6;0.606;0.608;0.0;0.038;0.154;0.0
ENSCAFT00000043849_90_90;0.655;1.0;0.451;0.457;0.451;0.0;0.457;0.463;0.465;0.0;0.0;0.0;0.0
ENST00000242480_90_90;0.595;0.451;1.0;0.928;1.0;0.244;0.967;0.893;0.865;0.059;0.281;0.402;0.112
ENST00000411732_90_90;0.601;0.457;0.928;1.0;0.928;0.172;0.893;0.963;0.932;0.011;0.254;0.378;0.12
ENST00000439032_90_90;0.595;0.451;1.0;0.928;1.0;0.244;0.967;0.893;0.865;0.059;0.281;0.402;0.112
ENST00000637191_90_90;0.0;0.0;0.244;0.172;0.244;1.0;0.211;0.138;0.108;0.237;0.506;0.354;0.504
ENSMUST00000048289_90_90;0.6;0.457;0.967;0.893;0.967;0.211;1.0;0.928;0.901;0.057;0.34;0.453;0.178
ENSMUST00000105438_90_90;0.606;0.463;0.893;0.963;0.893;0.138;0.928;1.0;0.971;0.01;0.315;0.431;0.191
ENSMUST00000127820_90_90;0.608;0.465;0.865;0.932;0.865;0.108;0.901;0.971;1.0;0.0;0.287;0.404;0.162
ENSMUST00000130933_90_90;0.0;0.0;0.059;0.011;0.059;0.237;0.057;0.01;0.0;1.0;0.111;0.087;0.044
ENSMUST00000145754_90_90;0.038;0.0;0.281;0.254;0.281;0.506;0.34;0.315;0.287;0.111;1.0;0.758;0.5
ENSMUST00000145936_90_90;0.154;0.0;0.402;0.378;0.402;0.354;0.453;0.431;0.404;0.087;0.758;1.0;0.363
ENSMUST00000146986_90_90;0.0;0.0;0.112;0.12;0.112;0.504;0.178;0.191;0.162;0.044;0.5;0.363;1.0
