;ENSCAFT00000014422_90_90;ENSCAFT00000021670_90_90;ENST00000265969_90_90;ENST00000379472_90_90;ENST00000638366_90_90;ENST00000638825_90_90;ENST00000639325_90_90;ENST00000639495_90_90;ENST00000640318_90_90;ENST00000640461_90_90;ENST00000640909_90_90;ENST00000302127_90_90;ENST00000315987_90_90;ENST00000369697_90_90;ENSMUST00000079169_90_90;ENSMUST00000098761_90_90;ENSMUST00000118360_90_90;ENSMUST00000025202_90_90;ENSMUST00000160433_90_90
ENSCAFT00000014422_90_90;1.0;0.576;0.749;0.844;0.088;0.021;0.066;0.216;0.536;0.038;0.33;0.628;0.615;0.628;0.615;0.628;0.615;0.844;0.749
ENSCAFT00000021670_90_90;0.576;1.0;0.544;0.591;0.087;0.019;0.054;0.172;0.393;0.032;0.276;0.591;0.578;0.591;0.578;0.591;0.578;0.591;0.544
ENST00000265969_90_90;0.749;0.544;1.0;0.843;0.093;0.131;0.066;0.216;0.686;0.038;0.52;0.546;0.533;0.546;0.533;0.546;0.533;0.843;0.999
ENST00000379472_90_90;0.844;0.591;0.843;1.0;0.1;0.024;0.074;0.244;0.599;0.043;0.371;0.622;0.606;0.622;0.606;0.622;0.606;1.0;0.843
ENST00000638366_90_90;0.088;0.087;0.093;0.1;1.0;0.12;0.308;0.26;0.107;0.196;0.174;0.075;0.073;0.075;0.073;0.075;0.073;0.1;0.093
ENST00000638825_90_90;0.021;0.019;0.131;0.024;0.12;1.0;0.082;0.056;0.152;0.102;0.251;0.018;0.017;0.018;0.017;0.018;0.017;0.024;0.13
ENST00000639325_90_90;0.066;0.054;0.066;0.074;0.308;0.082;1.0;0.446;0.205;0.671;0.116;0.055;0.054;0.055;0.054;0.055;0.054;0.074;0.066
ENST00000639495_90_90;0.216;0.172;0.216;0.244;0.26;0.056;0.446;1.0;0.36;0.382;0.389;0.177;0.172;0.177;0.172;0.177;0.172;0.244;0.216
ENST00000640318_90_90;0.536;0.393;0.686;0.599;0.107;0.152;0.205;0.36;1.0;0.138;0.54;0.399;0.39;0.399;0.39;0.399;0.39;0.599;0.685
ENST00000640461_90_90;0.038;0.032;0.038;0.043;0.196;0.102;0.671;0.382;0.138;1.0;0.069;0.033;0.032;0.033;0.032;0.033;0.032;0.043;0.038
ENST00000640909_90_90;0.33;0.276;0.52;0.371;0.174;0.251;0.116;0.389;0.54;0.069;1.0;0.274;0.267;0.274;0.267;0.274;0.267;0.371;0.519
ENST00000302127_90_90;0.628;0.591;0.546;0.622;0.075;0.018;0.055;0.177;0.399;0.033;0.274;1.0;0.971;1.0;0.971;1.0;0.971;0.622;0.546
ENST00000315987_90_90;0.615;0.578;0.533;0.606;0.073;0.017;0.054;0.172;0.39;0.032;0.267;0.971;1.0;0.971;1.0;0.971;1.0;0.606;0.533
ENST00000369697_90_90;0.628;0.591;0.546;0.622;0.075;0.018;0.055;0.177;0.399;0.033;0.274;1.0;0.971;1.0;0.971;1.0;0.971;0.622;0.546
ENSMUST00000079169_90_90;0.615;0.578;0.533;0.606;0.073;0.017;0.054;0.172;0.39;0.032;0.267;0.971;1.0;0.971;1.0;0.971;1.0;0.606;0.533
ENSMUST00000098761_90_90;0.628;0.591;0.546;0.622;0.075;0.018;0.055;0.177;0.399;0.033;0.274;1.0;0.971;1.0;0.971;1.0;0.971;0.622;0.546
ENSMUST00000118360_90_90;0.615;0.578;0.533;0.606;0.073;0.017;0.054;0.172;0.39;0.032;0.267;0.971;1.0;0.971;1.0;0.971;1.0;0.606;0.533
ENSMUST00000025202_90_90;0.844;0.591;0.843;1.0;0.1;0.024;0.074;0.244;0.599;0.043;0.371;0.622;0.606;0.622;0.606;0.622;0.606;1.0;0.843
ENSMUST00000160433_90_90;0.749;0.544;0.999;0.843;0.093;0.13;0.066;0.216;0.685;0.038;0.519;0.546;0.533;0.546;0.533;0.546;0.533;0.843;1.0
