;ENSCAFT00000012285_90_90;ENST00000361618_90_90;ENST00000393702_90_90;ENST00000393704_90_90;ENST00000502832_90_90;ENST00000504999_90_90;ENST00000506110_90_90;ENST00000506764_90_90;ENST00000507601_90_90;ENST00000510306_90_90;ENST00000512698_90_90;ENSMUST00000034066_90_90;ENSMUST00000160719_90_90;ENSMUST00000161421_90_90;ENSMUST00000161702_90_90
ENSCAFT00000012285_90_90;1.0;1.0;0.343;0.597;0.189;0.285;0.343;0.222;0.11;0.145;0.359;1.0;1.0;0.597;1.0
ENST00000361618_90_90;1.0;1.0;0.348;0.574;0.178;0.32;0.348;0.21;0.105;0.139;0.342;1.0;1.0;0.574;1.0
ENST00000393702_90_90;0.343;0.348;1.0;0.0;0.0;0.814;1.0;0.608;0.0;0.442;0.0;0.371;0.371;0.0;0.371
ENST00000393704_90_90;0.597;0.574;0.0;1.0;0.354;0.0;0.0;0.0;0.198;0.0;0.631;0.574;0.574;1.0;0.574
ENST00000502832_90_90;0.189;0.178;0.0;0.354;1.0;0.0;0.0;0.0;0.601;0.0;0.536;0.178;0.178;0.354;0.178
ENST00000504999_90_90;0.285;0.32;0.814;0.0;0.0;1.0;0.814;0.709;0.0;0.497;0.0;0.32;0.32;0.0;0.32
ENST00000506110_90_90;0.343;0.348;1.0;0.0;0.0;0.814;1.0;0.608;0.0;0.442;0.0;0.371;0.371;0.0;0.371
ENST00000506764_90_90;0.222;0.21;0.608;0.0;0.0;0.709;0.608;1.0;0.0;0.655;0.0;0.21;0.21;0.0;0.21
ENST00000507601_90_90;0.11;0.105;0.0;0.198;0.601;0.0;0.0;0.0;1.0;0.0;0.309;0.105;0.105;0.198;0.105
ENST00000510306_90_90;0.145;0.139;0.442;0.0;0.0;0.497;0.442;0.655;0.0;1.0;0.0;0.139;0.139;0.0;0.139
ENST00000512698_90_90;0.359;0.342;0.0;0.631;0.536;0.0;0.0;0.0;0.309;0.0;1.0;0.342;0.342;0.631;0.342
ENSMUST00000034066_90_90;1.0;1.0;0.371;0.574;0.178;0.32;0.371;0.21;0.105;0.139;0.342;1.0;1.0;0.574;1.0
ENSMUST00000160719_90_90;1.0;1.0;0.371;0.574;0.178;0.32;0.371;0.21;0.105;0.139;0.342;1.0;1.0;0.574;1.0
ENSMUST00000161421_90_90;0.597;0.574;0.0;1.0;0.354;0.0;0.0;0.0;0.198;0.0;0.631;0.574;0.574;1.0;0.574
ENSMUST00000161702_90_90;1.0;1.0;0.371;0.574;0.178;0.32;0.371;0.21;0.105;0.139;0.342;1.0;1.0;0.574;1.0
