;ENSCAFT00000009605_90_90;ENST00000301244_90_90;ENST00000454580_90_90;ENST00000587090_90_90;ENST00000587334_90_90;ENST00000587516_90_90;ENST00000590510_90_90;ENST00000590738_90_90;ENST00000592007_90_90;ENSMUST00000098604_90_90;ENSMUST00000108236_90_90;ENSMUST00000207601_90_90
ENSCAFT00000009605_90_90;1.0;0.957;0.76;0.774;0.404;0.636;0.188;0.376;0.248;0.963;0.778;0.289
ENST00000301244_90_90;0.957;1.0;0.816;0.794;0.379;0.668;0.175;0.377;0.23;0.913;0.717;0.292
ENST00000454580_90_90;0.76;0.816;1.0;0.721;0.461;0.484;0.059;0.447;0.119;0.717;0.895;0.365
ENST00000587090_90_90;0.774;0.794;0.721;1.0;0.469;0.462;0.221;0.464;0.291;0.732;0.651;0.194
ENST00000587334_90_90;0.404;0.379;0.461;0.469;1.0;0.195;0.0;0.344;0.0;0.424;0.532;0.0
ENST00000587516_90_90;0.636;0.668;0.484;0.462;0.195;1.0;0.165;0.394;0.154;0.594;0.398;0.203
ENST00000590510_90_90;0.188;0.175;0.059;0.221;0.0;0.165;1.0;0.0;0.754;0.195;0.071;0.151
ENST00000590738_90_90;0.376;0.377;0.447;0.464;0.344;0.394;0.0;1.0;0.0;0.333;0.414;0.065
ENST00000592007_90_90;0.248;0.23;0.119;0.291;0.0;0.154;0.754;0.0;1.0;0.261;0.143;0.301
ENSMUST00000098604_90_90;0.963;0.913;0.717;0.732;0.424;0.594;0.195;0.333;0.261;1.0;0.816;0.228
ENSMUST00000108236_90_90;0.778;0.717;0.895;0.651;0.532;0.398;0.071;0.414;0.143;0.816;1.0;0.274
ENSMUST00000207601_90_90;0.289;0.292;0.365;0.194;0.0;0.203;0.151;0.065;0.301;0.228;0.274;1.0
