;ENSCAFT00000032187_90_90;ENST00000299980_90_90;ENST00000393512_90_90;ENST00000450149_90_90;ENST00000563104_90_90;ENST00000563259_90_90;ENST00000564155_90_90;ENST00000565009_90_90;ENST00000565412_90_90;ENST00000566179_90_90;ENST00000567583_90_90;ENST00000568327_90_90;ENST00000569185_90_90;ENST00000569748_90_90;ENST00000569975_90_90;ENST00000570017_90_90;ENSMUST00000034171_90_90;ENSMUST00000093157_90_90;ENSMUST00000179104_90_90
ENSCAFT00000032187_90_90;1.0;0.841;0.828;0.217;0.199;0.298;0.187;0.32;0.107;0.072;0.13;0.366;0.177;0.841;0.07;0.035;1.0;0.98;0.0
ENST00000299980_90_90;0.841;1.0;0.98;0.217;0.199;0.298;0.187;0.295;0.107;0.072;0.13;0.392;0.177;1.0;0.07;0.035;0.841;0.828;0.0
ENST00000393512_90_90;0.828;0.98;1.0;0.213;0.195;0.292;0.185;0.289;0.105;0.071;0.127;0.383;0.174;0.98;0.068;0.034;0.828;0.845;0.0
ENST00000450149_90_90;0.217;0.217;0.213;1.0;0.786;0.695;0.0;0.576;0.431;0.0;0.51;0.523;0.71;0.217;0.276;0.139;0.217;0.213;0.0
ENST00000563104_90_90;0.199;0.199;0.195;0.786;1.0;0.687;0.0;0.562;0.546;0.0;0.651;0.506;0.899;0.199;0.351;0.175;0.199;0.195;0.0
ENST00000563259_90_90;0.298;0.298;0.292;0.695;0.687;1.0;0.048;0.806;0.379;0.0;0.445;0.73;0.623;0.298;0.242;0.121;0.298;0.292;0.0
ENST00000564155_90_90;0.187;0.187;0.185;0.0;0.0;0.048;1.0;0.036;0.0;0.0;0.0;0.033;0.0;0.187;0.0;0.0;0.187;0.185;0.0
ENST00000565009_90_90;0.32;0.295;0.289;0.576;0.562;0.806;0.036;1.0;0.313;0.0;0.363;0.674;0.514;0.295;0.2;0.1;0.32;0.312;0.0
ENST00000565412_90_90;0.107;0.107;0.105;0.431;0.546;0.379;0.0;0.313;1.0;0.0;0.843;0.281;0.607;0.107;0.645;0.322;0.107;0.105;0.0
ENST00000566179_90_90;0.072;0.072;0.071;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.072;0.0;0.0;0.072;0.071;0.0
ENST00000567583_90_90;0.13;0.13;0.127;0.51;0.651;0.445;0.0;0.363;0.843;0.0;1.0;0.328;0.728;0.13;0.541;0.27;0.13;0.127;0.0
ENST00000568327_90_90;0.366;0.392;0.383;0.523;0.506;0.73;0.033;0.674;0.281;0.0;0.328;1.0;0.463;0.392;0.179;0.09;0.366;0.358;0.0
ENST00000569185_90_90;0.177;0.177;0.174;0.71;0.899;0.623;0.0;0.514;0.607;0.0;0.728;0.463;1.0;0.177;0.391;0.196;0.177;0.174;0.0
ENST00000569748_90_90;0.841;1.0;0.98;0.217;0.199;0.298;0.187;0.295;0.107;0.072;0.13;0.392;0.177;1.0;0.07;0.035;0.841;0.828;0.0
ENST00000569975_90_90;0.07;0.07;0.068;0.276;0.351;0.242;0.0;0.2;0.645;0.0;0.541;0.179;0.391;0.07;1.0;0.5;0.07;0.068;0.0
ENST00000570017_90_90;0.035;0.035;0.034;0.139;0.175;0.121;0.0;0.1;0.322;0.0;0.27;0.09;0.196;0.035;0.5;1.0;0.035;0.034;0.0
ENSMUST00000034171_90_90;1.0;0.841;0.828;0.217;0.199;0.298;0.187;0.32;0.107;0.072;0.13;0.366;0.177;0.841;0.07;0.035;1.0;0.98;0.0
ENSMUST00000093157_90_90;0.98;0.828;0.845;0.213;0.195;0.292;0.185;0.312;0.105;0.071;0.127;0.358;0.174;0.828;0.068;0.034;0.98;1.0;0.0
ENSMUST00000179104_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
