;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript17_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391;transcript22_ENSMUNG00000002391;transcript8_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript12_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript20_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript24_ENSAPOG00000023408;transcript0_ENSPNYG00000024266;transcript0_ENSXMAG00000026005
transcript10_ENSHGLG00100003156;1.0;1.0;0.903;0.903;1.0;0.903;0.515;0.738;0.897;0.897;0.897;0.897;0.782;0.921;0.921;0.796;0.837;0.779;0.837;0.768;0.837;0.845;0.845;0.681;0.804;0.871;0.901;0.901
transcript17_ENSHGLG00100003156;1.0;1.0;0.903;0.903;1.0;0.903;0.515;0.738;0.897;0.897;0.897;0.897;0.782;0.921;0.921;0.796;0.837;0.779;0.837;0.768;0.837;0.845;0.845;0.681;0.804;0.871;0.901;0.901
transcript20_ENSHGLG00100003156;0.903;0.903;1.0;1.0;0.903;1.0;0.612;0.835;1.0;1.0;1.0;1.0;0.701;1.0;1.0;0.733;0.929;0.816;0.929;0.806;0.929;0.938;0.938;0.67;0.897;0.887;1.0;1.0
transcript13_ENSHGLG00000019563;0.903;0.903;1.0;1.0;0.903;1.0;0.612;0.835;1.0;1.0;1.0;1.0;0.701;1.0;1.0;0.733;0.929;0.816;0.929;0.806;0.929;0.938;0.938;0.67;0.897;0.887;1.0;1.0
transcript17_ENSHGLG00000019563;1.0;1.0;0.903;0.903;1.0;0.903;0.515;0.738;0.897;0.897;0.897;0.897;0.782;0.921;0.921;0.796;0.837;0.779;0.837;0.768;0.837;0.845;0.845;0.681;0.804;0.871;0.901;0.901
transcript25_ENSHGLG00000019563;0.903;0.903;1.0;1.0;0.903;1.0;0.612;0.835;1.0;1.0;1.0;1.0;0.701;1.0;1.0;0.733;0.929;0.816;0.929;0.806;0.929;0.938;0.938;0.67;0.897;0.887;1.0;1.0
transcript26_ENSHGLG00000019563;0.515;0.515;0.612;0.612;0.515;0.612;1.0;0.461;0.588;0.588;0.588;0.588;0.289;0.604;0.604;0.337;0.624;0.556;0.624;0.544;0.624;0.63;0.63;0.393;0.587;0.576;0.637;0.637
transcript27_ENSHGLG00000019563;0.738;0.738;0.835;0.835;0.738;0.835;0.461;1.0;0.887;0.887;0.887;0.887;0.588;0.832;0.832;0.564;0.765;0.705;0.765;0.695;0.765;0.773;0.773;0.553;0.732;0.722;0.824;0.824
transcript0_ENSHGLG00100006079;0.897;0.897;1.0;1.0;0.897;1.0;0.588;0.887;1.0;0.89;0.89;0.89;0.624;1.0;0.913;0.654;0.928;0.794;0.928;0.784;0.928;0.938;0.938;0.646;0.885;0.885;1.0;1.0
transcript13_ENSHGLG00100006079;0.897;0.897;1.0;1.0;0.897;1.0;0.588;0.887;0.89;1.0;1.0;1.0;0.701;0.913;1.0;0.716;0.887;0.809;0.887;0.798;0.887;0.896;0.896;0.656;0.863;0.844;0.956;0.956
transcript20_ENSHGLG00100006079;0.897;0.897;1.0;1.0;0.897;1.0;0.588;0.887;0.89;1.0;1.0;1.0;0.701;0.913;1.0;0.716;0.887;0.809;0.887;0.798;0.887;0.896;0.896;0.656;0.863;0.844;0.956;0.956
transcript21_ENSHGLG00100006079;0.897;0.897;1.0;1.0;0.897;1.0;0.588;0.887;0.89;1.0;1.0;1.0;0.701;0.913;1.0;0.716;0.887;0.809;0.887;0.798;0.887;0.896;0.896;0.656;0.863;0.844;0.956;0.956
transcript22_ENSHGLG00100006079;0.782;0.782;0.701;0.701;0.782;0.701;0.289;0.588;0.624;0.701;0.701;0.701;1.0;0.654;0.716;0.971;0.642;0.625;0.642;0.632;0.642;0.642;0.642;0.753;0.606;0.678;0.678;0.678
transcript0_ENSMUNG00000002391;0.921;0.921;1.0;1.0;0.921;1.0;0.604;0.832;1.0;0.913;0.913;0.913;0.654;1.0;0.91;0.667;0.931;0.794;0.931;0.784;0.931;0.941;0.941;0.653;0.891;0.901;1.0;1.0
transcript21_ENSMUNG00000002391;0.921;0.921;1.0;1.0;0.921;1.0;0.604;0.832;0.913;1.0;1.0;1.0;0.716;0.91;1.0;0.733;0.882;0.816;0.882;0.806;0.882;0.891;0.891;0.67;0.86;0.851;0.947;0.947
transcript22_ENSMUNG00000002391;0.796;0.796;0.733;0.733;0.796;0.733;0.337;0.564;0.654;0.716;0.716;0.716;0.971;0.667;0.733;1.0;0.644;0.634;0.644;0.641;0.644;0.644;0.644;0.756;0.61;0.67;0.684;0.684
transcript8_ENSAPOG00000016134;0.837;0.837;0.929;0.929;0.837;0.929;0.624;0.765;0.928;0.887;0.887;0.887;0.642;0.931;0.882;0.644;1.0;0.622;0.991;0.609;0.974;0.966;1.0;0.512;0.922;0.922;1.0;1.0
transcript10_ENSAPOG00000016134;0.779;0.779;0.816;0.816;0.779;0.816;0.556;0.705;0.794;0.809;0.809;0.809;0.625;0.794;0.816;0.634;0.622;1.0;0.627;0.978;0.637;0.664;0.642;0.814;0.636;0.678;0.675;0.675
transcript12_ENSAPOG00000016134;0.837;0.837;0.929;0.929;0.837;0.929;0.624;0.765;0.928;0.887;0.887;0.887;0.642;0.931;0.882;0.644;0.991;0.627;1.0;0.614;0.983;0.966;1.0;0.512;0.922;0.922;0.991;0.991
transcript17_ENSAPOG00000016134;0.768;0.768;0.806;0.806;0.768;0.806;0.544;0.695;0.784;0.798;0.798;0.798;0.632;0.784;0.806;0.641;0.609;0.978;0.614;1.0;0.624;0.655;0.634;0.824;0.627;0.67;0.667;0.667
transcript20_ENSAPOG00000016134;0.837;0.837;0.929;0.929;0.837;0.929;0.624;0.765;0.928;0.887;0.887;0.887;0.642;0.931;0.882;0.644;0.974;0.637;0.983;0.624;1.0;0.982;0.983;0.521;0.939;0.939;0.974;0.974
transcript7_ENSAPOG00000023408;0.845;0.845;0.938;0.938;0.845;0.938;0.63;0.773;0.938;0.896;0.896;0.896;0.642;0.941;0.891;0.644;0.966;0.664;0.966;0.655;0.982;1.0;0.966;0.529;0.947;0.955;0.966;0.966
transcript12_ENSAPOG00000023408;0.845;0.845;0.938;0.938;0.845;0.938;0.63;0.773;0.938;0.896;0.896;0.896;0.642;0.941;0.891;0.644;1.0;0.642;1.0;0.634;0.983;0.966;1.0;0.512;0.915;0.922;1.0;1.0
transcript22_ENSAPOG00000023408;0.681;0.681;0.67;0.67;0.681;0.67;0.393;0.553;0.646;0.656;0.656;0.656;0.753;0.653;0.67;0.756;0.512;0.814;0.512;0.824;0.521;0.529;0.512;1.0;0.496;0.553;0.543;0.543
transcript23_ENSAPOG00000023408;0.804;0.804;0.897;0.897;0.804;0.897;0.587;0.732;0.885;0.863;0.863;0.863;0.606;0.891;0.86;0.61;0.922;0.636;0.922;0.627;0.939;0.947;0.915;0.496;1.0;0.903;0.922;0.922
transcript24_ENSAPOG00000023408;0.871;0.871;0.887;0.887;0.871;0.887;0.576;0.722;0.885;0.844;0.844;0.844;0.678;0.901;0.851;0.67;0.922;0.678;0.922;0.67;0.939;0.955;0.922;0.553;0.903;1.0;0.922;0.922
transcript0_ENSPNYG00000024266;0.901;0.901;1.0;1.0;0.901;1.0;0.637;0.824;1.0;0.956;0.956;0.956;0.678;1.0;0.947;0.684;1.0;0.675;0.991;0.667;0.974;0.966;1.0;0.543;0.922;0.922;1.0;1.0
transcript0_ENSXMAG00000026005;0.901;0.901;1.0;1.0;0.901;1.0;0.637;0.824;1.0;0.956;0.956;0.956;0.678;1.0;0.947;0.684;1.0;0.675;0.991;0.667;0.974;0.966;1.0;0.543;0.922;0.922;1.0;1.0
