;ENSCAFT00000017209_90_90;ENST00000357258_90_90;ENST00000393785_90_90;ENST00000462705_90_90;ENST00000464560_90_90;ENST00000470311_90_90;ENST00000471418_90_90;ENST00000474710_90_90;ENST00000481632_90_90;ENST00000482689_90_90;ENSMUST00000079441_90_90;ENSMUST00000114690_90_90;ENSMUST00000114691_90_90;ENSMUST00000114694_90_90;ENSMUST00000114695_90_90;ENSMUST00000123047_90_90;ENSMUST00000126100_90_90;ENSMUST00000146708_90_90;ENSMUST00000148775_90_90;ENSMUST00000151244_90_90;ENSMUST00000156367_90_90;ENSMUST00000156981_90_90
ENSCAFT00000017209_90_90;1.0;0.75;0.75;0.75;0.75;0.089;0.75;1.0;0.75;0.113;1.0;0.75;0.75;1.0;1.0;0.0;0.053;0.251;0.191;0.137;0.388;0.344
ENST00000357258_90_90;0.75;1.0;1.0;1.0;1.0;0.127;1.0;0.75;1.0;0.0;0.75;1.0;1.0;0.75;0.75;0.0;0.0;0.39;0.295;0.0;0.139;0.52
ENST00000393785_90_90;0.75;1.0;1.0;1.0;1.0;0.127;1.0;0.75;1.0;0.0;0.75;1.0;1.0;0.75;0.75;0.0;0.0;0.39;0.295;0.0;0.139;0.52
ENST00000462705_90_90;0.75;1.0;1.0;1.0;1.0;0.127;1.0;0.75;1.0;0.0;0.75;1.0;1.0;0.75;0.75;0.0;0.0;0.39;0.295;0.0;0.139;0.52
ENST00000464560_90_90;0.75;1.0;1.0;1.0;1.0;0.127;1.0;0.75;1.0;0.0;0.75;1.0;1.0;0.75;0.75;0.0;0.0;0.39;0.295;0.0;0.139;0.52
ENST00000470311_90_90;0.089;0.127;0.127;0.127;0.127;1.0;0.127;0.089;0.127;0.0;0.089;0.127;0.127;0.089;0.089;0.0;0.0;0.506;0.644;0.0;0.303;0.308
ENST00000471418_90_90;0.75;1.0;1.0;1.0;1.0;0.127;1.0;0.75;1.0;0.0;0.75;1.0;1.0;0.75;0.75;0.0;0.0;0.39;0.295;0.0;0.139;0.52
ENST00000474710_90_90;1.0;0.75;0.75;0.75;0.75;0.089;0.75;1.0;0.75;0.113;1.0;0.75;0.75;1.0;1.0;0.0;0.053;0.251;0.191;0.137;0.388;0.344
ENST00000481632_90_90;0.75;1.0;1.0;1.0;1.0;0.127;1.0;0.75;1.0;0.0;0.75;1.0;1.0;0.75;0.75;0.0;0.0;0.39;0.295;0.0;0.139;0.52
ENST00000482689_90_90;0.113;0.0;0.0;0.0;0.0;0.0;0.0;0.113;0.0;1.0;0.113;0.0;0.0;0.113;0.113;0.0;0.345;0.0;0.0;0.299;0.24;0.0
ENSMUST00000079441_90_90;1.0;0.75;0.75;0.75;0.75;0.089;0.75;1.0;0.75;0.113;1.0;0.75;0.75;1.0;1.0;0.0;0.053;0.251;0.191;0.12;0.388;0.344
ENSMUST00000114690_90_90;0.75;1.0;1.0;1.0;1.0;0.127;1.0;0.75;1.0;0.0;0.75;1.0;1.0;0.75;0.75;0.0;0.0;0.39;0.295;0.0;0.139;0.52
ENSMUST00000114691_90_90;0.75;1.0;1.0;1.0;1.0;0.127;1.0;0.75;1.0;0.0;0.75;1.0;1.0;0.75;0.75;0.0;0.0;0.39;0.295;0.0;0.139;0.52
ENSMUST00000114694_90_90;1.0;0.75;0.75;0.75;0.75;0.089;0.75;1.0;0.75;0.113;1.0;0.75;0.75;1.0;1.0;0.0;0.053;0.251;0.191;0.12;0.388;0.344
ENSMUST00000114695_90_90;1.0;0.75;0.75;0.75;0.75;0.089;0.75;1.0;0.75;0.113;1.0;0.75;0.75;1.0;1.0;0.0;0.053;0.251;0.191;0.12;0.388;0.344
ENSMUST00000123047_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.151;0.0;0.0
ENSMUST00000126100_90_90;0.053;0.0;0.0;0.0;0.0;0.0;0.0;0.053;0.0;0.345;0.053;0.0;0.0;0.053;0.053;0.0;1.0;0.0;0.0;0.0;0.098;0.0
ENSMUST00000146708_90_90;0.251;0.39;0.39;0.39;0.39;0.506;0.39;0.251;0.39;0.0;0.251;0.39;0.39;0.251;0.251;0.0;0.0;1.0;0.774;0.0;0.32;0.673
ENSMUST00000148775_90_90;0.191;0.295;0.295;0.295;0.295;0.644;0.295;0.191;0.295;0.0;0.191;0.295;0.295;0.191;0.191;0.0;0.0;0.774;1.0;0.0;0.36;0.517
ENSMUST00000151244_90_90;0.137;0.0;0.0;0.0;0.0;0.0;0.0;0.137;0.0;0.299;0.12;0.0;0.0;0.12;0.12;0.151;0.0;0.0;0.0;1.0;0.322;0.0
ENSMUST00000156367_90_90;0.388;0.139;0.139;0.139;0.139;0.303;0.139;0.388;0.139;0.24;0.388;0.139;0.139;0.388;0.388;0.0;0.098;0.32;0.36;0.322;1.0;0.248
ENSMUST00000156981_90_90;0.344;0.52;0.52;0.52;0.52;0.308;0.52;0.344;0.52;0.0;0.344;0.52;0.52;0.344;0.344;0.0;0.0;0.673;0.517;0.0;0.248;1.0
