;ENSCAFT00000044998_90_90;ENST00000158771_90_90;ENST00000570848_90_90;ENST00000571476_90_90;ENST00000571971_90_90;ENST00000572834_90_90;ENST00000573637_90_90;ENST00000574952_90_90;ENST00000575605_90_90;ENST00000576551_90_90;ENSMUST00000018586_90_90;ENSMUST00000108523_90_90;ENSMUST00000131340_90_90;ENSMUST00000132198_90_90;ENSMUST00000143850_90_90;ENSMUST00000171041_90_90
ENSCAFT00000044998_90_90;1.0;0.951;0.507;0.365;0.685;0.33;0.156;0.156;0.479;0.349;0.423;0.921;0.062;0.188;1.0;0.645
ENST00000158771_90_90;0.951;1.0;0.507;0.365;0.685;0.33;0.156;0.156;0.512;0.349;0.423;0.877;0.062;0.188;0.951;0.606
ENST00000570848_90_90;0.507;0.507;1.0;0.495;0.766;0.526;0.22;0.22;0.37;0.628;0.582;0.507;0.093;0.289;0.507;0.178
ENST00000571476_90_90;0.365;0.365;0.495;1.0;0.384;0.416;0.199;0.199;0.111;0.773;0.874;0.365;0.141;0.295;0.365;0.074
ENST00000571971_90_90;0.685;0.685;0.766;0.384;1.0;0.404;0.183;0.183;0.446;0.485;0.454;0.685;0.074;0.228;0.685;0.358
ENST00000572834_90_90;0.33;0.33;0.526;0.416;0.404;1.0;0.329;0.329;0.078;0.482;0.528;0.33;0.149;0.513;0.33;0.076
ENST00000573637_90_90;0.156;0.156;0.22;0.199;0.183;0.329;1.0;1.0;0.0;0.245;0.28;0.156;0.516;0.523;0.156;0.0
ENST00000574952_90_90;0.156;0.156;0.22;0.199;0.183;0.329;1.0;1.0;0.0;0.245;0.28;0.156;0.516;0.523;0.156;0.0
ENST00000575605_90_90;0.479;0.512;0.37;0.111;0.446;0.078;0.0;0.0;1.0;0.15;0.105;0.427;0.0;0.0;0.479;0.56
ENST00000576551_90_90;0.349;0.349;0.628;0.773;0.485;0.482;0.245;0.245;0.15;1.0;0.804;0.349;0.135;0.361;0.349;0.033
ENSMUST00000018586_90_90;0.423;0.423;0.582;0.874;0.454;0.528;0.28;0.28;0.105;0.804;1.0;0.423;0.131;0.409;0.423;0.069
ENSMUST00000108523_90_90;0.921;0.877;0.507;0.365;0.685;0.33;0.156;0.156;0.427;0.349;0.423;1.0;0.062;0.188;0.921;0.581
ENSMUST00000131340_90_90;0.062;0.062;0.093;0.141;0.074;0.149;0.516;0.516;0.0;0.135;0.131;0.062;1.0;0.352;0.062;0.0
ENSMUST00000132198_90_90;0.188;0.188;0.289;0.295;0.228;0.513;0.523;0.523;0.0;0.361;0.409;0.188;0.352;1.0;0.188;0.0
ENSMUST00000143850_90_90;1.0;0.951;0.507;0.365;0.685;0.33;0.156;0.156;0.479;0.349;0.423;0.921;0.062;0.188;1.0;0.645
ENSMUST00000171041_90_90;0.645;0.606;0.178;0.074;0.358;0.076;0.0;0.0;0.56;0.033;0.069;0.581;0.0;0.0;0.645;1.0
