;ENSCAFT00000023830_90_90;ENST00000318386_90_90;ENST00000429429_90_90;ENST00000480936_90_90;ENST00000483348_90_90;ENST00000488267_90_90;ENST00000489418_90_90;ENSMUST00000057551_90_90;ENSMUST00000075670_90_90;ENSMUST00000101354_90_90;ENSMUST00000139518_90_90;ENSMUST00000151081_90_90
ENSCAFT00000023830_90_90;1.0;0.737;0.611;0.333;0.647;0.647;0.722;0.737;0.65;0.684;0.526;0.25
ENST00000318386_90_90;0.737;1.0;0.765;0.389;0.526;0.706;0.882;0.7;0.619;0.65;0.579;0.235
ENST00000429429_90_90;0.611;0.765;1.0;0.4;0.471;0.667;0.867;0.579;0.5;0.526;0.444;0.214
ENST00000480936_90_90;0.333;0.389;0.4;1.0;0.25;0.25;0.438;0.316;0.316;0.263;0.4;0.333
ENST00000483348_90_90;0.647;0.526;0.471;0.25;1.0;0.714;0.588;0.45;0.381;0.4;0.316;0.143
ENST00000488267_90_90;0.647;0.706;0.667;0.25;0.714;1.0;0.8;0.611;0.526;0.556;0.471;0.143
ENST00000489418_90_90;0.722;0.882;0.867;0.438;0.588;0.8;1.0;0.684;0.6;0.632;0.556;0.188
ENSMUST00000057551_90_90;0.737;0.7;0.579;0.316;0.45;0.611;0.684;1.0;0.889;0.941;0.667;0.235
ENSMUST00000075670_90_90;0.65;0.619;0.5;0.316;0.381;0.526;0.6;0.889;1.0;0.833;0.667;0.235
ENSMUST00000101354_90_90;0.684;0.65;0.526;0.263;0.4;0.556;0.632;0.941;0.833;1.0;0.611;0.176
ENSMUST00000139518_90_90;0.526;0.579;0.444;0.4;0.316;0.471;0.556;0.667;0.667;0.611;1.0;0.308
ENSMUST00000151081_90_90;0.25;0.235;0.214;0.333;0.143;0.143;0.188;0.235;0.235;0.176;0.308;1.0
