;transcript38_ENSRNOG00000031503;transcript38_ENSCGRG00015005362;transcript38_ENSCGRG00000018457;transcript38_ENSSTOG00000019743;transcript37_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript37_ENSCGRG00001010245;transcript37_ENSPEMG00000024651;transcript37_ENSSTOG00000019743;transcript57_ENSMUGG00000013649;transcript57_ENSPEMG00000024651;transcript58_ENSMUGG00000013649;transcript58_ENSPEMG00000024651;transcript59_ENSMUGG00000013649;transcript59_ENSPEMG00000024651;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00000018457;transcript8_ENSCGRG00015005362;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript9_ENSCGRG00015005362;transcript9_ENSPEMG00000024651;transcript54_ENSCGRG00015005362;transcript52_ENSCGRG00000018457;transcript52_ENSCGRG00001010245;transcript56_ENSCGRG00000018457;transcript56_ENSPEMG00000024651;transcript65_ENSCGRG00000018457;transcript33_ENSPEMG00000024651;transcript33_ENSNGAG00000018584;transcript39_ENSPEMG00000024651;transcript39_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript38_ENSRNOG00000031503;1.0;1.0;1.0;1.0;0.782;0.847;0.912;0.791;0.915;0.64;0.697;0.724;0.768;0.748;0.842;0.75;0.803;0.832;0.807;0.722;0.837;1.0;0.973;0.875;0.939;0.959;0.933;0.92;0.93;0.973;0.888;0.852;0.936;1.0;1.0;1.0
transcript38_ENSCGRG00015005362;1.0;1.0;1.0;1.0;0.719;0.77;0.823;0.725;0.828;0.575;0.621;0.659;0.692;0.674;0.756;0.67;0.798;0.828;0.803;0.719;0.833;0.956;0.933;0.786;0.901;0.918;0.922;0.909;0.891;0.933;0.853;0.775;0.847;0.903;0.903;0.903
transcript38_ENSCGRG00000018457;1.0;1.0;1.0;1.0;0.715;0.766;0.818;0.721;0.823;0.574;0.619;0.657;0.691;0.672;0.754;0.668;0.798;0.828;0.803;0.719;0.833;0.95;0.927;0.784;0.895;0.912;0.925;0.912;0.886;0.927;0.847;0.771;0.842;0.901;0.901;0.901
transcript38_ENSSTOG00000019743;1.0;1.0;1.0;1.0;0.703;0.752;0.803;0.709;0.808;0.565;0.609;0.648;0.68;0.662;0.743;0.657;0.798;0.828;0.803;0.719;0.833;0.952;0.929;0.771;0.896;0.913;0.926;0.913;0.887;0.929;0.848;0.758;0.827;0.888;0.888;0.888
transcript37_ENSMUGG00000013649;0.782;0.719;0.715;0.703;1.0;0.992;1.0;0.974;1.0;0.834;0.878;0.928;0.944;0.92;0.758;0.896;0.532;0.552;0.514;0.492;0.544;0.749;0.7;0.992;0.699;0.708;0.668;0.634;0.691;0.7;0.698;0.797;0.82;0.816;0.816;0.816
transcript37_ENSMUGG00000013592;0.847;0.77;0.766;0.752;0.992;1.0;0.992;0.967;0.992;0.814;0.856;0.902;0.919;0.893;0.8;0.886;0.572;0.595;0.553;0.532;0.585;0.787;0.735;0.964;0.735;0.745;0.703;0.668;0.725;0.735;0.738;0.856;0.88;0.855;0.855;0.855
transcript37_ENSCGRG00001010245;0.912;0.823;0.818;0.803;1.0;0.992;1.0;0.974;1.0;0.817;0.86;0.909;0.925;0.901;0.82;0.879;0.609;0.636;0.587;0.565;0.624;0.84;0.781;0.972;0.785;0.796;0.751;0.71;0.775;0.781;0.785;0.878;0.903;0.909;0.909;0.909
transcript37_ENSPEMG00000024651;0.791;0.725;0.721;0.709;0.974;0.967;0.974;1.0;0.974;0.793;0.89;0.892;0.956;0.885;0.785;0.857;0.544;0.565;0.547;0.504;0.555;0.742;0.733;0.951;0.695;0.703;0.667;0.665;0.686;0.733;0.692;0.836;0.822;0.812;0.812;0.812
transcript37_ENSSTOG00000019743;0.915;0.828;0.823;0.808;1.0;0.992;1.0;0.974;1.0;0.825;0.869;0.918;0.935;0.911;0.799;0.888;0.612;0.64;0.589;0.564;0.628;0.854;0.791;0.982;0.797;0.809;0.763;0.719;0.787;0.791;0.79;0.847;0.871;0.923;0.923;0.923
transcript57_ENSMUGG00000013649;0.64;0.575;0.574;0.565;0.834;0.814;0.817;0.793;0.825;1.0;0.968;0.78;0.788;0.765;0.624;0.921;0.39;0.403;0.37;0.376;0.399;0.622;0.575;0.845;0.572;0.579;0.529;0.495;0.563;0.575;0.6;0.649;0.677;0.696;0.696;0.696
