;transcript12_ppan;transcript19_ppan;transcript20_ppan;transcript12_ptro;transcript12_hsap;transcript18_hsap;transcript19_hsap;transcript20_hsap;transcript21_hsap;transcript11_ggor;transcript12_ggor;transcript16_ggor;transcript17_ggor;transcript18_ggor;transcript19_ggor;transcript8_pabe
transcript12_ppan;1.0;0.954;0.935;0.961;1.0;0.382;0.954;0.879;0.52;0.372;0.877;0.449;0.449;0.386;0.873;0.488
transcript19_ppan;0.954;1.0;0.889;0.914;0.954;0.353;1.0;0.833;0.497;0.342;0.83;0.423;0.423;0.355;0.912;0.467
transcript20_ppan;0.935;0.889;1.0;0.896;0.935;0.341;0.889;0.94;0.487;0.33;0.812;0.465;0.465;0.343;0.808;0.458
transcript12_ptro;0.961;0.914;0.896;1.0;0.961;0.392;0.914;0.84;0.501;0.381;0.837;0.428;0.428;0.397;0.833;0.471
transcript12_hsap;1.0;0.954;0.935;0.961;1.0;0.382;0.954;0.879;0.52;0.372;0.877;0.449;0.449;0.386;0.873;0.488
transcript18_hsap;0.382;0.353;0.341;0.392;0.382;1.0;0.353;0.353;0.589;0.746;0.34;0.466;0.466;0.778;0.302;0.551
transcript19_hsap;0.954;1.0;0.889;0.914;0.954;0.353;1.0;0.833;0.497;0.342;0.83;0.423;0.423;0.355;0.912;0.467
transcript20_hsap;0.879;0.833;0.94;0.84;0.879;0.353;0.833;1.0;0.458;0.293;0.756;0.433;0.433;0.304;0.752;0.431
transcript21_hsap;0.52;0.497;0.487;0.501;0.52;0.589;0.497;0.458;1.0;0.496;0.46;0.784;0.784;0.51;0.457;0.937
transcript11_ggor;0.372;0.342;0.33;0.381;0.372;0.746;0.342;0.293;0.496;1.0;0.405;0.554;0.554;0.947;0.359;0.534
transcript12_ggor;0.877;0.83;0.812;0.837;0.877;0.34;0.83;0.756;0.46;0.405;1.0;0.479;0.479;0.423;0.897;0.433
transcript16_ggor;0.449;0.423;0.465;0.428;0.449;0.466;0.423;0.433;0.784;0.554;0.479;1.0;1.0;0.573;0.441;0.799
transcript17_ggor;0.449;0.423;0.465;0.428;0.449;0.466;0.423;0.433;0.784;0.554;0.479;1.0;1.0;0.573;0.441;0.799
transcript18_ggor;0.386;0.355;0.343;0.397;0.386;0.778;0.355;0.304;0.51;0.947;0.423;0.573;0.573;1.0;0.374;0.506
transcript19_ggor;0.873;0.912;0.808;0.833;0.873;0.302;0.912;0.752;0.457;0.359;0.897;0.441;0.441;0.374;1.0;0.431
transcript8_pabe;0.488;0.467;0.458;0.471;0.488;0.551;0.467;0.431;0.937;0.534;0.433;0.799;0.799;0.506;0.431;1.0
