;transcript7_MGP-PahariEiJ-G0020237;transcript9_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript39_MGP-PahariEiJ-G0020237;transcript49_MGP-PahariEiJ-G0020237;transcript50_MGP-PahariEiJ-G0020237;transcript51_MGP-PahariEiJ-G0020237;transcript52_MGP-PahariEiJ-G0020237;transcript36_ENSRNOG00000031503;transcript37_ENSRNOG00000031503;transcript44_ENSRNOG00000031503
transcript7_MGP-PahariEiJ-G0020237;1.0;0.925;0.969;0.929;0.928;0.959;0.941;0.94;0.984;0.954;0.954
transcript9_MGP-PahariEiJ-G0020237;0.925;1.0;0.896;0.995;0.997;0.886;0.868;0.867;0.909;0.882;0.882
transcript37_MGP-PahariEiJ-G0020237;0.969;0.896;1.0;0.901;0.899;0.989;0.971;0.97;0.956;0.984;0.984
transcript39_MGP-PahariEiJ-G0020237;0.929;0.995;0.901;1.0;0.999;0.89;0.872;0.871;0.914;0.886;0.886
transcript49_MGP-PahariEiJ-G0020237;0.928;0.997;0.899;0.999;1.0;0.889;0.871;0.87;0.912;0.885;0.885
transcript50_MGP-PahariEiJ-G0020237;0.959;0.886;0.989;0.89;0.889;1.0;0.979;0.978;0.946;0.973;0.973
transcript51_MGP-PahariEiJ-G0020237;0.941;0.868;0.971;0.872;0.871;0.979;1.0;0.999;0.928;0.956;0.956
transcript52_MGP-PahariEiJ-G0020237;0.94;0.867;0.97;0.871;0.87;0.978;0.999;1.0;0.927;0.955;0.955
transcript36_ENSRNOG00000031503;0.984;0.909;0.956;0.914;0.912;0.946;0.928;0.927;1.0;0.97;0.97
transcript37_ENSRNOG00000031503;0.954;0.882;0.984;0.886;0.885;0.973;0.956;0.955;0.97;1.0;1.0
transcript44_ENSRNOG00000031503;0.954;0.882;0.984;0.886;0.885;0.973;0.956;0.955;0.97;1.0;1.0
