;transcript52_MGP-CAROLIEiJ-G0020234;transcript63_MGP-CAROLIEiJ-G0020234;transcript64_ENSMUSG00000054036;transcript48_MGP-PahariEiJ-G0020237;transcript57_ENSMUSG00000054036;transcript7_MGP-PahariEiJ-G0020237;transcript62_MGP-CAROLIEiJ-G0020234;transcript52_ENSMUSG00000054036;transcript67_ENSMUSG00000054036;transcript9_MGP-CAROLIEiJ-G0020234;transcript9_MGP-PahariEiJ-G0020237;transcript40_ENSRNOG00000031503;transcript49_ENSRNOG00000031503;transcript8_ENSRNOG00000031503;transcript55_ENSRNOG00000031503;transcript54_ENSRNOG00000031503;transcript41_ENSMUGG00000013649;transcript53_ENSRNOG00000031503
transcript52_MGP-CAROLIEiJ-G0020234;1.0;0.571;0.5;0.381;0.348;0.333;0.625;0.778;0.421;0.533;0.533;0.292;0.368;0.304;0.333;0.333;0.296;0.4
transcript63_MGP-CAROLIEiJ-G0020234;0.571;1.0;0.765;0.667;0.609;0.619;0.357;0.571;0.737;0.933;0.933;0.542;0.6;0.565;0.619;0.619;0.519;0.688
transcript64_ENSMUSG00000054036;0.5;0.765;1.0;0.682;0.696;0.636;0.312;0.5;0.842;0.722;0.722;0.625;0.789;0.652;0.714;0.714;0.593;0.526
transcript48_MGP-PahariEiJ-G0020237;0.381;0.667;0.682;1.0;0.913;0.952;0.238;0.381;0.818;0.636;0.636;0.692;0.56;0.72;0.783;0.783;0.778;0.619
transcript57_ENSMUSG00000054036;0.348;0.609;0.696;0.913;1.0;0.87;0.217;0.348;0.826;0.583;0.583;0.769;0.577;0.8;0.87;0.87;0.852;0.565
transcript7_MGP-PahariEiJ-G0020237;0.333;0.619;0.636;0.952;0.87;1.0;0.25;0.333;0.773;0.591;0.591;0.654;0.52;0.68;0.739;0.739;0.741;0.571
transcript62_MGP-CAROLIEiJ-G0020234;0.625;0.357;0.312;0.238;0.217;0.25;1.0;0.625;0.263;0.333;0.333;0.167;0.211;0.174;0.19;0.19;0.185;0.2
transcript52_ENSMUSG00000054036;0.778;0.571;0.5;0.381;0.348;0.333;0.625;1.0;0.421;0.533;0.533;0.292;0.368;0.304;0.333;0.333;0.296;0.4
transcript67_ENSMUSG00000054036;0.421;0.737;0.842;0.818;0.826;0.773;0.263;0.421;1.0;0.7;0.7;0.68;0.682;0.708;0.773;0.773;0.704;0.6
transcript9_MGP-CAROLIEiJ-G0020234;0.533;0.933;0.722;0.636;0.583;0.591;0.333;0.533;0.7;1.0;1.0;0.52;0.571;0.542;0.591;0.591;0.5;0.647
transcript9_MGP-PahariEiJ-G0020237;0.533;0.933;0.722;0.636;0.583;0.591;0.333;0.533;0.7;1.0;1.0;0.52;0.571;0.542;0.591;0.591;0.5;0.647
transcript40_ENSRNOG00000031503;0.292;0.542;0.625;0.692;0.769;0.654;0.167;0.292;0.68;0.52;0.52;1.0;0.783;0.957;0.87;0.87;0.852;0.565
transcript49_ENSRNOG00000031503;0.368;0.6;0.789;0.56;0.577;0.52;0.211;0.368;0.682;0.571;0.571;0.783;1.0;0.739;0.652;0.652;0.667;0.476
transcript8_ENSRNOG00000031503;0.304;0.565;0.652;0.72;0.8;0.68;0.174;0.304;0.708;0.542;0.542;0.957;0.739;1.0;0.909;0.909;0.815;0.591
transcript55_ENSRNOG00000031503;0.333;0.619;0.714;0.783;0.87;0.739;0.19;0.333;0.773;0.591;0.591;0.87;0.652;0.909;1.0;1.0;0.741;0.65
transcript54_ENSRNOG00000031503;0.333;0.619;0.714;0.783;0.87;0.739;0.19;0.333;0.773;0.591;0.591;0.87;0.652;0.909;1.0;1.0;0.741;0.65
transcript41_ENSMUGG00000013649;0.296;0.519;0.593;0.778;0.852;0.741;0.185;0.296;0.704;0.5;0.5;0.852;0.667;0.815;0.741;0.741;1.0;0.481
transcript53_ENSRNOG00000031503;0.4;0.688;0.526;0.619;0.565;0.571;0.2;0.4;0.6;0.647;0.647;0.565;0.476;0.591;0.65;0.65;0.481;1.0
