;ENSCAFT00000017864_90_90;ENST00000318445_90_90;ENST00000424469_90_90;ENST00000553304_90_90;ENST00000555210_90_90;ENST00000555892_90_90;ENSMUST00000026897_90_90;ENSMUST00000098371_90_90;ENSMUST00000107453_90_90;ENSMUST00000134539_90_90;ENSMUST00000138099_90_90
ENSCAFT00000017864_90_90;1.0;0.948;0.966;0.127;0.145;0.097;0.914;0.932;0.823;0.325;0.164
ENST00000318445_90_90;0.948;1.0;0.834;0.121;0.143;0.095;0.966;0.826;0.812;0.321;0.154
ENST00000424469_90_90;0.966;0.834;1.0;0.123;0.145;0.097;0.827;0.964;0.851;0.337;0.161
ENST00000553304_90_90;0.127;0.121;0.123;1.0;0.0;0.0;0.124;0.129;0.148;0.375;0.753
ENST00000555210_90_90;0.145;0.143;0.145;0.0;1.0;0.651;0.148;0.155;0.176;0.0;0.0
ENST00000555892_90_90;0.097;0.095;0.097;0.0;0.651;1.0;0.097;0.102;0.116;0.0;0.0
ENSMUST00000026897_90_90;0.914;0.966;0.827;0.124;0.148;0.097;1.0;0.834;0.725;0.321;0.15
ENSMUST00000098371_90_90;0.932;0.826;0.964;0.129;0.155;0.102;0.834;1.0;0.735;0.325;0.152
ENSMUST00000107453_90_90;0.823;0.812;0.851;0.148;0.176;0.116;0.725;0.735;1.0;0.374;0.173
ENSMUST00000134539_90_90;0.325;0.321;0.337;0.375;0.0;0.0;0.321;0.325;0.374;1.0;0.412
ENSMUST00000138099_90_90;0.164;0.154;0.161;0.753;0.0;0.0;0.15;0.152;0.173;0.412;1.0
