;ENSCAFT00000015434_90_90;ENST00000306107_90_90;ENST00000465413_90_90;ENST00000472644_90_90;ENST00000486979_90_90;ENSMUST00000023312_90_90;ENSMUST00000164728_90_90;ENSMUST00000167115_90_90;ENSMUST00000168071_90_90;ENSMUST00000170035_90_90
ENSCAFT00000015434_90_90;1.0;1.0;0.5;0.917;0.833;0.917;0.917;0.417;0.333;0.833
ENST00000306107_90_90;1.0;1.0;0.429;0.923;0.769;0.909;0.909;0.455;0.273;0.818
ENST00000465413_90_90;0.5;0.429;1.0;0.357;0.545;0.455;0.455;0.833;0.0;0.364
ENST00000472644_90_90;0.917;0.923;0.357;1.0;0.692;0.818;0.818;0.364;0.3;0.9
ENST00000486979_90_90;0.833;0.769;0.545;0.692;1.0;0.727;0.727;0.556;0.091;0.636
ENSMUST00000023312_90_90;0.917;0.909;0.455;0.818;0.727;1.0;0.786;0.429;0.357;0.923
ENSMUST00000164728_90_90;0.917;0.909;0.455;0.818;0.727;0.786;1.0;0.267;0.385;0.714
ENSMUST00000167115_90_90;0.417;0.455;0.833;0.364;0.556;0.429;0.267;1.0;0.0;0.357
ENSMUST00000168071_90_90;0.333;0.273;0.0;0.3;0.091;0.357;0.385;0.0;1.0;0.385
ENSMUST00000170035_90_90;0.833;0.818;0.364;0.9;0.636;0.923;0.714;0.357;0.385;1.0
