;ENSCAFT00000028733_90_90;ENST00000288381_90_90;ENST00000372068_90_90;ENST00000372072_90_90;ENST00000372073_90_90;ENSMUST00000087333_90_90;ENSMUST00000101198_90_90;ENSMUST00000112888_90_90;ENSMUST00000112889_90_90;ENSMUST00000112891_90_90;ENSMUST00000112896_90_90;ENSMUST00000133634_90_90;ENSMUST00000151914_90_90
ENSCAFT00000028733_90_90;1.0;0.667;1.0;0.583;1.0;0.769;0.462;0.167;0.462;0.462;0.769;0.769;0.286
ENST00000288381_90_90;0.667;1.0;0.667;0.5;0.667;0.462;0.364;0.25;0.364;0.25;0.462;0.462;0.273
ENST00000372068_90_90;1.0;0.667;1.0;0.583;1.0;0.769;0.462;0.167;0.462;0.462;0.769;0.769;0.286
ENST00000372072_90_90;0.583;0.5;0.583;1.0;0.583;0.5;0.75;0.286;0.75;0.556;0.5;0.5;0.444
ENST00000372073_90_90;1.0;0.667;1.0;0.583;1.0;0.769;0.462;0.167;0.462;0.462;0.769;0.769;0.286
ENSMUST00000087333_90_90;0.769;0.462;0.769;0.5;0.769;1.0;0.636;0.182;0.636;0.636;1.0;1.0;0.417
ENSMUST00000101198_90_90;0.462;0.364;0.462;0.75;0.462;0.636;1.0;0.286;1.0;0.75;0.636;0.636;0.625
ENSMUST00000112888_90_90;0.167;0.25;0.167;0.286;0.167;0.182;0.286;1.0;0.286;0.286;0.182;0.182;0.143
ENSMUST00000112889_90_90;0.462;0.364;0.462;0.75;0.462;0.636;1.0;0.286;1.0;0.75;0.636;0.636;0.625
ENSMUST00000112891_90_90;0.462;0.25;0.462;0.556;0.462;0.636;0.75;0.286;0.75;1.0;0.636;0.636;0.444
ENSMUST00000112896_90_90;0.769;0.462;0.769;0.5;0.769;1.0;0.636;0.182;0.636;0.636;1.0;1.0;0.417
ENSMUST00000133634_90_90;0.769;0.462;0.769;0.5;0.769;1.0;0.636;0.182;0.636;0.636;1.0;1.0;0.417
ENSMUST00000151914_90_90;0.286;0.273;0.286;0.444;0.286;0.417;0.625;0.143;0.625;0.444;0.417;0.417;1.0
