;transcript6_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript19_ENSMUNG00000007775;transcript22_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript7_ENSMUNG00000002377;transcript19_ENSMUNG00000002377;transcript27_ENSMUNG00000002377;transcript28_ENSMUNG00000002377;transcript7_ENSMUNG00000002391;transcript3_ENSPNYG00000024266;transcript3_ENSXMAG00000026005
transcript6_ENSPCIG00000036398;1.0;0.592;0.806;0.592;0.806;0.592;0.806;0.806;0.806;1.0;1.0;1.0
transcript7_ENSMUNG00000007775;0.592;1.0;0.776;1.0;0.776;1.0;0.776;0.776;0.776;1.0;0.596;0.596
transcript19_ENSMUNG00000007775;0.806;0.776;1.0;0.776;1.0;0.776;1.0;1.0;1.0;1.0;0.768;0.768
transcript22_ENSMUNG00000007775;0.592;1.0;0.776;1.0;0.776;1.0;0.776;0.776;0.776;1.0;0.596;0.596
transcript23_ENSMUNG00000007775;0.806;0.776;1.0;0.776;1.0;0.776;1.0;1.0;1.0;1.0;0.768;0.768
transcript7_ENSMUNG00000002377;0.592;1.0;0.776;1.0;0.776;1.0;0.776;0.776;0.776;1.0;0.596;0.596
transcript19_ENSMUNG00000002377;0.806;0.776;1.0;0.776;1.0;0.776;1.0;1.0;1.0;1.0;0.768;0.768
transcript27_ENSMUNG00000002377;0.806;0.776;1.0;0.776;1.0;0.776;1.0;1.0;1.0;1.0;0.768;0.768
transcript28_ENSMUNG00000002377;0.806;0.776;1.0;0.776;1.0;0.776;1.0;1.0;1.0;1.0;0.768;0.768
transcript7_ENSMUNG00000002391;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript3_ENSPNYG00000024266;1.0;0.596;0.768;0.596;0.768;0.596;0.768;0.768;0.768;1.0;1.0;1.0
transcript3_ENSXMAG00000026005;1.0;0.596;0.768;0.596;0.768;0.596;0.768;0.768;0.768;1.0;1.0;1.0
