;ENSCAFT00000003726_90_90;ENSCAFT00000003727_90_90;ENST00000502815_90_90;ENST00000504896_90_90;ENST00000506700_90_90;ENST00000506720_90_90;ENST00000506746_90_90;ENST00000507164_90_90;ENST00000507625_90_90;ENST00000508693_90_90;ENST00000508946_90_90;ENST00000509896_90_90;ENST00000511324_90_90;ENST00000512091_90_90;ENST00000514157_90_90;ENST00000514591_90_90;ENST00000514996_90_90;ENSMUST00000036068_90_90;ENSMUST00000072521_90_90;ENSMUST00000117253_90_90;ENSMUST00000117407_90_90;ENSMUST00000117985_90_90;ENSMUST00000118034_90_90;ENSMUST00000118078_90_90;ENSMUST00000118442_90_90;ENSMUST00000119385_90_90;ENSMUST00000119788_90_90;ENSMUST00000120128_90_90;ENSMUST00000120144_90_90;ENSMUST00000120292_90_90;ENSMUST00000120445_90_90;ENSMUST00000120673_90_90;ENSMUST00000121641_90_90;ENSMUST00000121707_90_90;ENSMUST00000122037_90_90;ENSMUST00000122356_90_90;ENSMUST00000124117_90_90;ENSMUST00000132375_90_90
ENSCAFT00000003726_90_90;1.0;0.45;0.667;0.429;0.429;0.4;0.4;0.4;0.4;0.4;0.429;0.4;0.4;0.429;0.429;0.429;0.429;0.5;0.5;0.4;0.438;0.533;0.533;0.467;0.438;0.438;0.5;0.467;0.467;0.467;0.438;0.5;0.5;0.5;0.533;0.5;0.625;0.0
ENSCAFT00000003727_90_90;0.45;1.0;0.286;0.867;0.867;0.933;0.933;0.933;0.933;0.933;0.867;0.933;0.933;0.867;0.867;0.867;0.867;0.882;0.882;0.706;0.824;0.824;0.824;0.765;0.824;0.824;0.882;0.765;0.765;0.765;0.824;0.882;0.882;0.882;0.824;0.882;0.312;0.25
ENST00000502815_90_90;0.667;0.286;1.0;0.217;0.25;0.364;0.381;0.217;0.421;0.208;0.381;0.227;0.238;0.238;0.227;0.421;0.4;0.235;0.235;0.278;0.222;0.25;0.267;0.25;0.222;0.235;0.235;0.235;0.235;0.222;0.211;0.235;0.25;0.25;0.286;0.267;0.6;0.0
ENST00000504896_90_90;0.429;0.867;0.217;1.0;0.85;0.75;0.708;0.905;0.625;0.952;0.783;0.857;0.81;0.9;0.95;0.696;0.739;0.75;0.75;0.85;0.8;0.789;0.737;0.789;0.8;0.75;0.75;0.842;0.842;0.895;0.85;0.75;0.7;0.7;0.684;0.65;0.158;0.211
ENST00000506700_90_90;0.429;0.867;0.25;0.85;1.0;0.625;0.652;0.85;0.714;0.81;0.652;0.895;0.944;0.944;0.895;0.714;0.682;0.778;0.778;0.789;0.833;0.722;0.765;0.938;0.833;0.882;0.684;0.882;0.882;0.833;0.789;0.684;0.722;0.824;0.812;0.765;0.188;0.25
ENST00000506720_90_90;0.4;0.933;0.364;0.75;0.625;1.0;0.955;0.75;0.864;0.792;0.955;0.708;0.667;0.667;0.708;0.864;0.909;0.75;0.75;0.762;0.714;0.789;0.737;0.619;0.714;0.667;0.842;0.667;0.667;0.714;0.762;0.842;0.789;0.7;0.684;0.737;0.158;0.211
ENST00000506746_90_90;0.4;0.933;0.381;0.708;0.652;0.955;1.0;0.783;0.905;0.75;0.909;0.667;0.696;0.625;0.739;0.818;0.952;0.7;0.7;0.8;0.75;0.737;0.778;0.65;0.667;0.7;0.789;0.619;0.7;0.667;0.714;0.789;0.833;0.737;0.722;0.778;0.167;0.222
ENST00000507164_90_90;0.4;0.933;0.217;0.905;0.85;0.75;0.783;1.0;0.696;0.952;0.708;0.857;0.9;0.81;0.95;0.625;0.739;0.75;0.75;0.85;0.895;0.7;0.737;0.789;0.8;0.842;0.75;0.75;0.842;0.8;0.85;0.75;0.789;0.789;0.684;0.737;0.158;0.211
ENST00000507625_90_90;0.4;0.933;0.421;0.625;0.714;0.864;0.905;0.696;1.0;0.667;0.818;0.727;0.762;0.682;0.652;0.9;0.857;0.778;0.778;0.7;0.737;0.722;0.765;0.722;0.737;0.778;0.778;0.684;0.684;0.65;0.7;0.778;0.824;0.824;0.812;0.875;0.188;0.25
ENST00000508693_90_90;0.4;0.933;0.208;0.952;0.81;0.792;0.75;0.952;0.667;1.0;0.75;0.905;0.857;0.857;0.905;0.667;0.708;0.8;0.8;0.81;0.85;0.75;0.7;0.75;0.85;0.8;0.8;0.8;0.8;0.85;0.9;0.8;0.75;0.75;0.65;0.7;0.15;0.2
ENST00000508946_90_90;0.429;0.867;0.381;0.783;0.652;0.955;0.909;0.708;0.818;0.75;1.0;0.667;0.625;0.696;0.739;0.905;0.952;0.7;0.7;0.8;0.667;0.833;0.778;0.65;0.667;0.619;0.789;0.7;0.7;0.75;0.714;0.789;0.737;0.65;0.722;0.684;0.167;0.222
ENST00000509896_90_90;0.4;0.933;0.227;0.857;0.895;0.708;0.667;0.857;0.727;0.905;0.667;1.0;0.947;0.947;0.81;0.727;0.625;0.889;0.889;0.714;0.842;0.737;0.684;0.833;0.944;0.889;0.789;0.889;0.789;0.842;0.895;0.789;0.737;0.833;0.722;0.778;0.167;0.222
ENST00000511324_90_90;0.4;0.933;0.238;0.81;0.944;0.667;0.696;0.9;0.762;0.857;0.625;0.947;1.0;0.895;0.85;0.682;0.652;0.833;0.833;0.75;0.889;0.684;0.722;0.882;0.889;0.941;0.737;0.833;0.833;0.789;0.842;0.737;0.778;0.882;0.765;0.824;0.176;0.235
ENST00000512091_90_90;0.429;0.867;0.238;0.9;0.944;0.667;0.625;0.81;0.682;0.857;0.696;0.947;0.895;1.0;0.85;0.762;0.652;0.833;0.833;0.75;0.789;0.778;0.722;0.882;0.889;0.833;0.737;0.941;0.833;0.889;0.842;0.737;0.684;0.778;0.765;0.722;0.176;0.235
ENST00000514157_90_90;0.429;0.867;0.227;0.95;0.895;0.708;0.739;0.95;0.652;0.905;0.739;0.81;0.85;0.85;1.0;0.652;0.773;0.7;0.7;0.895;0.842;0.737;0.778;0.833;0.75;0.789;0.7;0.789;0.889;0.842;0.8;0.7;0.737;0.737;0.722;0.684;0.167;0.222
ENST00000514591_90_90;0.429;0.867;0.421;0.696;0.714;0.864;0.818;0.625;0.9;0.667;0.905;0.727;0.682;0.762;0.652;1.0;0.857;0.778;0.778;0.7;0.65;0.824;0.765;0.722;0.737;0.684;0.778;0.778;0.684;0.737;0.7;0.778;0.722;0.722;0.812;0.765;0.188;0.25
ENST00000514996_90_90;0.429;0.867;0.4;0.739;0.682;0.909;0.952;0.739;0.857;0.708;0.952;0.625;0.652;0.652;0.773;0.857;1.0;0.65;0.65;0.842;0.7;0.778;0.824;0.684;0.619;0.65;0.737;0.65;0.737;0.7;0.667;0.737;0.778;0.684;0.765;0.722;0.176;0.235
ENSMUST00000036068_90_90;0.5;0.882;0.235;0.75;0.778;0.75;0.7;0.75;0.778;0.8;0.7;0.889;0.833;0.833;0.7;0.778;0.65;1.0;0.826;0.483;0.654;0.68;0.64;0.667;0.75;0.708;0.72;0.708;0.615;0.654;0.692;0.72;0.68;0.783;0.696;0.739;0.273;0.174
ENSMUST00000072521_90_90;0.5;0.882;0.235;0.75;0.778;0.75;0.7;0.75;0.778;0.8;0.7;0.889;0.833;0.833;0.7;0.778;0.65;0.826;1.0;0.577;0.783;0.818;0.773;0.81;0.905;0.857;0.864;0.857;0.739;0.783;0.826;0.864;0.818;0.95;0.85;0.9;0.3;0.25
ENSMUST00000117253_90_90;0.4;0.706;0.278;0.85;0.789;0.762;0.8;0.85;0.7;0.81;0.8;0.714;0.75;0.75;0.895;0.7;0.842;0.483;0.577;1.0;0.75;0.64;0.667;0.696;0.64;0.667;0.615;0.667;0.783;0.75;0.72;0.615;0.64;0.6;0.583;0.56;0.125;0.238
ENSMUST00000117407_90_90;0.438;0.824;0.222;0.8;0.833;0.714;0.75;0.895;0.737;0.85;0.667;0.842;0.889;0.789;0.842;0.65;0.7;0.654;0.783;0.75;1.0;0.783;0.818;0.857;0.864;0.905;0.68;0.818;0.952;0.909;0.955;0.826;0.864;0.818;0.727;0.773;0.227;0.238
ENSMUST00000117985_90_90;0.533;0.824;0.25;0.789;0.722;0.789;0.737;0.7;0.722;0.75;0.833;0.737;0.684;0.778;0.737;0.824;0.778;0.68;0.818;0.64;0.783;1.0;0.95;0.727;0.739;0.696;0.783;0.773;0.818;0.864;0.826;0.952;0.905;0.773;0.85;0.81;0.3;0.25
ENSMUST00000118034_90_90;0.533;0.824;0.267;0.737;0.765;0.737;0.778;0.737;0.765;0.7;0.778;0.684;0.722;0.722;0.778;0.765;0.824;0.64;0.773;0.667;0.818;0.95;1.0;0.762;0.696;0.727;0.739;0.727;0.857;0.818;0.783;0.905;0.95;0.81;0.895;0.85;0.316;0.263
ENSMUST00000118078_90_90;0.467;0.765;0.25;0.789;0.938;0.619;0.65;0.789;0.722;0.75;0.65;0.833;0.882;0.882;0.833;0.722;0.684;0.667;0.81;0.696;0.857;0.727;0.762;1.0;0.9;0.947;0.696;0.947;0.9;0.857;0.818;0.696;0.727;0.85;0.842;0.8;0.263;0.278
ENSMUST00000118442_90_90;0.438;0.824;0.222;0.8;0.833;0.714;0.667;0.8;0.737;0.85;0.667;0.944;0.889;0.889;0.75;0.737;0.619;0.75;0.905;0.64;0.864;0.739;0.696;0.9;1.0;0.95;0.783;0.95;0.818;0.864;0.909;0.783;0.739;0.857;0.762;0.81;0.238;0.25
ENSMUST00000119385_90_90;0.438;0.824;0.235;0.75;0.882;0.667;0.7;0.842;0.778;0.8;0.619;0.889;0.941;0.833;0.789;0.684;0.65;0.708;0.857;0.667;0.905;0.696;0.727;0.947;0.95;1.0;0.739;0.9;0.857;0.818;0.864;0.739;0.773;0.9;0.8;0.85;0.25;0.263
ENSMUST00000119788_90_90;0.5;0.882;0.235;0.75;0.684;0.842;0.789;0.75;0.778;0.8;0.789;0.789;0.737;0.737;0.7;0.778;0.737;0.72;0.864;0.615;0.68;0.783;0.739;0.696;0.783;0.739;1.0;0.739;0.64;0.68;0.72;0.826;0.783;0.818;0.81;0.857;0.286;0.238
ENSMUST00000120128_90_90;0.467;0.765;0.235;0.842;0.882;0.667;0.619;0.75;0.684;0.8;0.7;0.889;0.833;0.941;0.789;0.778;0.65;0.708;0.857;0.667;0.818;0.773;0.727;0.947;0.95;0.9;0.739;1.0;0.857;0.905;0.864;0.739;0.696;0.81;0.8;0.762;0.25;0.263
ENSMUST00000120144_90_90;0.467;0.765;0.235;0.842;0.882;0.667;0.7;0.842;0.684;0.8;0.7;0.789;0.833;0.833;0.889;0.684;0.737;0.615;0.739;0.783;0.952;0.818;0.857;0.9;0.818;0.857;0.64;0.857;1.0;0.952;0.909;0.783;0.818;0.773;0.762;0.727;0.238;0.25
ENSMUST00000120292_90_90;0.467;0.765;0.222;0.895;0.833;0.714;0.667;0.8;0.65;0.85;0.75;0.842;0.789;0.889;0.842;0.737;0.7;0.654;0.783;0.75;0.909;0.864;0.818;0.857;0.864;0.818;0.68;0.905;0.952;1.0;0.955;0.826;0.783;0.739;0.727;0.696;0.227;0.238
ENSMUST00000120445_90_90;0.438;0.824;0.211;0.85;0.789;0.762;0.714;0.85;0.7;0.9;0.714;0.895;0.842;0.842;0.8;0.7;0.667;0.692;0.826;0.72;0.955;0.826;0.783;0.818;0.909;0.864;0.72;0.864;0.909;0.955;1.0;0.87;0.826;0.783;0.696;0.739;0.217;0.227
ENSMUST00000120673_90_90;0.5;0.882;0.235;0.75;0.684;0.842;0.789;0.75;0.778;0.8;0.789;0.789;0.737;0.737;0.7;0.778;0.737;0.72;0.864;0.615;0.826;0.952;0.905;0.696;0.783;0.739;0.826;0.739;0.783;0.826;0.87;1.0;0.952;0.818;0.81;0.857;0.286;0.238
ENSMUST00000121641_90_90;0.5;0.882;0.25;0.7;0.722;0.789;0.833;0.789;0.824;0.75;0.737;0.737;0.778;0.684;0.737;0.722;0.778;0.68;0.818;0.64;0.864;0.905;0.95;0.727;0.739;0.773;0.783;0.696;0.818;0.783;0.826;0.952;1.0;0.857;0.85;0.9;0.3;0.25
ENSMUST00000121707_90_90;0.5;0.882;0.25;0.7;0.824;0.7;0.737;0.789;0.824;0.75;0.65;0.833;0.882;0.778;0.737;0.722;0.684;0.783;0.95;0.6;0.818;0.773;0.81;0.85;0.857;0.9;0.818;0.81;0.773;0.739;0.783;0.818;0.857;1.0;0.895;0.947;0.316;0.263
ENSMUST00000122037_90_90;0.533;0.824;0.286;0.684;0.812;0.684;0.722;0.684;0.812;0.65;0.722;0.722;0.765;0.765;0.722;0.812;0.765;0.696;0.85;0.583;0.727;0.85;0.895;0.842;0.762;0.8;0.81;0.8;0.762;0.727;0.696;0.81;0.85;0.895;1.0;0.944;0.353;0.294
ENSMUST00000122356_90_90;0.5;0.882;0.267;0.65;0.765;0.737;0.778;0.737;0.875;0.7;0.684;0.778;0.824;0.722;0.684;0.765;0.722;0.739;0.9;0.56;0.773;0.81;0.85;0.8;0.81;0.85;0.857;0.762;0.727;0.696;0.739;0.857;0.9;0.947;0.944;1.0;0.333;0.278
ENSMUST00000124117_90_90;0.625;0.312;0.6;0.158;0.188;0.158;0.167;0.158;0.188;0.15;0.167;0.167;0.176;0.176;0.167;0.188;0.176;0.273;0.3;0.125;0.227;0.3;0.316;0.263;0.238;0.25;0.286;0.25;0.238;0.227;0.217;0.286;0.3;0.316;0.353;0.333;1.0;0.0
ENSMUST00000132375_90_90;0.0;0.25;0.0;0.211;0.25;0.211;0.222;0.211;0.25;0.2;0.222;0.222;0.235;0.235;0.222;0.25;0.235;0.174;0.25;0.238;0.238;0.25;0.263;0.278;0.25;0.263;0.238;0.263;0.25;0.238;0.227;0.238;0.25;0.263;0.294;0.278;0.0;1.0
