;ENSCAFT00000018209_90_90;ENSCAFT00000043863_90_90;ENST00000264183_90_90;ENST00000349213_90_90;ENST00000366603_90_90;ENST00000418304_90_90;ENST00000421364_90_90;ENST00000444620_90_90;ENST00000474953_90_90;ENSMUST00000039538_90_90;ENSMUST00000110533_90_90;ENSMUST00000110534_90_90;ENSMUST00000110536_90_90;ENSMUST00000129488_90_90;ENSMUST00000151151_90_90;ENSMUST00000222928_90_90
ENSCAFT00000018209_90_90;1.0;0.821;1.0;0.832;1.0;0.366;0.893;0.346;0.343;0.838;0.309;1.0;0.838;0.401;0.032;0.114
ENSCAFT00000043863_90_90;0.821;1.0;0.808;0.968;0.808;0.415;0.701;0.372;0.411;0.97;0.337;0.815;0.97;0.406;0.042;0.11
ENST00000264183_90_90;1.0;0.808;1.0;0.815;1.0;0.358;0.875;0.334;0.328;0.808;0.315;1.0;0.808;0.41;0.032;0.117
ENST00000349213_90_90;0.832;0.968;0.815;1.0;0.815;0.447;0.696;0.355;0.385;1.0;0.391;0.808;1.0;0.463;0.042;0.152
ENST00000366603_90_90;1.0;0.808;1.0;0.815;1.0;0.358;0.875;0.334;0.328;0.808;0.315;1.0;0.808;0.41;0.032;0.117
ENST00000418304_90_90;0.366;0.415;0.358;0.447;0.358;1.0;0.391;0.0;0.0;0.43;0.914;0.343;0.43;0.835;0.0;0.348
ENST00000421364_90_90;0.893;0.701;0.875;0.696;0.875;0.391;1.0;0.367;0.251;0.686;0.346;0.871;0.686;0.449;0.06;0.127
ENST00000444620_90_90;0.346;0.372;0.334;0.355;0.334;0.0;0.367;1.0;0.516;0.372;0.0;0.346;0.372;0.0;0.096;0.0
ENST00000474953_90_90;0.343;0.411;0.328;0.385;0.328;0.0;0.251;0.516;1.0;0.415;0.0;0.347;0.415;0.0;0.104;0.0
ENSMUST00000039538_90_90;0.838;0.97;0.808;1.0;0.808;0.43;0.686;0.372;0.415;1.0;0.357;0.807;1.0;0.434;0.039;0.14
ENSMUST00000110533_90_90;0.309;0.337;0.315;0.391;0.315;0.914;0.346;0.0;0.0;0.357;1.0;0.293;0.357;0.729;0.0;0.35
ENSMUST00000110534_90_90;1.0;0.815;1.0;0.808;1.0;0.343;0.871;0.346;0.347;0.807;0.293;1.0;0.807;0.385;0.029;0.108
ENSMUST00000110536_90_90;0.838;0.97;0.808;1.0;0.808;0.43;0.686;0.372;0.415;1.0;0.357;0.807;1.0;0.434;0.039;0.14
ENSMUST00000129488_90_90;0.401;0.406;0.41;0.463;0.41;0.835;0.449;0.0;0.0;0.434;0.729;0.385;0.434;1.0;0.0;0.285
ENSMUST00000151151_90_90;0.032;0.042;0.032;0.042;0.032;0.0;0.06;0.096;0.104;0.039;0.0;0.029;0.039;0.0;1.0;0.0
ENSMUST00000222928_90_90;0.114;0.11;0.117;0.152;0.117;0.348;0.127;0.0;0.0;0.14;0.35;0.108;0.14;0.285;0.0;1.0
