;ENSCAFT00000005580_90_90;ENSCAFT00000005583_90_90;ENST00000272238_90_90;ENST00000381661_90_90;ENST00000635370_90_90;ENSMUST00000020884_90_90;ENSMUST00000095820_90_90;ENSMUST00000127185_90_90;ENSMUST00000140751_90_90;ENSMUST00000143131_90_90;ENSMUST00000153090_90_90;ENSMUST00000156727_90_90;ENSMUST00000221129_90_90;ENSMUST00000222103_90_90
ENSCAFT00000005580_90_90;1.0;0.892;0.014;0.015;0.014;0.658;0.638;0.045;0.27;0.01;0.152;0.726;0.703;0.028
ENSCAFT00000005583_90_90;0.892;1.0;0.013;0.014;0.013;0.751;0.731;0.04;0.245;0.009;0.138;0.833;0.638;0.025
ENST00000272238_90_90;0.014;0.013;1.0;0.892;0.977;0.082;0.083;0.1;0.12;0.152;0.132;0.0;0.088;0.229
ENST00000381661_90_90;0.015;0.014;0.892;1.0;0.872;0.046;0.047;0.088;0.068;0.087;0.075;0.0;0.05;0.167
ENST00000635370_90_90;0.014;0.013;0.977;0.872;1.0;0.081;0.082;0.098;0.118;0.149;0.13;0.0;0.087;0.224
ENSMUST00000020884_90_90;0.658;0.751;0.082;0.046;0.081;1.0;0.977;0.146;0.392;0.16;0.307;0.817;0.872;0.139
ENSMUST00000095820_90_90;0.638;0.731;0.083;0.047;0.082;0.977;1.0;0.149;0.401;0.164;0.315;0.836;0.892;0.142
ENSMUST00000127185_90_90;0.045;0.04;0.1;0.088;0.098;0.146;0.149;1.0;0.34;0.579;0.474;0.036;0.167;0.369
ENSMUST00000140751_90_90;0.27;0.245;0.12;0.068;0.118;0.392;0.401;0.34;1.0;0.374;0.718;0.241;0.448;0.294
ENSMUST00000143131_90_90;0.01;0.009;0.152;0.087;0.149;0.16;0.164;0.579;0.374;1.0;0.521;0.0;0.184;0.618
ENSMUST00000153090_90_90;0.152;0.138;0.132;0.075;0.13;0.307;0.315;0.474;0.718;0.521;1.0;0.151;0.353;0.385
ENSMUST00000156727_90_90;0.726;0.833;0.0;0.0;0.0;0.817;0.836;0.036;0.241;0.0;0.151;1.0;0.728;0.0
ENSMUST00000221129_90_90;0.703;0.638;0.088;0.05;0.087;0.872;0.892;0.167;0.448;0.184;0.353;0.728;1.0;0.157
ENSMUST00000222103_90_90;0.028;0.025;0.229;0.167;0.224;0.139;0.142;0.369;0.294;0.618;0.385;0.0;0.157;1.0
