;ENSCAFT00000028867_90_90;ENST00000348628_90_90;ENST00000398376_90_90;ENST00000510347_90_90;ENST00000515758_90_90;ENSMUST00000025519_90_90;ENSMUST00000039904_90_90;ENSMUST00000102888_90_90;ENSMUST00000115295_90_90;ENSMUST00000115297_90_90;ENSMUST00000137805_90_90
ENSCAFT00000028867_90_90;1.0;0.921;0.881;0.248;0.067;0.767;0.279;0.797;0.267;0.157;0.349
ENST00000348628_90_90;0.921;1.0;0.951;0.303;0.067;0.821;0.279;0.855;0.267;0.115;0.399
ENST00000398376_90_90;0.881;0.951;1.0;0.285;0.064;0.865;0.267;0.821;0.313;0.11;0.38
ENST00000510347_90_90;0.248;0.303;0.285;1.0;0.0;0.235;0.0;0.248;0.0;0.302;0.378
ENST00000515758_90_90;0.067;0.067;0.064;0.0;1.0;0.064;0.0;0.067;0.0;0.0;0.124
ENSMUST00000025519_90_90;0.767;0.821;0.865;0.235;0.064;1.0;0.226;0.951;0.27;0.148;0.38
ENSMUST00000039904_90_90;0.279;0.279;0.267;0.0;0.0;0.226;1.0;0.234;0.873;0.0;0.0
ENSMUST00000102888_90_90;0.797;0.855;0.821;0.248;0.067;0.951;0.234;1.0;0.226;0.156;0.399
ENSMUST00000115295_90_90;0.267;0.267;0.313;0.0;0.0;0.27;0.873;0.226;1.0;0.0;0.0
ENSMUST00000115297_90_90;0.157;0.115;0.11;0.302;0.0;0.148;0.0;0.156;0.0;1.0;0.146
ENSMUST00000137805_90_90;0.349;0.399;0.38;0.378;0.124;0.38;0.0;0.399;0.0;0.146;1.0
