;ENSCAFT00000010991_90_90;ENSCAFT00000018912_90_90;ENST00000400304_90_90;ENST00000400305_90_90;ENST00000400308_90_90;ENST00000400309_90_90;ENST00000400310_90_90;ENST00000400314_90_90;ENST00000449640_90_90;ENST00000549265_90_90;ENSMUST00000001148_90_90;ENSMUST00000092393_90_90;ENSMUST00000105411_90_90;ENSMUST00000168465_90_90;ENSMUST00000173854_90_90
ENSCAFT00000010991_90_90;1.0;0.884;0.858;0.814;0.867;0.934;0.989;0.937;0.858;0.015;0.938;0.643;0.935;0.938;0.457
ENSCAFT00000018912_90_90;0.884;1.0;0.91;0.866;0.919;0.987;0.937;0.989;0.91;0.014;0.99;0.61;0.987;0.99;0.433
ENST00000400304_90_90;0.858;0.91;1.0;0.846;0.796;0.86;0.807;0.858;1.0;0.015;0.914;0.669;0.916;0.914;0.475
ENST00000400305_90_90;0.814;0.866;0.846;1.0;0.928;0.865;0.814;0.868;0.846;0.017;0.869;0.578;0.867;0.869;0.39
ENST00000400308_90_90;0.867;0.919;0.796;0.928;1.0;0.932;0.876;0.93;0.796;0.015;0.914;0.542;0.917;0.914;0.366
ENST00000400309_90_90;0.934;0.987;0.86;0.865;0.932;1.0;0.943;0.997;0.86;0.014;0.981;0.61;0.984;0.981;0.433
ENST00000400310_90_90;0.989;0.937;0.807;0.814;0.876;0.943;1.0;0.946;0.807;0.015;0.93;0.643;0.928;0.93;0.457
ENST00000400314_90_90;0.937;0.989;0.858;0.868;0.93;0.997;0.946;1.0;0.858;0.014;0.984;0.608;0.981;0.984;0.432
ENST00000449640_90_90;0.858;0.91;1.0;0.846;0.796;0.86;0.807;0.858;1.0;0.015;0.914;0.669;0.916;0.914;0.475
ENST00000549265_90_90;0.015;0.014;0.015;0.017;0.015;0.014;0.015;0.014;0.015;1.0;0.014;0.024;0.014;0.014;0.0
ENSMUST00000001148_90_90;0.938;0.99;0.914;0.869;0.914;0.981;0.93;0.984;0.914;0.014;1.0;0.609;0.997;1.0;0.433
ENSMUST00000092393_90_90;0.643;0.61;0.669;0.578;0.542;0.61;0.643;0.608;0.669;0.024;0.609;1.0;0.611;0.609;0.216
ENSMUST00000105411_90_90;0.935;0.987;0.916;0.867;0.917;0.984;0.928;0.981;0.916;0.014;0.997;0.611;1.0;0.997;0.434
ENSMUST00000168465_90_90;0.938;0.99;0.914;0.869;0.914;0.981;0.93;0.984;0.914;0.014;1.0;0.609;0.997;1.0;0.433
ENSMUST00000173854_90_90;0.457;0.433;0.475;0.39;0.366;0.433;0.457;0.432;0.475;0.0;0.433;0.216;0.434;0.433;1.0
