;ENSCAFT00000023990_90_90;ENST00000220429_90_90;ENST00000359031_90_90;ENST00000380877_90_90;ENST00000396464_90_90;ENST00000429662_90_90;ENST00000543881_90_90;ENST00000558335_90_90;ENST00000558970_90_90;ENST00000560825_90_90;ENST00000561010_90_90;ENSMUST00000039978_90_90;ENSMUST00000089745_90_90;ENSMUST00000103226_90_90;ENSMUST00000103227_90_90;ENSMUST00000110424_90_90;ENSMUST00000110425_90_90;ENSMUST00000124972_90_90;ENSMUST00000137335_90_90
ENSCAFT00000023990_90_90;1.0;1.0;0.857;0.961;0.857;0.896;0.786;0.309;0.271;0.818;0.438;0.849;0.678;0.893;0.957;0.957;1.0;0.177;0.102
ENST00000220429_90_90;1.0;1.0;0.781;0.918;0.781;0.858;0.804;0.28;0.246;0.749;0.45;0.801;0.678;0.841;0.957;0.957;1.0;0.177;0.102
ENST00000359031_90_90;0.857;0.781;1.0;0.847;1.0;0.917;0.595;0.322;0.282;0.96;0.39;0.914;0.667;0.958;0.762;0.762;0.802;0.195;0.112
ENST00000380877_90_90;0.961;0.918;0.847;1.0;0.847;0.781;0.722;0.309;0.271;0.81;0.373;0.762;0.636;0.802;0.914;0.914;0.958;0.185;0.106
ENST00000396464_90_90;0.857;0.781;1.0;0.847;1.0;0.917;0.595;0.322;0.282;0.96;0.39;0.914;0.667;0.958;0.762;0.762;0.802;0.195;0.112
ENST00000429662_90_90;0.896;0.858;0.917;0.781;0.917;1.0;0.672;0.291;0.258;0.882;0.468;0.957;0.709;1.0;0.801;0.801;0.841;0.187;0.108
ENST00000543881_90_90;0.786;0.804;0.595;0.722;0.595;0.672;1.0;0.084;0.051;0.562;0.55;0.59;0.454;0.63;0.733;0.733;0.776;0.0;0.0
ENST00000558335_90_90;0.309;0.28;0.322;0.309;0.322;0.291;0.084;1.0;0.898;0.338;0.0;0.357;0.471;0.338;0.345;0.345;0.326;0.602;0.359
ENST00000558970_90_90;0.271;0.246;0.282;0.271;0.282;0.258;0.051;0.898;1.0;0.295;0.0;0.311;0.414;0.295;0.299;0.299;0.283;0.653;0.385
ENST00000560825_90_90;0.818;0.749;0.96;0.81;0.96;0.882;0.562;0.338;0.295;1.0;0.357;0.954;0.698;0.914;0.792;0.792;0.762;0.204;0.117
ENST00000561010_90_90;0.438;0.45;0.39;0.373;0.39;0.468;0.55;0.0;0.0;0.357;1.0;0.373;0.215;0.416;0.356;0.356;0.399;0.0;0.0
ENSMUST00000039978_90_90;0.849;0.801;0.914;0.762;0.914;0.957;0.59;0.357;0.311;0.954;0.373;1.0;0.719;0.96;0.841;0.841;0.81;0.187;0.109
ENSMUST00000089745_90_90;0.678;0.678;0.667;0.636;0.667;0.709;0.454;0.471;0.414;0.698;0.215;0.719;1.0;0.69;0.688;0.688;0.66;0.245;0.145
ENSMUST00000103226_90_90;0.893;0.841;0.958;0.802;0.958;1.0;0.63;0.338;0.295;0.914;0.416;0.96;0.69;1.0;0.81;0.81;0.847;0.18;0.105
ENSMUST00000103227_90_90;0.957;0.957;0.762;0.914;0.762;0.801;0.733;0.345;0.299;0.792;0.356;0.841;0.688;0.81;1.0;1.0;0.96;0.177;0.102
ENSMUST00000110424_90_90;0.957;0.957;0.762;0.914;0.762;0.801;0.733;0.345;0.299;0.792;0.356;0.841;0.688;0.81;1.0;1.0;0.96;0.177;0.102
ENSMUST00000110425_90_90;1.0;1.0;0.802;0.958;0.802;0.841;0.776;0.326;0.283;0.762;0.399;0.81;0.66;0.847;0.96;0.96;1.0;0.171;0.099
ENSMUST00000124972_90_90;0.177;0.177;0.195;0.185;0.195;0.187;0.0;0.602;0.653;0.204;0.0;0.187;0.245;0.18;0.177;0.177;0.171;1.0;0.572
ENSMUST00000137335_90_90;0.102;0.102;0.112;0.106;0.112;0.108;0.0;0.359;0.385;0.117;0.0;0.109;0.145;0.105;0.102;0.102;0.099;0.572;1.0
