;ENSCAFT00000022211_90_90;ENST00000324778_90_90;ENST00000367632_90_90;ENST00000367634_90_90;ENST00000367635_90_90;ENST00000415888_90_90;ENSMUST00000027886_90_90;ENSMUST00000063199_90_90;ENSMUST00000171292_90_90;ENSMUST00000172057_90_90;ENSMUST00000185198_90_90;ENSMUST00000188656_90_90;ENSMUST00000189316_90_90;ENSMUST00000189648_90_90;ENSMUST00000190648_90_90;ENSMUST00000190762_90_90;ENSMUST00000191605_90_90;ENSMUST00000192343_90_90
ENSCAFT00000022211_90_90;1.0;0.478;0.261;0.998;0.999;0.15;0.996;0.997;0.997;0.934;0.928;0.811;0.864;0.12;0.81;0.23;0.997;0.127
ENST00000324778_90_90;0.478;1.0;0.0;0.478;0.457;0.119;0.48;0.458;0.458;0.487;0.49;0.557;0.525;0.106;0.589;0.31;0.458;0.119
ENST00000367632_90_90;0.261;0.0;1.0;0.262;0.25;0.0;0.259;0.248;0.248;0.263;0.241;0.124;0.176;0.0;0.13;0.0;0.248;0.0
ENST00000367634_90_90;0.998;0.478;0.262;1.0;0.955;0.147;0.996;0.951;0.951;0.891;0.886;0.774;0.824;0.12;0.81;0.231;0.951;0.128
ENST00000367635_90_90;0.999;0.457;0.25;0.955;1.0;0.141;0.951;0.996;0.996;0.936;0.93;0.819;0.868;0.115;0.774;0.22;0.996;0.122
ENST00000415888_90_90;0.15;0.119;0.0;0.147;0.141;1.0;0.15;0.143;0.143;0.153;0.153;0.174;0.164;0.0;0.184;0.0;0.143;0.0
ENSMUST00000027886_90_90;0.996;0.48;0.259;0.996;0.951;0.15;1.0;0.956;0.956;0.897;0.863;0.77;0.818;0.119;0.805;0.228;0.956;0.124
ENSMUST00000063199_90_90;0.997;0.458;0.248;0.951;0.996;0.143;0.956;1.0;1.0;0.941;0.906;0.813;0.861;0.114;0.77;0.218;1.0;0.119
ENSMUST00000171292_90_90;0.997;0.458;0.248;0.951;0.996;0.143;0.956;1.0;1.0;0.941;0.906;0.813;0.861;0.114;0.77;0.218;1.0;0.119
ENSMUST00000172057_90_90;0.934;0.487;0.263;0.891;0.936;0.153;0.897;0.941;0.941;1.0;0.848;0.755;0.803;0.054;0.711;0.158;0.941;0.06
ENSMUST00000185198_90_90;0.928;0.49;0.241;0.886;0.93;0.153;0.863;0.906;0.906;0.848;1.0;0.845;0.894;0.118;0.799;0.226;0.906;0.123
ENSMUST00000188656_90_90;0.811;0.557;0.124;0.774;0.819;0.174;0.77;0.813;0.813;0.755;0.845;1.0;0.917;0.137;0.947;0.262;0.813;0.143
ENSMUST00000189316_90_90;0.864;0.525;0.176;0.824;0.868;0.164;0.818;0.861;0.861;0.803;0.894;0.917;1.0;0.128;0.867;0.245;0.861;0.134
ENSMUST00000189648_90_90;0.12;0.106;0.0;0.12;0.115;0.0;0.119;0.114;0.114;0.054;0.118;0.137;0.128;1.0;0.145;0.522;0.114;0.859
ENSMUST00000190648_90_90;0.81;0.589;0.13;0.81;0.774;0.184;0.805;0.77;0.77;0.711;0.799;0.947;0.867;0.145;1.0;0.277;0.77;0.151
ENSMUST00000190762_90_90;0.23;0.31;0.0;0.231;0.22;0.0;0.228;0.218;0.218;0.158;0.226;0.262;0.245;0.522;0.277;1.0;0.218;0.525
ENSMUST00000191605_90_90;0.997;0.458;0.248;0.951;0.996;0.143;0.956;1.0;1.0;0.941;0.906;0.813;0.861;0.114;0.77;0.218;1.0;0.119
ENSMUST00000192343_90_90;0.127;0.119;0.0;0.128;0.122;0.0;0.124;0.119;0.119;0.06;0.123;0.143;0.134;0.859;0.151;0.525;0.119;1.0
