;transcript8_ENSMSIG00000000513;transcript8_ENSMUSG00000054036;transcript8_ENSRNOG00000031503;transcript47_MGP-SPRETEiJ-G0021131;transcript47_ENSMUSG00000054036;transcript47_ENSMUGG00000013649;transcript42_ENSMUSG00000054036;transcript42_ENSRNOG00000031503;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript7_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript44_ENSMUGG00000013649;transcript48_ENSMUGG00000013649;transcript28_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript53_ENSMUGG00000013592;transcript54_ENSMUGG00000013592;transcript25_ENSPEMG00000024651
transcript8_ENSMSIG00000000513;1.0;1.0;0.984;1.0;0.487;0.557;1.0;0.984;0.961;0.856;0.885;0.997;1.0;1.0;0.997;0.997;0.997;0.997;1.0
transcript8_ENSMUSG00000054036;1.0;1.0;0.984;1.0;0.487;0.532;0.889;0.867;0.856;0.77;0.556;0.688;0.609;0.609;0.616;0.678;0.616;0.616;0.609
transcript8_ENSRNOG00000031503;0.984;0.984;1.0;0.998;0.516;0.575;0.867;0.883;0.825;0.753;0.543;0.647;0.587;0.587;0.6;0.638;0.6;0.6;0.587
transcript47_MGP-SPRETEiJ-G0021131;1.0;1.0;0.998;1.0;1.0;0.688;1.0;0.998;0.938;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript47_ENSMUSG00000054036;0.487;0.487;0.516;1.0;1.0;0.624;0.462;0.484;0.45;0.51;0.277;0.289;0.23;0.23;0.236;0.282;0.236;0.236;0.23
transcript47_ENSMUGG00000013649;0.557;0.532;0.575;0.688;0.624;1.0;0.52;0.557;0.472;0.496;0.22;0.225;0.204;0.204;0.209;0.215;0.211;0.21;0.203
transcript42_ENSMUSG00000054036;1.0;0.889;0.867;1.0;0.462;0.52;1.0;0.987;0.97;0.886;0.611;0.81;0.74;0.74;0.74;0.801;0.74;0.74;0.74
transcript42_ENSRNOG00000031503;0.984;0.867;0.883;0.998;0.484;0.557;0.987;1.0;0.947;0.877;0.579;0.772;0.724;0.724;0.724;0.762;0.724;0.724;0.724
transcript54_ENSMUSG00000054036;0.961;0.856;0.825;0.938;0.45;0.472;0.97;0.947;1.0;0.891;0.571;0.77;0.702;0.702;0.7;0.761;0.7;0.7;0.702
transcript55_ENSMUSG00000054036;0.856;0.77;0.753;1.0;0.51;0.496;0.886;0.877;0.891;1.0;0.519;0.708;0.631;0.631;0.64;0.7;0.64;0.64;0.631
transcript7_ENSMUGG00000013649;0.885;0.556;0.543;1.0;0.277;0.22;0.611;0.579;0.571;0.519;1.0;0.829;0.872;0.884;0.865;0.821;0.786;0.766;0.876
transcript7_ENSMUGG00000013592;0.997;0.688;0.647;1.0;0.289;0.225;0.81;0.772;0.77;0.708;0.829;1.0;0.848;0.832;0.86;0.99;0.782;0.765;0.815
transcript44_ENSMUGG00000013649;1.0;0.609;0.587;1.0;0.23;0.204;0.74;0.724;0.702;0.631;0.872;0.848;1.0;0.984;0.989;0.856;0.911;0.893;0.996
transcript48_ENSMUGG00000013649;1.0;0.609;0.587;1.0;0.23;0.204;0.74;0.724;0.702;0.631;0.884;0.832;0.984;1.0;0.976;0.841;0.896;0.877;0.981
transcript28_ENSMUGG00000013592;0.997;0.616;0.6;1.0;0.236;0.209;0.74;0.724;0.7;0.64;0.865;0.86;0.989;0.976;1.0;0.869;0.923;0.906;0.953
transcript52_ENSMUGG00000013592;0.997;0.678;0.638;1.0;0.282;0.215;0.801;0.762;0.761;0.7;0.821;0.99;0.856;0.841;0.869;1.0;0.79;0.774;0.823
transcript53_ENSMUGG00000013592;0.997;0.616;0.6;1.0;0.236;0.211;0.74;0.724;0.7;0.64;0.786;0.782;0.911;0.896;0.923;0.79;1.0;0.924;0.879
transcript54_ENSMUGG00000013592;0.997;0.616;0.6;1.0;0.236;0.21;0.74;0.724;0.7;0.64;0.766;0.765;0.893;0.877;0.906;0.774;0.924;1.0;0.865
transcript25_ENSPEMG00000024651;1.0;0.609;0.587;1.0;0.23;0.203;0.74;0.724;0.702;0.631;0.876;0.815;0.996;0.981;0.953;0.823;0.879;0.865;1.0
