;ENSCAFT00000028452_90_90;ENST00000331224_90_90;ENST00000341267_90_90;ENST00000392848_90_90;ENST00000556051_90_90;ENSMUST00000056110_90_90;ENSMUST00000109841_90_90;ENSMUST00000109842_90_90;ENSMUST00000109843_90_90;ENSMUST00000109844_90_90;ENSMUST00000109846_90_90;ENSMUST00000124293_90_90;ENSMUST00000173539_90_90;ENSMUST00000173812_90_90
ENSCAFT00000028452_90_90;1.0;0.748;0.936;0.251;0.189;0.907;0.639;0.725;0.608;0.907;0.782;0.338;0.693;0.326
ENST00000331224_90_90;0.748;1.0;0.804;0.365;0.275;0.679;0.728;0.827;0.692;0.679;0.774;0.366;0.79;0.255
ENST00000341267_90_90;0.936;0.804;1.0;0.293;0.226;0.856;0.597;0.679;0.567;0.856;0.734;0.303;0.647;0.326
ENST00000392848_90_90;0.251;0.365;0.293;1.0;0.633;0.208;0.28;0.254;0.29;0.208;0.237;0.267;0.262;0.0
ENST00000556051_90_90;0.189;0.275;0.226;0.633;1.0;0.152;0.198;0.182;0.204;0.152;0.171;0.166;0.186;0.0
ENSMUST00000056110_90_90;0.907;0.679;0.856;0.208;0.152;1.0;0.723;0.811;0.689;1.0;0.871;0.408;0.778;0.314
ENSMUST00000109841_90_90;0.639;0.728;0.597;0.28;0.198;0.723;1.0;0.891;0.951;0.723;0.83;0.553;0.849;0.195
ENSMUST00000109842_90_90;0.725;0.827;0.679;0.254;0.182;0.811;0.891;1.0;0.849;0.811;0.931;0.496;0.959;0.247
ENSMUST00000109843_90_90;0.608;0.692;0.567;0.29;0.204;0.689;0.951;0.849;1.0;0.689;0.791;0.582;0.884;0.156
ENSMUST00000109844_90_90;0.907;0.679;0.856;0.208;0.152;1.0;0.723;0.811;0.689;1.0;0.871;0.408;0.778;0.314
ENSMUST00000109846_90_90;0.782;0.774;0.734;0.237;0.171;0.871;0.83;0.931;0.791;0.871;1.0;0.465;0.893;0.314
ENSMUST00000124293_90_90;0.338;0.366;0.303;0.267;0.166;0.408;0.553;0.496;0.582;0.408;0.465;1.0;0.517;0.0
ENSMUST00000173539_90_90;0.693;0.79;0.647;0.262;0.186;0.778;0.849;0.959;0.884;0.778;0.893;0.517;1.0;0.211
ENSMUST00000173812_90_90;0.326;0.255;0.326;0.0;0.0;0.314;0.195;0.247;0.156;0.314;0.314;0.0;0.211;1.0
