;ENSCAFT00000003109_90_90;ENSCAFT00000045366_90_90;ENST00000340022_90_90;ENST00000394503_90_90;ENST00000394505_90_90;ENST00000394507_90_90;ENST00000412043_90_90;ENST00000413688_90_90;ENST00000422347_90_90;ENST00000425073_90_90;ENST00000425919_90_90;ENST00000430102_90_90;ENST00000433016_90_90;ENST00000440209_90_90;ENST00000444960_90_90;ENST00000445516_90_90;ENST00000452773_90_90;ENST00000454017_90_90;ENST00000458177_90_90;ENST00000458493_90_90;ENSMUST00000080085_90_90;ENSMUST00000171023_90_90;ENSMUST00000198079_90_90;ENSMUST00000200386_90_90;ENSMUST00000200577_90_90
ENSCAFT00000003109_90_90;1.0;0.935;0.934;0.999;0.934;0.934;0.934;0.101;0.036;0.017;0.055;0.142;0.267;0.163;0.049;0.159;0.084;0.235;0.353;0.095;0.934;0.881;0.158;0.919;0.383
ENSCAFT00000045366_90_90;0.935;1.0;0.999;0.934;0.999;0.999;0.999;0.094;0.034;0.016;0.052;0.133;0.25;0.152;0.046;0.224;0.079;0.22;0.33;0.089;0.999;0.946;0.148;0.86;0.447
ENST00000340022_90_90;0.934;0.999;1.0;0.935;1.0;1.0;1.0;0.094;0.034;0.016;0.052;0.133;0.25;0.152;0.046;0.224;0.079;0.219;0.33;0.089;0.998;0.945;0.148;0.859;0.446
ENST00000394503_90_90;0.999;0.934;0.935;1.0;0.935;0.935;0.935;0.101;0.036;0.017;0.055;0.142;0.268;0.163;0.049;0.159;0.084;0.235;0.353;0.095;0.933;0.88;0.158;0.918;0.382
ENST00000394505_90_90;0.934;0.999;1.0;0.935;1.0;1.0;1.0;0.094;0.034;0.016;0.052;0.133;0.25;0.152;0.046;0.224;0.079;0.219;0.33;0.089;0.998;0.945;0.148;0.859;0.446
ENST00000394507_90_90;0.934;0.999;1.0;0.935;1.0;1.0;1.0;0.094;0.034;0.016;0.052;0.133;0.25;0.152;0.046;0.224;0.079;0.219;0.33;0.089;0.998;0.945;0.148;0.859;0.446
ENST00000412043_90_90;0.934;0.999;1.0;0.935;1.0;1.0;1.0;0.094;0.034;0.016;0.052;0.133;0.25;0.152;0.046;0.224;0.079;0.219;0.33;0.089;0.998;0.945;0.148;0.859;0.446
ENST00000413688_90_90;0.101;0.094;0.094;0.101;0.094;0.094;0.094;1.0;0.361;0.168;0.548;0.71;0.376;0.619;0.49;0.0;0.837;0.427;0.285;0.947;0.094;0.099;0.525;0.107;0.211
ENST00000422347_90_90;0.036;0.034;0.034;0.036;0.034;0.034;0.034;0.361;1.0;0.467;0.658;0.256;0.136;0.223;0.735;0.0;0.431;0.154;0.103;0.381;0.034;0.036;0.189;0.039;0.076
ENST00000425073_90_90;0.017;0.016;0.016;0.017;0.016;0.016;0.016;0.168;0.467;1.0;0.307;0.119;0.063;0.104;0.343;0.0;0.201;0.072;0.048;0.178;0.016;0.017;0.088;0.018;0.035
ENST00000425919_90_90;0.055;0.052;0.052;0.055;0.052;0.052;0.052;0.548;0.658;0.307;1.0;0.389;0.206;0.339;0.895;0.0;0.655;0.234;0.156;0.579;0.052;0.055;0.288;0.059;0.116
ENST00000430102_90_90;0.142;0.133;0.133;0.142;0.133;0.133;0.133;0.71;0.256;0.119;0.389;1.0;0.53;0.872;0.348;0.0;0.594;0.602;0.402;0.672;0.133;0.14;0.74;0.151;0.297
ENST00000433016_90_90;0.267;0.25;0.25;0.268;0.25;0.25;0.25;0.376;0.136;0.063;0.206;0.53;1.0;0.608;0.184;0.0;0.315;0.874;0.759;0.356;0.25;0.264;0.548;0.284;0.559
ENST00000440209_90_90;0.163;0.152;0.152;0.163;0.152;0.152;0.152;0.619;0.223;0.104;0.339;0.872;0.608;1.0;0.304;0.0;0.518;0.69;0.461;0.586;0.152;0.161;0.848;0.173;0.34
ENST00000444960_90_90;0.049;0.046;0.046;0.049;0.046;0.046;0.046;0.49;0.735;0.343;0.895;0.348;0.184;0.304;1.0;0.0;0.586;0.209;0.14;0.518;0.046;0.049;0.258;0.053;0.103
ENST00000445516_90_90;0.159;0.224;0.224;0.159;0.224;0.224;0.224;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.012;0.0;0.223;0.236;0.0;0.167;0.226
ENST00000452773_90_90;0.084;0.079;0.079;0.084;0.079;0.079;0.079;0.837;0.431;0.201;0.655;0.594;0.315;0.518;0.586;0.0;1.0;0.357;0.239;0.883;0.079;0.083;0.439;0.09;0.176
