;ENSCAFT00000031307_90_90;ENST00000293872_90_90;ENST00000337351_90_90;ENST00000397780_90_90;ENST00000397783_90_90;ENST00000418978_90_90;ENST00000419516_90_90;ENST00000426094_90_90;ENST00000428363_90_90;ENST00000429378_90_90;ENST00000430864_90_90;ENST00000442701_90_90;ENST00000443357_90_90;ENST00000629543_90_90;ENSMUST00000025023_90_90;ENSMUST00000114976_90_90;ENSMUST00000119928_90_90;ENSMUST00000140427_90_90;ENSMUST00000148894_90_90;ENSMUST00000152107_90_90;ENSMUST00000154235_90_90;ENSMUST00000155151_90_90
ENSCAFT00000031307_90_90;1.0;0.882;0.882;0.706;0.882;0.118;0.118;0.118;0.118;0.353;0.412;0.176;0.176;0.118;0.882;0.882;0.882;0.294;0.235;0.353;0.118;0.235
ENST00000293872_90_90;0.882;1.0;0.842;0.579;0.842;0.2;0.2;0.043;0.111;0.389;0.389;0.105;0.167;0.2;0.882;1.0;0.882;0.312;0.278;0.375;0.05;0.25
ENST00000337351_90_90;0.882;0.842;1.0;0.706;1.0;0.211;0.211;0.045;0.118;0.263;0.412;0.176;0.176;0.211;1.0;0.882;1.0;0.312;0.278;0.294;0.05;0.25
ENST00000397780_90_90;0.706;0.579;0.706;1.0;0.706;0.0;0.0;0.0;0.167;0.357;0.583;0.25;0.25;0.0;0.75;0.647;0.75;0.417;0.056;0.385;0.0;0.333
ENST00000397783_90_90;0.882;0.842;1.0;0.706;1.0;0.211;0.211;0.045;0.118;0.263;0.412;0.176;0.176;0.211;1.0;0.882;1.0;0.312;0.278;0.294;0.05;0.25
ENST00000418978_90_90;0.118;0.2;0.211;0.0;0.211;1.0;1.0;0.091;0.0;0.0;0.0;0.0;0.0;1.0;0.167;0.167;0.167;0.0;0.714;0.0;0.111;0.0
ENST00000419516_90_90;0.118;0.2;0.211;0.0;0.211;1.0;1.0;0.091;0.0;0.0;0.0;0.0;0.0;1.0;0.167;0.167;0.167;0.0;0.714;0.0;0.111;0.0
ENST00000426094_90_90;0.118;0.043;0.045;0.0;0.045;0.091;0.091;1.0;0.0;0.0;0.0;0.0;0.0;0.091;0.05;0.05;0.05;0.0;0.091;0.0;1.0;0.0
ENST00000428363_90_90;0.118;0.111;0.118;0.167;0.118;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.125;0.125;0.125;0.0;0.125;0.0;0.0;0.5
ENST00000429378_90_90;0.353;0.389;0.263;0.357;0.263;0.0;0.0;0.0;0.0;1.0;0.4;0.25;0.111;0.0;0.294;0.375;0.294;0.222;0.0;1.0;0.0;0.0
ENST00000430864_90_90;0.412;0.389;0.412;0.583;0.412;0.0;0.0;0.0;0.0;0.4;1.0;0.111;0.429;0.0;0.438;0.438;0.438;0.714;0.0;0.444;0.0;0.1
ENST00000442701_90_90;0.176;0.105;0.176;0.25;0.176;0.0;0.0;0.0;0.0;0.25;0.111;1.0;0.0;0.0;0.188;0.118;0.188;0.0;0.0;0.286;0.0;0.0
ENST00000443357_90_90;0.176;0.167;0.176;0.25;0.176;0.0;0.0;0.0;0.0;0.111;0.429;0.0;1.0;0.0;0.188;0.188;0.188;0.6;0.0;0.125;0.0;0.167
ENST00000629543_90_90;0.118;0.2;0.211;0.0;0.211;1.0;1.0;0.091;0.0;0.0;0.0;0.0;0.0;1.0;0.167;0.167;0.167;0.0;0.714;0.0;0.111;0.0
ENSMUST00000025023_90_90;0.882;0.882;1.0;0.75;1.0;0.167;0.167;0.05;0.125;0.294;0.438;0.188;0.188;0.167;1.0;0.842;1.0;0.294;0.3;0.263;0.043;0.235
ENSMUST00000114976_90_90;0.882;1.0;0.882;0.647;0.882;0.167;0.167;0.05;0.125;0.375;0.438;0.118;0.188;0.167;0.842;1.0;0.842;0.278;0.286;0.389;0.042;0.222
ENSMUST00000119928_90_90;0.882;0.882;1.0;0.75;1.0;0.167;0.167;0.05;0.125;0.294;0.438;0.188;0.188;0.167;1.0;0.842;1.0;0.294;0.3;0.263;0.043;0.235
ENSMUST00000140427_90_90;0.294;0.312;0.312;0.417;0.312;0.0;0.0;0.0;0.0;0.222;0.714;0.0;0.6;0.0;0.294;0.278;0.294;1.0;0.0;0.2;0.0;0.125
ENSMUST00000148894_90_90;0.235;0.278;0.278;0.056;0.278;0.714;0.714;0.091;0.125;0.0;0.0;0.0;0.0;0.714;0.3;0.286;0.3;0.0;1.0;0.0;0.067;0.083
ENSMUST00000152107_90_90;0.353;0.375;0.294;0.385;0.294;0.0;0.0;0.0;0.0;1.0;0.444;0.286;0.125;0.0;0.263;0.389;0.263;0.2;0.0;1.0;0.0;0.0
ENSMUST00000154235_90_90;0.118;0.05;0.05;0.0;0.05;0.111;0.111;1.0;0.0;0.0;0.0;0.0;0.0;0.111;0.043;0.042;0.043;0.0;0.067;0.0;1.0;0.0
ENSMUST00000155151_90_90;0.235;0.25;0.25;0.333;0.25;0.0;0.0;0.0;0.5;0.0;0.1;0.0;0.167;0.0;0.235;0.222;0.235;0.125;0.083;0.0;0.0;1.0
