;transcript38_ENSRNOG00000031503;transcript37_ENSMUGG00000013649;transcript57_ENSMUGG00000013649;transcript58_ENSMUGG00000013649;transcript59_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00015005362;transcript9_ENSCGRG00015005362;transcript38_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript8_ENSCGRG00000018457;transcript38_ENSCGRG00000018457;transcript52_ENSCGRG00000018457;transcript56_ENSCGRG00000018457;transcript65_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript52_ENSCGRG00001010245;transcript8_ENSPEMG00000024651;transcript9_ENSPEMG00000024651;transcript33_ENSPEMG00000024651;transcript37_ENSPEMG00000024651;transcript39_ENSPEMG00000024651;transcript56_ENSPEMG00000024651;transcript57_ENSPEMG00000024651;transcript58_ENSPEMG00000024651;transcript59_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript33_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript37_ENSSTOG00000019743;transcript38_ENSSTOG00000019743;transcript39_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript38_ENSRNOG00000031503;1.0;0.794;0.733;0.786;0.786;0.849;0.754;0.998;1.0;1.0;0.878;0.988;1.0;0.94;0.947;0.931;0.927;0.94;0.922;0.973;0.973;0.874;0.934;0.961;0.904;0.93;0.932;0.718;0.89;1.0;1.0;1.0;0.985;0.985;0.921;1.0
transcript37_ENSMUGG00000013649;0.794;1.0;0.937;0.992;0.955;0.983;0.89;0.759;0.761;0.731;1.0;0.699;0.711;0.696;0.666;0.688;1.0;0.701;0.679;0.706;0.706;0.97;0.663;0.695;0.637;0.667;0.661;0.496;0.708;0.826;0.826;0.826;0.813;0.704;0.873;0.826
transcript57_ENSMUGG00000013649;0.733;0.937;1.0;0.929;0.891;0.921;0.827;0.702;0.703;0.673;0.937;0.642;0.654;0.639;0.608;0.631;0.937;0.643;0.619;0.65;0.65;0.906;0.604;0.639;0.579;0.61;0.603;0.446;0.663;0.773;0.773;0.773;0.759;0.65;0.816;0.773
transcript58_ENSMUGG00000013649;0.786;0.992;0.929;1.0;0.962;0.975;0.882;0.752;0.753;0.723;0.992;0.692;0.704;0.689;0.658;0.68;0.992;0.693;0.672;0.699;0.699;0.963;0.656;0.689;0.63;0.66;0.654;0.501;0.7;0.819;0.819;0.819;0.806;0.697;0.866;0.819
transcript59_ENSMUGG00000013649;0.786;0.955;0.891;0.962;1.0;0.938;0.844;0.752;0.753;0.723;0.955;0.692;0.704;0.689;0.658;0.68;0.955;0.705;0.688;0.715;0.715;0.925;0.671;0.705;0.645;0.676;0.67;0.501;0.7;0.789;0.789;0.789;0.775;0.719;0.832;0.789
transcript37_ENSMUGG00000013592;0.849;0.983;0.921;0.975;0.938;1.0;0.905;0.802;0.804;0.773;0.983;0.739;0.751;0.734;0.702;0.725;0.983;0.74;0.717;0.744;0.744;0.953;0.699;0.746;0.674;0.703;0.697;0.53;0.755;0.872;0.872;0.872;0.859;0.743;0.928;0.872
transcript51_ENSMUGG00000013592;0.754;0.89;0.827;0.882;0.844;0.905;1.0;0.714;0.716;0.684;0.89;0.672;0.664;0.648;0.616;0.639;0.89;0.652;0.626;0.659;0.659;0.859;0.61;0.66;0.721;0.617;0.609;0.457;0.688;0.789;0.789;0.789;0.776;0.659;0.838;0.789
transcript8_ENSCGRG00015005362;0.998;0.759;0.702;0.752;0.752;0.802;0.714;1.0;0.998;0.969;0.832;0.947;0.96;0.943;0.911;0.934;0.87;0.943;0.921;0.97;0.97;0.824;0.931;0.959;0.9;0.93;0.93;0.686;0.895;0.943;0.943;0.943;0.929;0.984;0.869;0.943
transcript9_ENSCGRG00015005362;1.0;0.761;0.703;0.753;0.753;0.804;0.716;0.998;1.0;0.971;0.833;0.948;0.961;0.945;0.912;0.936;0.872;0.945;0.923;0.972;0.972;0.826;0.933;0.96;0.902;0.932;0.931;0.688;0.897;0.945;0.945;0.945;0.931;0.985;0.871;0.945
transcript38_ENSCGRG00015005362;1.0;0.731;0.673;0.723;0.723;0.773;0.684;0.969;0.971;1.0;0.801;0.987;1.0;0.915;0.949;0.906;0.839;0.915;0.895;0.946;0.946;0.797;0.906;0.934;0.875;0.906;0.904;0.716;0.866;0.917;0.917;0.917;0.903;0.956;0.841;0.917
transcript54_ENSCGRG00015005362;0.878;1.0;0.937;0.992;0.955;0.983;0.89;0.832;0.833;0.801;1.0;0.765;0.778;0.761;0.728;0.752;1.0;0.767;0.737;0.767;0.767;0.97;0.722;0.756;0.694;0.726;0.72;0.541;0.771;0.9;0.9;0.9;0.886;0.768;0.898;0.9
transcript8_ENSCGRG00000018457;0.988;0.699;0.642;0.692;0.692;0.739;0.672;0.947;0.948;0.987;0.765;1.0;0.987;0.893;0.936;0.884;0.799;0.893;0.873;0.925;0.925;0.76;0.884;0.913;0.876;0.884;0.882;0.71;0.853;0.88;0.88;0.88;0.866;0.934;0.806;0.88
transcript38_ENSCGRG00000018457;1.0;0.711;0.654;0.704;0.704;0.751;0.664;0.96;0.961;1.0;0.778;0.987;1.0;0.906;0.949;0.897;0.813;0.906;0.887;0.938;0.938;0.773;0.898;0.926;0.867;0.898;0.896;0.716;0.858;0.892;0.892;0.892;0.878;0.946;0.818;0.892
transcript52_ENSCGRG00000018457;0.94;0.696;0.639;0.689;0.689;0.734;0.648;0.943;0.945;0.915;0.761;0.893;0.906;1.0;0.857;0.99;0.796;1.0;0.871;0.923;0.923;0.758;0.883;0.912;0.852;0.973;0.881;0.647;0.859;0.877;0.877;0.877;0.863;0.93;0.803;0.877
transcript56_ENSCGRG00000018457;0.947;0.666;0.608;0.658;0.658;0.702;0.616;0.911;0.912;0.949;0.728;0.936;0.949;0.857;1.0;0.848;0.761;0.857;0.839;0.893;0.893;0.726;0.851;0.881;0.821;0.852;0.849;0.678;0.824;0.847;0.847;0.847;0.832;0.897;0.772;0.847
