;ENSCAFT00000006204_90_90;ENST00000361556_90_90;ENST00000371714_90_90;ENST00000428468_90_90;ENST00000435274_90_90;ENST00000447887_90_90;ENST00000453295_90_90;ENST00000462759_90_90;ENST00000481937_90_90;ENST00000486942_90_90;ENST00000489990_90_90;ENST00000495776_90_90;ENST00000526917_90_90;ENST00000527631_90_90;ENST00000528603_90_90;ENST00000531061_90_90;ENST00000531828_90_90;ENST00000532975_90_90;ENST00000533884_90_90;ENST00000534040_90_90;ENST00000625138_90_90;ENSMUST00000030288_90_90;ENSMUST00000084366_90_90;ENSMUST00000159545_90_90;ENSMUST00000160271_90_90;ENSMUST00000160774_90_90;ENSMUST00000161363_90_90;ENSMUST00000162787_90_90;ENSMUST00000194478_90_90
ENSCAFT00000006204_90_90;1.0;0.696;0.957;1.0;0.174;0.957;0.957;0.609;0.13;0.609;0.435;0.174;0.043;0.217;0.087;0.261;0.652;0.304;0.043;0.087;0.087;0.96;0.72;0.16;0.64;0.92;0.76;0.88;0.88
ENST00000361556_90_90;0.696;1.0;0.667;0.615;0.0;0.64;0.64;0.824;0.1;0.824;0.217;0.0;0.111;0.211;0.05;0.353;0.737;0.412;0.111;0.111;0.118;0.64;0.944;0.0;1.0;0.667;0.842;0.667;0.64
ENST00000371714_90_90;0.957;0.667;1.0;0.92;0.192;0.958;0.88;0.609;0.077;0.609;0.478;0.167;0.04;0.16;0.038;0.261;0.56;0.304;0.04;0.083;0.087;0.917;0.667;0.182;0.696;0.875;0.818;0.957;0.917
ENST00000428468_90_90;1.0;0.615;0.92;1.0;0.179;0.885;0.96;0.56;0.154;0.56;0.44;0.154;0.037;0.24;0.115;0.24;0.64;0.28;0.037;0.077;0.08;0.958;0.708;0.174;0.667;0.917;0.783;0.917;0.88
ENST00000435274_90_90;0.174;0.0;0.192;0.179;1.0;0.185;0.143;0.0;0.0;0.0;0.267;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.208;0.0;0.5;0.0;0.167;0.0;0.217;0.208
ENST00000447887_90_90;0.957;0.64;0.958;0.885;0.185;1.0;0.846;0.583;0.074;0.583;0.458;0.16;0.038;0.154;0.037;0.25;0.538;0.292;0.038;0.08;0.083;0.88;0.64;0.174;0.667;0.84;0.783;0.917;0.958
ENST00000453295_90_90;0.957;0.64;0.88;0.96;0.143;0.846;1.0;0.583;0.16;0.583;0.4;0.115;0.038;0.25;0.12;0.25;0.667;0.292;0.038;0.08;0.083;0.917;0.739;0.13;0.696;0.957;0.818;0.875;0.84
ENST00000462759_90_90;0.609;0.824;0.609;0.56;0.0;0.583;0.583;1.0;0.118;1.0;0.136;0.0;0.0;0.25;0.059;0.429;0.875;0.5;0.0;0.133;0.143;0.583;0.778;0.0;0.824;0.609;0.778;0.609;0.583
ENST00000481937_90_90;0.13;0.1;0.077;0.154;0.0;0.074;0.16;0.118;1.0;0.118;0.143;0.0;0.0;0.571;0.5;0.0;0.235;0.2;0.0;0.333;0.0;0.125;0.167;0.0;0.111;0.13;0.105;0.083;0.08
ENST00000486942_90_90;0.609;0.824;0.609;0.56;0.0;0.583;0.583;1.0;0.118;1.0;0.136;0.0;0.0;0.25;0.059;0.429;0.875;0.5;0.0;0.133;0.143;0.583;0.778;0.0;0.824;0.609;0.778;0.609;0.583
ENST00000489990_90_90;0.435;0.217;0.478;0.44;0.267;0.458;0.4;0.136;0.143;0.136;1.0;0.231;0.077;0.133;0.071;0.062;0.125;0.2;0.077;0.167;0.0;0.417;0.217;0.273;0.227;0.375;0.333;0.435;0.417
ENST00000495776_90_90;0.174;0.0;0.167;0.154;0.3;0.16;0.115;0.0;0.0;0.0;0.231;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.167;0.0;1.0;0.0;0.125;0.048;0.174;0.167
ENST00000526917_90_90;0.043;0.111;0.04;0.037;0.0;0.038;0.038;0.0;0.0;0.0;0.077;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.04;0.111;0.0;0.118;0.042;0.053;0.042;0.04
ENST00000527631_90_90;0.217;0.211;0.16;0.24;0.0;0.154;0.25;0.25;0.571;0.25;0.133;0.0;0.0;1.0;0.429;0.091;0.375;0.444;0.0;0.286;0.0;0.208;0.278;0.0;0.222;0.217;0.211;0.167;0.16
ENST00000528603_90_90;0.087;0.05;0.038;0.115;0.0;0.037;0.12;0.059;0.5;0.059;0.071;0.0;0.0;0.429;1.0;0.0;0.176;0.1;0.0;0.167;0.0;0.083;0.111;0.0;0.056;0.087;0.053;0.042;0.04
ENST00000531061_90_90;0.261;0.353;0.261;0.24;0.0;0.25;0.25;0.429;0.0;0.429;0.062;0.0;0.0;0.091;0.0;1.0;0.375;0.444;0.0;0.0;0.0;0.25;0.333;0.0;0.353;0.261;0.333;0.261;0.25
