id_transcript;block_sequence
ENSCAFT00000006204_90_90;1.2.3.4.10.11.12.15.17.18.19.21.25.26.27.28.29.30.31.32.33.34.35.36.37
ENST00000361556_90_90;13.15.17.18.19.26.27.28.29.30.31.32.33.34.35.36.37
ENST00000371714_90_90;1.2.3.4.5.11.12.15.17.18.19.26.27.28.29.30.31.32.33.34.35.36.37
ENST00000428468_90_90;1.2.3.4.5.11.12.15.17.18.19.21.22.26.27.28.29.30.31.32.33.34.35.36.37
ENST00000435274_90_90;1.2.3.4.5.6.7.8
ENST00000447887_90_90;1.2.3.4.5.11.12.14.15.17.18.19.26.27.28.29.30.31.32.33.34.35.36.37
ENST00000453295_90_90;1.2.4.5.11.12.15.17.18.19.21.22.26.27.28.29.30.31.32.33.34.35.36.37
ENST00000462759_90_90;18.19.26.27.28.29.30.31.32.33.34.35.36.37
ENST00000481937_90_90;18.19.21.22.23
ENST00000486942_90_90;18.19.26.27.28.29.30.31.32.33.34.35.36.37
ENST00000489990_90_90;2.3.4.5.11.12.15.17.18.19.29
ENST00000495776_90_90;0.1.2.3.11
ENST00000526917_90_90;13.15.16
ENST00000527631_90_90;18.19.21.22.26.27
ENST00000528603_90_90;19.21.22.24
ENST00000531061_90_90;27.28.29.30.31.33
ENST00000531828_90_90;18.19.21.22.26.27.28.29.30.31.32.33.34.35.36.37
ENST00000532975_90_90;18.19.26.27.28.29.30
ENST00000533884_90_90;13.15.16
ENST00000534040_90_90;18.19.20
ENST00000625138_90_90;35.37
ENSMUST00000030288_90_90;1.2.3.4.7.11.12.15.17.18.19.21.25.26.27.28.29.30.31.32.33.34.35.36.37
ENSMUST00000084366_90_90;13.15.17.18.19.21.25.26.27.28.29.30.31.32.33.34.35.36.37
ENSMUST00000159545_90_90;1.2.3.11
ENSMUST00000160271_90_90;13.15.17.18.19.26.27.28.29.30.31.32.33.34.35.36.37
ENSMUST00000160774_90_90;1.2.4.7.11.12.15.17.18.19.21.25.26.27.28.29.30.31.32.33.34.35.36.37
ENSMUST00000161363_90_90;9.10.11.12.15.17.18.19.26.27.28.29.30.31.32.33.34.35.36.37
ENSMUST00000162787_90_90;1.2.3.4.7.11.12.15.17.18.19.26.27.28.29.30.31.32.33.34.35.36.37
ENSMUST00000194478_90_90;1.2.3.4.7.11.12.14.15.17.18.19.26.27.28.29.30.31.32.33.34.35.36.37
