;ENSCAFT00000029482_90_90;ENST00000237247_90_90;ENST00000371037_90_90;ENST00000371039_90_90;ENST00000424320_90_90;ENST00000435165_90_90;ENSMUST00000066824_90_90;ENSMUST00000072481_90_90;ENSMUST00000080728_90_90;ENSMUST00000106882_90_90;ENSMUST00000149547_90_90;ENSMUST00000156596_90_90;ENSMUST00000183855_90_90
ENSCAFT00000029482_90_90;1.0;0.544;0.562;0.538;0.261;0.208;0.49;0.469;0.762;0.782;0.429;0.032;0.149
ENST00000237247_90_90;0.544;1.0;0.824;0.535;0.195;0.188;0.394;0.376;0.528;0.544;0.298;0.08;0.155
ENST00000371037_90_90;0.562;0.824;1.0;0.583;0.268;0.196;0.385;0.366;0.501;0.519;0.316;0.031;0.156
ENST00000371039_90_90;0.538;0.535;0.583;1.0;0.3;0.224;0.407;0.417;0.487;0.477;0.38;0.043;0.149
ENST00000424320_90_90;0.261;0.195;0.268;0.3;1.0;0.0;0.303;0.314;0.231;0.226;0.21;0.091;0.459
ENST00000435165_90_90;0.208;0.188;0.196;0.224;0.0;1.0;0.254;0.223;0.176;0.196;0.454;0.0;0.0
ENSMUST00000066824_90_90;0.49;0.394;0.385;0.407;0.303;0.254;1.0;0.962;0.611;0.633;0.585;0.258;0.412
ENSMUST00000072481_90_90;0.469;0.376;0.366;0.417;0.314;0.223;0.962;1.0;0.625;0.611;0.551;0.27;0.428
ENSMUST00000080728_90_90;0.762;0.528;0.501;0.487;0.231;0.176;0.611;0.625;1.0;0.978;0.399;0.142;0.28
ENSMUST00000106882_90_90;0.782;0.544;0.519;0.477;0.226;0.196;0.633;0.611;0.978;1.0;0.42;0.138;0.274
ENSMUST00000149547_90_90;0.429;0.298;0.316;0.38;0.21;0.454;0.585;0.551;0.399;0.42;1.0;0.0;0.101
ENSMUST00000156596_90_90;0.032;0.08;0.031;0.043;0.091;0.0;0.258;0.27;0.142;0.138;0.0;1.0;0.487
ENSMUST00000183855_90_90;0.149;0.155;0.156;0.149;0.459;0.0;0.412;0.428;0.28;0.274;0.101;0.487;1.0
