;ENSCAFT00000012325_90_90;ENSCAFT00000012333_90_90;ENST00000295951_90_90;ENST00000295952_90_90;ENST00000383718_90_90;ENST00000416658_90_90;ENST00000417128_90_90;ENST00000428312_90_90;ENST00000438794_90_90;ENST00000449503_90_90;ENST00000460223_90_90;ENST00000461354_90_90;ENST00000465203_90_90;ENST00000466255_90_90;ENST00000494088_90_90;ENST00000495364_90_90;ENSMUST00000038522_90_90;ENSMUST00000090359_90_90;ENSMUST00000102956_90_90;ENSMUST00000112330_90_90;ENSMUST00000112331_90_90;ENSMUST00000139075_90_90;ENSMUST00000142679_90_90;ENSMUST00000145738_90_90;ENSMUST00000146438_90_90
ENSCAFT00000012325_90_90;1.0;0.88;0.704;0.704;0.519;0.44;0.5;0.741;0.296;0.667;0.083;0.12;0.36;0.12;0.28;0.269;0.958;0.88;0.958;0.8;0.8;0.92;0.5;0.68;0.292
ENSCAFT00000012333_90_90;0.88;1.0;0.731;0.731;0.538;0.4;0.462;0.769;0.308;0.76;0.042;0.125;0.32;0.125;0.24;0.333;0.917;0.917;0.917;0.913;0.833;0.958;0.458;0.783;0.25
ENST00000295951_90_90;0.704;0.731;1.0;1.0;0.56;0.478;0.609;0.957;0.435;0.955;0.043;0.182;0.391;0.182;0.304;0.409;0.667;0.8;0.667;0.792;0.792;0.769;0.417;0.6;0.261
ENST00000295952_90_90;0.704;0.731;1.0;1.0;0.56;0.478;0.609;0.957;0.435;0.955;0.043;0.182;0.391;0.182;0.304;0.409;0.667;0.8;0.667;0.792;0.792;0.769;0.417;0.6;0.261
ENST00000383718_90_90;0.519;0.538;0.56;0.56;1.0;0.208;0.333;0.6;0.273;0.583;0.0;0.105;0.5;0.105;0.087;0.083;0.538;0.481;0.538;0.462;0.407;0.519;0.16;0.346;0.333
ENST00000416658_90_90;0.44;0.4;0.478;0.478;0.208;1.0;0.688;0.458;0.533;0.5;0.167;0.333;0.1;0.333;0.667;0.615;0.458;0.4;0.458;0.435;0.435;0.385;0.846;0.5;0.056
ENST00000417128_90_90;0.5;0.462;0.609;0.609;0.333;0.688;1.0;0.583;0.625;0.636;0.133;0.267;0.25;0.267;0.533;0.5;0.52;0.462;0.52;0.5;0.5;0.444;0.588;0.571;0.048
ENST00000428312_90_90;0.741;0.769;0.957;0.957;0.6;0.458;0.583;1.0;0.417;0.913;0.042;0.174;0.375;0.174;0.292;0.391;0.704;0.84;0.704;0.76;0.76;0.808;0.4;0.64;0.25
ENST00000438794_90_90;0.296;0.308;0.435;0.435;0.273;0.533;0.625;0.417;1.0;0.455;0.083;0.25;0.167;0.364;0.462;0.429;0.308;0.308;0.308;0.333;0.333;0.296;0.438;0.381;0.0
ENST00000449503_90_90;0.667;0.76;0.955;0.955;0.583;0.5;0.636;0.913;0.455;1.0;0.045;0.19;0.348;0.19;0.318;0.429;0.692;0.76;0.692;0.826;0.75;0.731;0.435;0.625;0.217
ENST00000460223_90_90;0.083;0.042;0.043;0.043;0.0;0.167;0.133;0.042;0.083;0.045;1.0;0.0;0.0;0.0;0.25;0.1;0.087;0.042;0.087;0.045;0.045;0.04;0.167;0.053;0.0
ENST00000461354_90_90;0.12;0.125;0.182;0.182;0.105;0.333;0.267;0.174;0.25;0.19;0.0;1.0;0.0;0.6;0.333;0.444;0.125;0.125;0.125;0.136;0.136;0.12;0.231;0.158;0.0
ENST00000465203_90_90;0.36;0.32;0.391;0.391;0.5;0.1;0.25;0.375;0.167;0.348;0.0;0.0;1.0;0.0;0.0;0.0;0.32;0.32;0.32;0.292;0.348;0.36;0.1;0.273;0.545
ENST00000466255_90_90;0.12;0.125;0.182;0.182;0.105;0.333;0.267;0.174;0.364;0.19;0.0;0.6;0.0;1.0;0.5;0.444;0.125;0.125;0.125;0.136;0.136;0.12;0.231;0.158;0.0
ENST00000494088_90_90;0.28;0.24;0.304;0.304;0.087;0.667;0.533;0.292;0.462;0.318;0.25;0.333;0.0;0.5;1.0;0.7;0.292;0.24;0.292;0.261;0.261;0.231;0.538;0.3;0.0
ENST00000495364_90_90;0.269;0.333;0.409;0.409;0.083;0.615;0.5;0.391;0.429;0.429;0.1;0.444;0.0;0.444;0.7;1.0;0.28;0.333;0.28;0.364;0.364;0.32;0.5;0.421;0.0
ENSMUST00000038522_90_90;0.958;0.917;0.667;0.667;0.538;0.458;0.52;0.704;0.308;0.692;0.087;0.125;0.32;0.125;0.292;0.28;1.0;0.84;1.0;0.833;0.76;0.88;0.522;0.708;0.25
ENSMUST00000090359_90_90;0.88;0.917;0.8;0.8;0.481;0.4;0.462;0.84;0.308;0.76;0.042;0.125;0.32;0.125;0.24;0.333;0.84;1.0;0.84;0.913;0.913;0.958;0.458;0.783;0.25
ENSMUST00000102956_90_90;0.958;0.917;0.667;0.667;0.538;0.458;0.52;0.704;0.308;0.692;0.087;0.125;0.32;0.125;0.292;0.28;1.0;0.84;1.0;0.833;0.76;0.88;0.522;0.708;0.25
ENSMUST00000112330_90_90;0.8;0.913;0.792;0.792;0.462;0.435;0.5;0.76;0.333;0.826;0.045;0.136;0.292;0.136;0.261;0.364;0.833;0.913;0.833;1.0;0.909;0.875;0.5;0.773;0.217
ENSMUST00000112331_90_90;0.8;0.833;0.792;0.792;0.407;0.435;0.5;0.76;0.333;0.75;0.045;0.136;0.348;0.136;0.261;0.364;0.76;0.913;0.76;0.909;1.0;0.875;0.5;0.773;0.273
