;transcript15_ENSPEMG00000024651;transcript6_ENSMPUG00000020072;transcript25_ENSCPOG00000024843;transcript6_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript15_ENSCGRG00015005362;transcript15_ENSCGRG00000018457;transcript15_ENSCGRG00001010245;transcript36_ENSCGRG00000018457;transcript15_ENSSTOG00000019743
transcript15_ENSPEMG00000024651;1.0;1.0;1.0;0.918;0.918;0.884;0.918;0.87;0.964;0.738;1.0;1.0;1.0;0.928;1.0
transcript6_ENSMPUG00000020072;1.0;1.0;1.0;0.94;0.94;0.909;0.817;0.778;0.964;0.78;1.0;0.866;1.0;0.81;1.0
transcript25_ENSCPOG00000024843;1.0;1.0;1.0;0.914;0.914;0.883;0.795;0.756;0.959;0.77;1.0;0.868;1.0;0.809;1.0
transcript6_ENSECAG00000007947;0.918;0.94;0.914;1.0;1.0;0.966;0.871;0.828;0.9;0.732;0.91;0.795;0.91;0.757;0.948
transcript20_ENSECAG00000007947;0.918;0.94;0.914;1.0;1.0;0.966;0.871;0.828;0.9;0.732;0.91;0.795;0.91;0.757;0.948
transcript7_ENSECAG00000007947;0.884;0.909;0.883;0.966;0.966;1.0;0.836;0.793;0.913;0.692;0.874;0.764;0.874;0.725;0.907
transcript19_ENSECAG00000007947;0.918;0.817;0.795;0.871;0.871;0.836;1.0;0.95;0.779;0.584;0.91;0.91;0.91;0.868;0.948
transcript21_ENSECAG00000007947;0.87;0.778;0.756;0.828;0.828;0.793;0.95;1.0;0.742;0.595;0.865;0.865;0.865;0.909;0.907
transcript7_ENSMLUG00000027828;0.964;0.964;0.959;0.9;0.9;0.913;0.779;0.742;1.0;0.773;0.962;0.839;0.962;0.799;0.966
transcript13_ENSMLUG00000027828;0.738;0.78;0.77;0.732;0.732;0.692;0.584;0.595;0.773;1.0;0.737;0.624;0.737;0.644;0.738
transcript15_ENSCGRG00015005362;1.0;1.0;1.0;0.91;0.91;0.874;0.91;0.865;0.962;0.737;1.0;1.0;1.0;0.933;1.0
transcript15_ENSCGRG00000018457;1.0;0.866;0.868;0.795;0.795;0.764;0.91;0.865;0.839;0.624;1.0;1.0;1.0;0.933;1.0
transcript15_ENSCGRG00001010245;1.0;1.0;1.0;0.91;0.91;0.874;0.91;0.865;0.962;0.737;1.0;1.0;1.0;0.933;1.0
transcript36_ENSCGRG00000018457;0.928;0.81;0.809;0.757;0.757;0.725;0.868;0.909;0.799;0.644;0.933;0.933;0.933;1.0;0.948
transcript15_ENSSTOG00000019743;1.0;1.0;1.0;0.948;0.948;0.907;0.948;0.907;0.966;0.738;1.0;1.0;1.0;0.948;1.0
