;ENSCAFT00000028998_90_90;ENST00000587805_90_90;ENST00000588116_90_90;ENST00000589774_90_90;ENST00000590432_90_90;ENST00000590538_90_90;ENST00000591610_90_90;ENST00000592167_90_90;ENST00000593014_90_90;ENST00000610402_90_90;ENST00000612035_90_90;ENST00000612116_90_90;ENST00000614600_90_90;ENST00000616681_90_90;ENST00000616784_90_90;ENST00000618940_90_90;ENST00000620039_90_90;ENST00000621668_90_90;ENST00000621914_90_90;ENST00000628168_90_90;ENSMUST00000018875_90_90;ENSMUST00000065692_90_90;ENSMUST00000142680_90_90;ENSMUST00000176430_90_90;ENSMUST00000176523_90_90;ENSMUST00000176944_90_90
ENSCAFT00000028998_90_90;1.0;0.115;0.17;0.115;0.041;0.022;0.022;0.022;0.096;0.939;0.656;0.656;0.656;0.9;0.642;0.939;0.009;0.617;0.925;0.022;0.797;0.784;0.047;0.785;0.757;0.21
ENST00000587805_90_90;0.115;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.109;0.149;0.149;0.149;0.113;0.151;0.109;0.0;0.157;0.11;0.0;0.199;0.186;0.0;0.202;0.208;0.0
ENST00000588116_90_90;0.17;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17;0.239;0.239;0.239;0.177;0.244;0.17;0.0;0.253;0.173;0.0;0.179;0.181;0.0;0.181;0.187;0.0
ENST00000589774_90_90;0.115;0.0;0.0;1.0;0.53;0.287;0.287;0.287;0.879;0.159;0.223;0.223;0.223;0.119;0.228;0.159;0.313;0.167;0.161;0.287;0.118;0.119;0.042;0.119;0.078;0.474
ENST00000590432_90_90;0.041;0.0;0.0;0.53;1.0;0.5;0.5;0.5;0.603;0.084;0.118;0.118;0.118;0.088;0.121;0.084;0.586;0.125;0.085;0.5;0.043;0.043;0.069;0.043;0.044;0.171
ENST00000590538_90_90;0.022;0.0;0.0;0.287;0.5;1.0;1.0;1.0;0.322;0.049;0.069;0.069;0.069;0.051;0.07;0.049;0.741;0.073;0.05;1.0;0.023;0.023;0.273;0.023;0.024;0.092
ENST00000591610_90_90;0.022;0.0;0.0;0.287;0.5;1.0;1.0;1.0;0.322;0.049;0.069;0.069;0.069;0.051;0.07;0.049;0.741;0.073;0.05;1.0;0.023;0.023;0.273;0.023;0.024;0.092
ENST00000592167_90_90;0.022;0.0;0.0;0.287;0.5;1.0;1.0;1.0;0.322;0.049;0.069;0.069;0.069;0.051;0.07;0.049;0.741;0.073;0.05;1.0;0.023;0.023;0.273;0.023;0.024;0.092
ENST00000593014_90_90;0.096;0.0;0.0;0.879;0.603;0.322;0.322;0.322;1.0;0.14;0.196;0.196;0.196;0.1;0.2;0.14;0.356;0.14;0.142;0.322;0.098;0.1;0.047;0.1;0.058;0.395
ENST00000610402_90_90;0.939;0.109;0.17;0.159;0.084;0.049;0.049;0.049;0.14;1.0;0.712;0.712;0.712;0.96;0.697;1.0;0.05;0.672;0.985;0.049;0.632;0.622;0.008;0.622;0.599;0.162
ENST00000612035_90_90;0.656;0.149;0.239;0.223;0.118;0.069;0.069;0.069;0.196;0.712;1.0;1.0;1.0;0.672;0.979;0.712;0.07;0.944;0.697;0.069;0.677;0.664;0.011;0.685;0.637;0.224
ENST00000612116_90_90;0.656;0.149;0.239;0.223;0.118;0.069;0.069;0.069;0.196;0.712;1.0;1.0;1.0;0.672;0.979;0.712;0.07;0.944;0.697;0.069;0.677;0.664;0.011;0.685;0.637;0.224
ENST00000614600_90_90;0.656;0.149;0.239;0.223;0.118;0.069;0.069;0.069;0.196;0.712;1.0;1.0;1.0;0.672;0.979;0.712;0.07;0.944;0.697;0.069;0.677;0.664;0.011;0.685;0.637;0.224
ENST00000616681_90_90;0.9;0.113;0.177;0.119;0.088;0.051;0.051;0.051;0.1;0.96;0.672;0.672;0.672;1.0;0.657;0.96;0.052;0.7;0.945;0.051;0.599;0.588;0.008;0.589;0.62;0.123
ENST00000616784_90_90;0.642;0.151;0.244;0.228;0.121;0.07;0.07;0.07;0.2;0.697;0.979;0.979;0.979;0.657;1.0;0.697;0.072;0.923;0.708;0.07;0.662;0.649;0.011;0.67;0.622;0.228
ENST00000618940_90_90;0.939;0.109;0.17;0.159;0.084;0.049;0.049;0.049;0.14;1.0;0.712;0.712;0.712;0.96;0.697;1.0;0.05;0.672;0.985;0.049;0.632;0.622;0.008;0.622;0.599;0.162
ENST00000620039_90_90;0.009;0.0;0.0;0.313;0.586;0.741;0.741;0.741;0.356;0.05;0.07;0.07;0.07;0.052;0.072;0.05;1.0;0.074;0.051;0.741;0.01;0.01;0.113;0.01;0.01;0.038
ENST00000621668_90_90;0.617;0.157;0.253;0.167;0.125;0.073;0.073;0.073;0.14;0.672;0.944;0.944;0.944;0.7;0.923;0.672;0.074;1.0;0.657;0.073;0.637;0.624;0.011;0.644;0.663;0.17
ENST00000621914_90_90;0.925;0.11;0.173;0.161;0.085;0.05;0.05;0.05;0.142;0.985;0.697;0.697;0.697;0.945;0.708;0.985;0.051;0.657;1.0;0.05;0.62;0.609;0.008;0.61;0.587;0.164
ENST00000628168_90_90;0.022;0.0;0.0;0.287;0.5;1.0;1.0;1.0;0.322;0.049;0.069;0.069;0.069;0.051;0.07;0.049;0.741;0.073;0.05;1.0;0.023;0.023;0.273;0.023;0.024;0.092
ENSMUST00000018875_90_90;0.797;0.199;0.179;0.118;0.043;0.023;0.023;0.023;0.098;0.632;0.677;0.677;0.677;0.599;0.662;0.632;0.01;0.637;0.62;0.023;1.0;0.985;0.047;0.96;0.96;0.21
ENSMUST00000065692_90_90;0.784;0.186;0.181;0.119;0.043;0.023;0.023;0.023;0.1;0.622;0.664;0.664;0.664;0.588;0.649;0.622;0.01;0.624;0.609;0.023;0.985;1.0;0.047;0.945;0.945;0.213
ENSMUST00000142680_90_90;0.047;0.0;0.0;0.042;0.069;0.273;0.273;0.273;0.047;0.008;0.011;0.011;0.011;0.008;0.011;0.008;0.113;0.011;0.008;0.273;0.047;0.047;1.0;0.047;0.049;0.222
