;ENSCAFT00000020697_90_90;ENSCAFT00000043849_90_90;ENST00000242480_90_90;ENST00000411732_90_90;ENST00000439032_90_90;ENST00000637191_90_90;ENSMUST00000048289_90_90;ENSMUST00000105438_90_90;ENSMUST00000127820_90_90;ENSMUST00000130933_90_90;ENSMUST00000145754_90_90;ENSMUST00000145936_90_90;ENSMUST00000146986_90_90
ENSCAFT00000020697_90_90;;;0.311;0.327;0.311;0.0;0.307;0.324;0.333;0.0;0.023;0.087;0.0
ENSCAFT00000043849_90_90;;;0.248;0.262;0.248;0.0;0.246;0.259;0.266;0.0;0.0;0.0;0.0
ENST00000242480_90_90;0.311;0.248;;;;;0.873;0.805;0.779;0.057;0.255;0.362;0.101
ENST00000411732_90_90;0.327;0.262;;;;;0.805;0.863;0.836;0.01;0.229;0.339;0.107
ENST00000439032_90_90;0.311;0.248;;;;;0.873;0.805;0.779;0.057;0.255;0.362;0.101
ENST00000637191_90_90;0.0;0.0;;;;;0.196;0.127;0.1;0.231;0.385;0.295;0.358
ENSMUST00000048289_90_90;0.307;0.246;0.873;0.805;0.873;0.196;;;;;;;
ENSMUST00000105438_90_90;0.324;0.259;0.805;0.863;0.805;0.127;;;;;;;
ENSMUST00000127820_90_90;0.333;0.266;0.779;0.836;0.779;0.1;;;;;;;
ENSMUST00000130933_90_90;0.0;0.0;0.057;0.01;0.057;0.231;;;;;;;
ENSMUST00000145754_90_90;0.023;0.0;0.255;0.229;0.255;0.385;;;;;;;
ENSMUST00000145936_90_90;0.087;0.0;0.362;0.339;0.362;0.295;;;;;;;
ENSMUST00000146986_90_90;0.0;0.0;0.101;0.107;0.101;0.358;;;;;;;
