;ENSCAFT00000007541_90_90;ENST00000260643_90_90;ENST00000406567_90_90;ENST00000430533_90_90;ENST00000441451_90_90;ENST00000444452_90_90;ENST00000456259_90_90;ENSMUST00000074840_90_90;ENSMUST00000201002_90_90;ENSMUST00000201821_90_90;ENSMUST00000202567_90_90
ENSCAFT00000007541_90_90;1.0;0.783;0.682;0.318;0.13;0.091;0.292;0.864;0.391;0.143;0.727
ENST00000260643_90_90;0.783;1.0;0.8;0.4;0.136;0.15;0.364;0.905;0.348;0.15;0.762
ENST00000406567_90_90;0.682;0.8;1.0;0.2;0.05;0.188;0.238;0.8;0.227;0.188;0.65
ENST00000430533_90_90;0.318;0.4;0.2;1.0;0.3;0.0;0.5;0.333;0.357;0.1;0.389
ENST00000441451_90_90;0.13;0.136;0.05;0.3;1.0;0.0;0.25;0.136;0.143;0.0;0.158
ENST00000444452_90_90;0.091;0.15;0.188;0.0;0.0;1.0;0.0;0.15;0.0;0.0;0.176
ENST00000456259_90_90;0.292;0.364;0.238;0.5;0.25;0.0;1.0;0.304;0.312;0.083;0.227
ENSMUST00000074840_90_90;0.864;0.905;0.8;0.333;0.136;0.15;0.304;1.0;0.409;0.15;0.85
ENSMUST00000201002_90_90;0.391;0.348;0.227;0.357;0.143;0.0;0.312;0.409;1.0;0.167;0.4
ENSMUST00000201821_90_90;0.143;0.15;0.188;0.1;0.0;0.0;0.083;0.15;0.167;1.0;0.176
ENSMUST00000202567_90_90;0.727;0.762;0.65;0.389;0.158;0.176;0.227;0.85;0.4;0.176;1.0
