;transcript38_ENSRNOG00000031503;transcript38_ENSCGRG00015005362;transcript38_ENSCGRG00000018457;transcript38_ENSSTOG00000019743;transcript37_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript37_ENSCGRG00001010245;transcript37_ENSPEMG00000024651;transcript37_ENSSTOG00000019743;transcript57_ENSMUGG00000013649;transcript57_ENSPEMG00000024651;transcript58_ENSMUGG00000013649;transcript58_ENSPEMG00000024651;transcript59_ENSMUGG00000013649;transcript59_ENSPEMG00000024651;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00000018457;transcript8_ENSCGRG00015005362;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript9_ENSCGRG00015005362;transcript9_ENSPEMG00000024651;transcript54_ENSCGRG00015005362;transcript52_ENSCGRG00000018457;transcript52_ENSCGRG00001010245;transcript56_ENSCGRG00000018457;transcript56_ENSPEMG00000024651;transcript65_ENSCGRG00000018457;transcript33_ENSPEMG00000024651;transcript33_ENSNGAG00000018584;transcript39_ENSPEMG00000024651;transcript39_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript38_ENSRNOG00000031503;1.0;1.0;1.0;1.0;0.839;0.887;0.973;0.88;0.912;0.768;0.737;0.826;0.814;0.789;0.896;0.868;0.806;0.84;0.781;0.776;0.85;1.0;0.967;0.919;0.94;0.94;0.957;0.907;0.94;0.967;0.905;0.908;0.938;0.997;0.997;0.997
transcript38_ENSCGRG00015005362;1.0;1.0;1.0;1.0;0.778;0.818;0.95;0.863;0.894;0.739;0.711;0.777;0.775;0.752;0.853;0.833;0.803;0.838;0.775;0.772;0.846;0.968;0.937;0.891;0.912;0.912;0.956;0.896;0.912;0.937;0.878;0.843;0.873;0.857;0.857;0.857
transcript38_ENSCGRG00000018457;1.0;1.0;1.0;1.0;0.751;0.788;0.931;0.848;0.878;0.72;0.692;0.749;0.753;0.731;0.832;0.811;0.803;0.838;0.775;0.773;0.846;0.943;0.914;0.868;0.888;0.888;0.956;0.889;0.896;0.914;0.856;0.829;0.857;0.836;0.836;0.836
transcript38_ENSSTOG00000019743;1.0;1.0;1.0;1.0;0.752;0.79;0.932;0.849;0.878;0.721;0.693;0.762;0.764;0.736;0.832;0.812;0.803;0.838;0.775;0.773;0.846;0.944;0.915;0.869;0.889;0.889;0.956;0.888;0.897;0.915;0.857;0.83;0.858;0.837;0.837;0.837
transcript37_ENSMUGG00000013649;0.839;0.778;0.751;0.752;1.0;0.992;0.865;0.827;0.854;0.817;0.769;0.846;0.831;0.827;0.781;0.897;0.574;0.618;0.56;0.567;0.602;0.787;0.749;0.847;0.723;0.735;0.724;0.69;0.715;0.749;0.723;0.778;0.801;0.698;0.698;0.698
transcript37_ENSMUGG00000013592;0.887;0.818;0.788;0.79;0.992;1.0;0.858;0.822;0.848;0.812;0.767;0.841;0.828;0.821;0.836;0.903;0.604;0.653;0.591;0.603;0.636;0.826;0.787;0.84;0.758;0.771;0.761;0.727;0.749;0.787;0.763;0.839;0.862;0.74;0.74;0.74
transcript37_ENSCGRG00001010245;0.973;0.95;0.931;0.932;0.865;0.858;1.0;0.965;0.994;0.81;0.781;0.838;0.844;0.819;0.853;0.868;0.731;0.781;0.711;0.704;0.773;0.954;0.92;0.971;0.896;0.896;0.902;0.856;0.886;0.92;0.865;0.858;0.89;0.864;0.864;0.864
transcript37_ENSPEMG00000024651;0.88;0.863;0.848;0.849;0.827;0.822;0.965;1.0;0.961;0.786;0.804;0.838;0.887;0.796;0.815;0.847;0.675;0.716;0.686;0.658;0.711;0.868;0.878;0.938;0.82;0.82;0.824;0.823;0.812;0.878;0.799;0.813;0.798;0.776;0.776;0.776
transcript37_ENSSTOG00000019743;0.912;0.894;0.878;0.878;0.854;0.848;0.994;0.961;1.0;0.812;0.779;0.855;0.856;0.827;0.794;0.873;0.689;0.731;0.668;0.66;0.724;0.9;0.867;0.971;0.845;0.845;0.849;0.806;0.837;0.867;0.816;0.792;0.824;0.805;0.805;0.805
transcript57_ENSMUGG00000013649;0.768;0.739;0.72;0.721;0.817;0.812;0.81;0.786;0.812;1.0;0.832;0.899;0.856;0.96;0.797;0.915;0.567;0.609;0.553;0.57;0.6;0.777;0.749;0.84;0.721;0.721;0.677;0.659;0.712;0.749;0.729;0.75;0.771;0.694;0.694;0.694
transcript57_ENSPEMG00000024651;0.737;0.711;0.692;0.693;0.769;0.767;0.781;0.804;0.779;0.832;1.0;0.867;0.905;0.822;0.816;0.852;0.537;0.576;0.541;0.554;0.56;0.746;0.754;0.807;0.705;0.704;0.654;0.667;0.696;0.754;0.714;0.762;0.734;0.666;0.666;0.666
transcript58_ENSMUGG00000013649;0.826;0.777;0.749;0.762;0.846;0.841;0.838;0.838;0.855;0.899;0.867;1.0;0.911;0.907;0.846;0.941;0.576;0.625;0.579;0.582;0.618;0.813;0.797;0.877;0.751;0.75;0.709;0.708;0.742;0.797;0.752;0.799;0.813;0.732;0.732;0.732
transcript58_ENSPEMG00000024651;0.814;0.775;0.753;0.764;0.831;0.828;0.844;0.887;0.856;0.856;0.905;0.911;1.0;0.865;0.898;0.891;0.596;0.641;0.62;0.61;0.638;0.808;0.831;0.873;0.758;0.758;0.715;0.745;0.75;0.831;0.759;0.841;0.805;0.73;0.73;0.73
transcript59_ENSMUGG00000013649;0.789;0.752;0.731;0.736;0.827;0.821;0.819;0.796;0.827;0.96;0.822;0.907;0.865;1.0;0.806;0.921;0.573;0.618;0.56;0.581;0.61;0.789;0.759;0.852;0.732;0.731;0.689;0.67;0.724;0.759;0.74;0.76;0.787;0.709;0.709;0.709
