;ENSCAFT00000038801_90_90;ENST00000313899_90_90;ENST00000352301_90_90;ENST00000353341_90_90;ENST00000503822_90_90;ENST00000507010_90_90;ENST00000509107_90_90;ENST00000509263_90_90;ENST00000513584_90_90;ENST00000514671_90_90;ENST00000515432_90_90;ENSMUST00000019128_90_90;ENSMUST00000072750_90_90;ENSMUST00000112939_90_90;ENSMUST00000164833_90_90;ENSMUST00000168396_90_90;ENSMUST00000170912_90_90;ENSMUST00000171106_90_90;ENSMUST00000171640_90_90;ENSMUST00000171786_90_90;ENSMUST00000172361_90_90
ENSCAFT00000038801_90_90;1.0;1.0;0.929;0.887;0.501;0.703;0.281;0.678;0.295;0.577;0.332;0.885;0.813;0.927;0.276;0.279;0.058;0.622;0.394;0.31;1.0
ENST00000313899_90_90;1.0;1.0;0.929;0.887;0.501;0.703;0.281;0.655;0.295;0.577;0.332;0.885;0.813;0.927;0.276;0.279;0.058;0.622;0.394;0.31;1.0
ENST00000352301_90_90;0.929;0.929;1.0;0.817;0.54;0.632;0.211;0.587;0.319;0.621;0.357;0.813;0.877;1.0;0.295;0.302;0.063;0.617;0.424;0.335;0.927
ENST00000353341_90_90;0.887;0.887;0.817;1.0;0.563;0.789;0.317;0.591;0.331;0.651;0.373;1.0;0.919;0.813;0.162;0.315;0.067;0.703;0.446;0.351;0.885
ENST00000503822_90_90;0.501;0.501;0.54;0.563;1.0;0.712;0.377;0.274;0.585;0.319;0.4;0.552;0.603;0.53;0.0;0.568;0.124;0.317;0.087;0.436;0.49
ENST00000507010_90_90;0.703;0.703;0.632;0.789;0.712;1.0;0.402;0.485;0.416;0.441;0.475;0.785;0.705;0.625;0.0;0.399;0.087;0.489;0.231;0.45;0.697
ENST00000509107_90_90;0.281;0.281;0.211;0.317;0.377;0.402;1.0;0.242;0.185;0.167;0.199;0.326;0.244;0.216;0.0;0.193;0.209;0.208;0.0;0.209;0.289
ENST00000509263_90_90;0.678;0.655;0.587;0.591;0.274;0.485;0.242;1.0;0.058;0.685;0.464;0.63;0.555;0.622;0.246;0.063;0.084;0.762;0.455;0.448;0.694
ENST00000513584_90_90;0.295;0.295;0.319;0.331;0.585;0.416;0.185;0.058;1.0;0.067;0.093;0.315;0.343;0.302;0.0;1.0;0.0;0.067;0.047;0.106;0.279
ENST00000514671_90_90;0.577;0.577;0.621;0.651;0.319;0.441;0.167;0.685;0.067;1.0;0.574;0.668;0.727;0.637;0.225;0.07;0.099;0.951;0.666;0.526;0.591
ENST00000515432_90_90;0.332;0.332;0.357;0.373;0.4;0.475;0.199;0.464;0.093;0.574;1.0;0.383;0.417;0.367;0.0;0.099;0.176;0.545;0.295;0.918;0.34
ENSMUST00000019128_90_90;0.885;0.885;0.813;1.0;0.552;0.785;0.326;0.63;0.315;0.668;0.383;1.0;0.921;0.817;0.159;0.331;0.066;0.685;0.435;0.342;0.887
ENSMUST00000072750_90_90;0.813;0.813;0.877;0.919;0.603;0.705;0.244;0.555;0.343;0.727;0.417;0.921;1.0;0.879;0.169;0.36;0.07;0.682;0.472;0.371;0.817
ENSMUST00000112939_90_90;0.927;0.927;1.0;0.813;0.53;0.625;0.216;0.622;0.302;0.637;0.367;0.817;0.879;1.0;0.29;0.319;0.061;0.601;0.413;0.326;0.929
ENSMUST00000164833_90_90;0.276;0.276;0.295;0.162;0.0;0.0;0.0;0.246;0.0;0.225;0.0;0.159;0.169;0.29;1.0;0.0;0.0;0.217;0.306;0.0;0.271
ENSMUST00000168396_90_90;0.279;0.279;0.302;0.315;0.568;0.399;0.193;0.063;1.0;0.07;0.099;0.331;0.36;0.319;0.0;1.0;0.0;0.064;0.045;0.1;0.295
ENSMUST00000170912_90_90;0.058;0.058;0.063;0.067;0.124;0.087;0.209;0.084;0.0;0.099;0.176;0.066;0.07;0.061;0.0;0.0;1.0;0.095;0.0;0.19;0.057
ENSMUST00000171106_90_90;0.622;0.622;0.617;0.703;0.317;0.489;0.208;0.762;0.067;0.951;0.545;0.685;0.682;0.601;0.217;0.064;0.095;1.0;0.634;0.499;0.608
ENSMUST00000171640_90_90;0.394;0.394;0.424;0.446;0.087;0.231;0.0;0.455;0.047;0.666;0.295;0.435;0.472;0.413;0.306;0.045;0.0;0.634;1.0;0.243;0.385
ENSMUST00000171786_90_90;0.31;0.31;0.335;0.351;0.436;0.45;0.209;0.448;0.106;0.526;0.918;0.342;0.371;0.326;0.0;0.1;0.19;0.499;0.243;1.0;0.303
ENSMUST00000172361_90_90;1.0;1.0;0.927;0.885;0.49;0.697;0.289;0.694;0.279;0.591;0.34;0.887;0.817;0.929;0.271;0.295;0.057;0.608;0.385;0.303;1.0
