;ENSCAFT00000008733_90_90;ENST00000323039_90_90;ENST00000348817_90_90;ENST00000430012_90_90;ENST00000593685_90_90;ENST00000597639_90_90;ENST00000600611_90_90;ENST00000601972_90_90;ENSMUST00000085901_90_90;ENSMUST00000172467_90_90;ENSMUST00000172761_90_90
ENSCAFT00000008733_90_90;1.0;0.869;0.869;0.786;0.869;0.869;0.299;0.263;0.883;1.0;0.81
ENST00000323039_90_90;0.869;1.0;0.922;0.802;1.0;0.922;0.304;0.142;0.944;0.9;0.746
ENST00000348817_90_90;0.869;0.922;1.0;0.865;0.922;1.0;0.331;0.151;0.866;0.825;0.801
ENST00000430012_90_90;0.786;0.802;0.865;1.0;0.802;0.865;0.396;0.165;0.746;0.705;0.915
ENST00000593685_90_90;0.869;1.0;0.922;0.802;1.0;0.922;0.304;0.142;0.944;0.9;0.746
ENST00000597639_90_90;0.869;0.922;1.0;0.865;0.922;1.0;0.331;0.151;0.866;0.825;0.801
ENST00000600611_90_90;0.299;0.304;0.331;0.396;0.304;0.331;1.0;0.434;0.247;0.235;0.312
ENST00000601972_90_90;0.263;0.142;0.151;0.165;0.142;0.151;0.434;1.0;0.211;0.202;0.273
ENSMUST00000085901_90_90;0.883;0.944;0.866;0.746;0.944;0.866;0.247;0.211;1.0;0.907;0.802
ENSMUST00000172467_90_90;1.0;0.9;0.825;0.705;0.9;0.825;0.235;0.202;0.907;1.0;0.728
ENSMUST00000172761_90_90;0.81;0.746;0.801;0.915;0.746;0.801;0.312;0.273;0.802;0.728;1.0
