;transcript1_ENSMLUG00000027828;transcript1_ENSSTOG00000019743;transcript1_ENSCCNG00000000226;transcript10_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript28_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript29_ENSCPOG00000024843;transcript30_ENSSTOG00000019743;transcript30_ENSCCNG00000000226;transcript31_ENSSTOG00000019743;transcript35_ENSCPOG00000024843;transcript36_ENSCPOG00000024843;transcript37_ENSCPOG00000024843
transcript1_ENSMLUG00000027828;1.0;0.943;0.943;0.861;0.861;0.853;0.81;0.91;0.923;0.91;0.902;0.888;0.957;0.935;0.957
transcript1_ENSSTOG00000019743;0.943;1.0;0.941;0.818;0.818;0.813;0.855;0.957;0.911;0.957;0.897;0.938;0.952;0.934;0.952
transcript1_ENSCCNG00000000226;0.943;0.941;1.0;0.801;0.801;0.792;0.806;0.905;0.923;0.905;0.958;0.886;0.959;0.939;0.959
transcript10_ENSMLUG00000027828;0.861;0.818;0.801;1.0;1.0;0.991;0.939;0.851;0.857;0.851;0.835;0.828;0.824;0.801;0.824
transcript16_ENSMLUG00000027828;0.861;0.818;0.801;1.0;1.0;0.991;0.939;0.851;0.857;0.851;0.835;0.828;0.824;0.801;0.824
transcript28_ENSMLUG00000027828;0.853;0.813;0.792;0.991;0.991;1.0;0.933;0.846;0.85;0.846;0.825;0.834;0.816;0.807;0.816
transcript9_ENSSTOG00000019743;0.81;0.855;0.806;0.939;0.939;0.933;1.0;0.894;0.852;0.894;0.847;0.873;0.813;0.794;0.813
transcript29_ENSSTOG00000019743;0.91;0.957;0.905;0.851;0.851;0.846;0.894;1.0;0.946;1.0;0.933;0.979;0.911;0.893;0.911
transcript29_ENSCPOG00000024843;0.923;0.911;0.923;0.857;0.857;0.85;0.852;0.946;1.0;0.946;0.95;0.926;0.958;0.94;0.958
transcript30_ENSSTOG00000019743;0.91;0.957;0.905;0.851;0.851;0.846;0.894;1.0;0.946;1.0;0.933;0.979;0.911;0.893;0.911
transcript30_ENSCCNG00000000226;0.902;0.897;0.958;0.835;0.835;0.825;0.847;0.933;0.95;0.933;1.0;0.913;0.917;0.897;0.917
transcript31_ENSSTOG00000019743;0.888;0.938;0.886;0.828;0.828;0.834;0.873;0.979;0.926;0.979;0.913;1.0;0.892;0.91;0.892
transcript35_ENSCPOG00000024843;0.957;0.952;0.959;0.824;0.824;0.816;0.813;0.911;0.958;0.911;0.917;0.892;1.0;0.982;1.0
transcript36_ENSCPOG00000024843;0.935;0.934;0.939;0.801;0.801;0.807;0.794;0.893;0.94;0.893;0.897;0.91;0.982;1.0;0.982
transcript37_ENSCPOG00000024843;0.957;0.952;0.959;0.824;0.824;0.816;0.813;0.911;0.958;0.911;0.917;0.892;1.0;0.982;1.0
